,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,0.08600,0.09410,-40.12780,-40.12780,-41.12220,-29.68750,0.04990,-4.43220,-4.43220,-1.48230,-4.05120,60.03180,4.2631,4.2372
2022-06-30,0.07740,0.08390,-125.36590,-125.36590,-126.95120,-98.53660,0.02810,-7.65660,-7.65660,-2.76790,-7.06420,66.28770,3.4962,3.471
2022-03-31,0.06860,0.07360,-28.55970,-28.55970,-29.62960,-22.46910,0.04020,-2.25770,-2.25770,-0.90250,-2.10290,75.43360,1.23440,1.20950
2021-12-31,0.06410,0.06840,55.97350,55.97350,55.55220,44.23710,0.10590,11.21710,11.21710,4.68350,10.49850,81.75300,2.8572,2.8387
2021-09-30,0.07090,0.07630,11.03640,11.03640,10.30810,8.57140,0.05970,1.29210,1.29210,0.51160,1.20050,73.50090,3.6894,3.6709
2021-06-30,0.07110,0.07650,38.56210,38.56210,37.99560,30.63180,0.07730,5.92850,5.92850,2.36880,5.50720,73.60650,3.4507,3.4263
2021-03-31,0.07510,0.08130,35.06960,35.06960,34.48590,27.84010,0.07870,5.56650,5.56650,2.18980,5.14820,69.18010,2.17850,2.14770
2020-12-31,0.07690,0.08330,49.36900,49.36900,48.84930,38.93840,0.09780,9.72290,9.72290,3.80870,8.97500,67.05410,2.2736,2.2493
2020-09-30,0.09030,0.09920,28.15450,28.15450,27.57070,21.73330,0.08450,4.96670,4.96670,1.83540,4.51830,60.60320,3.1055,3.0687
2020-06-30,0.09460,0.10450,42.70450,42.70450,42.18870,33.49300,0.10660,9.81850,9.81850,3.57170,8.89000,57.57460,2.7723,2.735
2020-03-31,0.10660,0.11940,1578.78800,1578.78800,1591.91900,1238.38400,-0.00420,-15.24500,-15.24500,-5.24670,-13.61920,50.01240,1.02960,1.00490
2019-12-31,0.08230,0.08970,36.89590,36.89590,36.29180,29.08920,0.08470,6.34630,6.34630,2.46380,5.82380,60.55250,2.0028,1.9902
2019-09-30,0.08630,0.09440,18.11770,18.11770,17.29410,14.58820,0.06870,2.64650,2.64650,1.00230,2.41810,57.35010,2.4326,2.3785
2019-06-30,0.08830,0.09680,28.38470,28.38470,27.70520,22.37320,0.07860,4.68730,4.68730,1.75860,4.27360,55.91550,1.6663,1.618
2019-03-31,0.09220,0.10160,40.75960,40.75960,40.15750,32.19080,0.09250,8.05330,8.05330,2.97620,7.31040,52.87990,1.21510,1.18470
2018-12-31,0.09960,0.11060,-80.00000,-80.00000,-81.83100,-63.66200,0.03240,-5.77050,-5.77050,-2.06060,-5.19600,48.11430,2.1427,2.1066
2018-09-30,0.09350,0.10320,33.00260,33.00260,32.27150,28.87730,0.08520,6.63550,6.63550,2.46000,6.01480,51.22310,2.2159,2.1852
2018-06-30,0.10100,0.11230,17.77920,17.77920,16.94480,13.92810,0.07160,2.74130,2.74130,0.99720,2.46450,48.68390,1.8817,1.8453
2018-03-31,0.09690,0.10730,-3.02290,-3.02290,-4.08500,-2.53270,0.05700,-0.39010,-0.39010,-0.14440,-0.35230,48.42170,0.93900,0.92070
2017-12-31,0.09360,0.10320,14.95390,14.95390,13.96170,45.49970,0.06460,7.78840,7.78840,2.93920,7.05960,50.29290,1.8406,1.8287
2017-09-30,0.10080,0.11210,10.05670,10.05670,9.13600,7.22380,0.06540,1.35580,1.35580,0.47240,1.21920,45.87200,1.816,1.7858
2017-06-30,0.10260,0.11430,10.17320,10.17320,9.23520,7.21500,0.06530,1.35630,1.35630,0.47090,1.21710,44.98480,1.8639,1.8217
2017-03-31,0.10400,0.11600,18.97570,18.97570,18.12210,13.19760,0.07340,2.77010,2.77010,0.96850,2.48210,44.08260,0.81680,0.80480
2016-12-31,0.10700,0.11980,10.82320,10.82320,9.75610,7.62200,0.06440,1.41640,1.41640,0.49050,1.26490,42.94400,1.6907,1.6666
2016-09-30,0.10630,0.11890,18.97290,18.97290,18.04570,12.83880,0.06850,2.52770,2.52770,0.88000,2.25900,43.23620,2.009,1.997
