,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-04-30,0.70110,0.60090,1.92090,22.93090,3.46780,3.46780,3.01990,2.01130,1.02380,4.39650,26.33490,3.41750,10.77850,26.11800,2.05620,4.30130,6.85230,2.15220,1.09730
2016-01-31,0.76260,0.58820,1.77680,22.82440,3.54670,3.54670,3.11480,2.13640,0.77190,3.27380,15.08940,5.96450,8.31130,18.70240,1.66680,3.42280,7.03000,1.0898,0.27
2015-10-31,0.71630,0.58940,1.80290,22.32100,3.07880,3.07880,2.65200,1.70690,0.78590,3.08000,20.01200,4.49730,6.83750,13.33960,1.33830,2.80750,6.46480,1.0288,0.1886
2015-07-31,0.75030,0.62360,1.91600,21.43390,3.03070,3.03070,2.58430,1.69540,0.82970,3.61660,19.36240,4.64820,7.36140,15.25190,1.40670,2.77120,6.09530,1.1133,0.2921
2015-04-30,0.75830,0.63700,2.04240,22.05990,3.33420,3.33420,2.88640,1.87290,1.08480,4.50190,27.13550,3.31670,11.27170,25.07030,2.04810,4.09130,5.75470,1.78540,0.89520
2015-01-31,0.78220,0.64110,2.13100,22.45410,3.61800,3.61800,3.16180,2.05500,0.82650,3.43650,19.91070,4.52020,9.61040,21.96560,1.71490,3.44870,5.58730,0.8057,0.0712
2014-10-31,0.76080,0.64560,2.15870,20.90290,2.60540,2.60540,2.14910,1.44880,0.82680,3.22410,21.65250,4.15660,6.83010,15.98770,1.20770,2.42060,5.49790,0.7995,0.0736
2014-07-31,0.76520,0.65900,2.23020,20.44250,2.54440,2.54440,2.10190,1.37100,0.87040,3.66440,21.55880,4.17460,6.96930,15.96720,1.20360,2.37640,5.16670,0.9127,0.2704
2014-04-30,0.76600,0.66950,2.37230,20.92170,2.82150,2.82150,2.37550,1.52000,1.14000,4.61490,29.74820,3.02540,10.67090,26.27780,1.76050,3.52640,4.91750,1.72680,1.01580
2014-01-31,0.82480,0.64150,2.09640,20.78200,3.08760,3.08760,2.62680,1.81720,0.79310,3.25540,20.80820,4.32520,7.89620,16.65360,1.45490,2.83090,5.31000,0.6362,0.1185
2013-10-31,0.80570,0.58890,1.65730,20.48950,2.37650,2.37650,1.89590,1.33070,0.88190,3.17450,21.52300,4.18160,6.03210,8.01380,1.18130,2.47980,4.85410,0.2917,-0.3493
2013-07-31,0.80370,0.59620,1.62790,20.39580,2.62280,2.62280,2.18640,1.39730,0.92700,3.64530,24.08280,3.73710,6.60070,8.85450,1.30760,2.66530,4.69770,0.9529,0.4828
2013-04-30,0.71710,0.57280,1.72890,20.60210,2.93030,2.93030,2.50030,1.60350,1.23820,4.69210,31.21440,2.88330,10.53090,14.39620,1.99780,4.49900,4.47080,1.55480,0.96630
2013-01-31,0.71960,0.59320,2.10700,21.02740,3.40950,3.40950,2.94330,1.92330,0.97510,3.68640,22.85540,3.93780,11.10580,16.42110,1.89980,4.51780,4.09920,0.5781,0.0908
2012-10-31,0.78470,0.64310,2.35490,20.28710,2.73310,2.73310,2.26070,1.45370,0.88440,3.13210,20.98850,4.28810,8.45300,12.24020,1.28960,3.01650,3.65950,0.2953,-0.2017
2012-07-31,0.77620,0.64150,2.14260,20.47320,2.46250,2.46250,1.97460,1.28420,0.92270,3.57200,23.08820,3.89810,7.40840,10.68850,1.19340,2.65600,3.59870,0.7152,0.3019
2012-04-30,0.81210,0.62470,1.99310,20.54020,2.80060,2.80060,2.31550,1.51040,1.22170,4.64030,31.52390,2.85500,10.84340,15.05630,1.85360,4.06900,3.70400,1.16190,0.68520
2012-01-31,0.80450,0.63330,2.05870,20.88630,-1.99990,-1.99990,-2.47410,-1.44120,0.90740,3.29530,22.44570,4.00970,-7.71560,-10.82040,-1.30350,-2.82910,3.53480,0.1848,-0.2104
