,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.11740,2.26200,43.25300,33.37350,0.00930,6.37770,7.41900,0.31720,5.12270,32.91320,3.2666,3.0303
2022-09-30,0.12110,1.27980,36.72390,27.87320,0.00860,5.09870,5.92570,0.24530,4.06140,31.38810,1.1855,0.8336
2022-06-30,0.10650,0.29990,35.91160,26.93370,0.00820,3.90990,4.39680,0.23120,3.22070,37.42910,3.4316,3.1048
2022-03-31,0.09870,0.21080,35.46590,27.12100,0.00790,3.46770,3.84540,0.22280,2.90710,41.58630,1.89860,1.54920
2021-12-31,0.11940,0.25660,37.46520,28.83010,0.00770,3.03290,3.30340,0.22850,2.51330,49.22010,1.0404,0.7082
2021-09-30,0.11600,0.20570,42.02700,31.62160,0.00840,3.27240,3.55080,0.27180,2.72910,49.66460,1.1495,0.7112
2021-06-30,0.14000,0.25510,51.52890,39.07140,0.01010,4.66220,5.04420,0.40590,3.78970,49.51060,-1.2177,-1.4094
2021-03-31,0.14070,0.29380,48.58160,37.11580,0.00990,4.37080,4.65520,0.37830,3.48790,48.43100,2.95330,2.62990
2020-12-31,0.14490,0.36880,45.84930,35.12130,0.00960,3.87980,4.13390,0.34860,3.07960,48.05900,0.9954,0.7139
2020-09-30,0.14940,0.33890,32.72450,25.41860,0.00840,2.46410,2.63080,0.22330,1.94120,46.75350,0.9254,0.6732
2020-06-30,0.15150,0.29210,16.01560,11.13280,0.00670,0.94160,1.00590,0.08630,0.73920,46.19520,1.5362,1.1992
2020-03-31,0.19370,0.74410,3.77360,1.41510,0.00590,0.20270,0.21680,0.01960,0.15110,45.60210,0.88440,0.72260
2019-12-31,0.18980,0.51350,33.19210,24.57630,0.01020,2.69630,2.88690,0.26460,2.01630,44.54820,1.8347,1.7243
2019-09-30,0.14190,0.77520,40.96730,30.44100,0.01000,3.19750,3.41800,0.31550,2.53690,44.07390,0.7391,0.5395
2019-06-30,0.13990,0.95530,37.64710,27.79410,0.00970,2.81530,3.00680,0.28260,2.24110,42.94800,1.3785,1.1893
