,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2019-09-30,1.41180,0.57380,1.40900,75.99060,43.21690,43.21690,37.77700,28.74410,0.07680,3.04260,2.70480,33.27400,7.20600,7.20600,2.20650,3.07130,5.06130,0.6364,0.4842
2019-06-30,1.55190,0.55810,1.28290,77.81770,42.63310,42.63310,37.43870,28.42210,0.08070,3.05860,2.75520,32.66580,7.07890,7.07890,2.29410,3.12810,5.13250,0.4578,0.325
2019-03-31,1.80630,0.55860,1.26690,73.71390,40.45800,40.45800,35.31360,27.68010,0.07900,3.28630,2.72420,33.03680,6.70150,6.70150,2.18590,2.95820,5.12670,0.47860,0.35410
2018-12-31,1.33940,0.53950,1.17310,74.80120,39.73910,39.73910,34.93480,26.82150,0.08560,3.01140,3.11190,28.92140,6.70110,6.70110,2.29520,3.08580,5.12520,0.4673,0.299
2018-09-30,1.43210,0.50030,1.00270,73.44200,41.32310,41.32310,36.75300,28.57140,0.08490,2.93640,2.87060,31.35190,6.50890,6.50890,2.42530,3.25220,5.42190,0.5579,0.4361
2018-06-30,1.66340,0.49540,0.98320,72.56610,41.36040,41.36040,36.87940,28.27210,0.08400,2.61040,2.99420,30.05800,6.25400,6.25400,2.37510,3.15560,5.44280,0.4089,0.2656
2018-03-31,1.87310,0.48890,0.95800,70.86230,36.30040,36.30040,31.71070,24.16550,0.07680,2.27100,2.75220,32.70170,4.82940,4.82940,1.85640,2.46810,5.48010,0.36260,0.24400
2017-12-31,1.01110,0.44470,0.80220,69.19320,39.32940,39.32940,34.33460,144.60360,0.08010,2.37100,2.95150,30.49250,28.12310,28.12310,11.58400,15.61620,5.51440,0.2136,0.0289
2017-09-30,1.04670,0.51950,1.08300,69.48600,31.64420,31.64420,27.34230,16.73350,0.07710,2.13520,2.79610,32.18740,4.21020,4.21020,1.29030,2.02290,4.06610,0.4877,0.3025
2017-06-30,1.57300,0.50440,1.01930,72.75830,32.62870,32.62870,28.19640,17.38830,0.08180,1.86680,2.88970,31.14560,4.39620,4.39620,1.42220,2.17880,4.23400,0.1907,0.0055
2017-03-31,1.16820,0.48440,0.96790,69.04850,26.80380,26.80380,20.28580,12.61760,0.08030,2.13980,3.04240,29.58170,3.10220,3.10220,1.01370,1.59950,4.21560,0.37420,0.22070
2016-12-31,1.21910,0.48380,0.96570,70.92530,33.84920,33.84920,24.72840,15.08070,0.08580,2.16950,3.23770,27.79720,3.91650,3.91650,1.29330,2.02150,4.19960,0.1898,-0.0227
2016-09-30,0.95580,0.45870,0.90140,70.99630,31.03320,31.03320,26.38380,16.78970,0.07810,1.97980,2.92970,30.71960,3.89890,3.89890,1.31200,2.11060,4.15310,0.3221,0.1332
2016-06-30,0.97630,0.46010,0.90640,70.56210,31.06510,31.06510,26.14650,16.45710,0.07830,1.99500,2.96490,30.35500,3.82800,3.82800,1.28800,2.06690,4.09620,0.2964,0.0703
