,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-11-30,1.10680,0.20530,0.29390,87.44750,33.25970,33.25970,33.52490,25.98900,0.16660,2.19130,41.07180,8.36950,-635.67570,4.32910,6.65160,30.41340,4.8864,4.6964
2022-08-31,1.14130,0.20150,0.28710,87.68330,33.47620,33.47620,32.84460,25.62600,0.16580,2.57280,34.98080,7.90370,1646.37700,4.24770,6.31110,30.77730,3.7019,3.4313
2022-05-31,1.07080,0.20590,0.29500,87.71090,34.86090,34.86090,34.01730,26.85820,0.16660,2.76200,32.58550,8.42330,-252.78970,4.47470,6.68860,29.69210,4.3287,4.0614
2022-02-28,1.03880,0.20840,0.29950,87.98690,37.07180,37.07180,36.20370,29.70440,0.16410,2.52940,35.58190,9.19060,-165.92400,4.87370,7.27540,29.18430,3.72420,3.51370
2021-11-30,1.25060,0.21790,0.27860,87.66420,36.52070,36.52070,35.71780,30.00000,0.15090,2.18850,41.12410,8.33280,399.02910,4.52630,6.51690,31.15160,4.2952,4.0894
2021-08-31,1.39220,0.22240,0.28600,88.13220,36.62010,36.62010,36.03560,30.80050,0.15050,2.54690,35.33670,8.40850,118.94010,4.63590,6.53860,30.28150,2.919,2.7214
2021-05-31,1.31460,0.22920,0.29740,88.42240,36.66230,36.66230,36.14080,29.10040,0.14990,2.59650,34.66230,8.05660,317.04540,4.36240,6.20970,29.03980,4.1483,3.9503
2021-02-28,1.27180,0.23320,0.30410,88.55310,37.23430,37.23430,36.69650,32.29190,0.15630,2.56910,35.03200,9.30900,-4503.57100,5.04700,7.13840,28.27980,3.66870,3.54660
2020-11-30,1.47790,0.23690,0.31040,87.50000,35.48480,35.48480,34.95910,65.71260,0.14100,2.44920,36.74650,16.96320,193.46520,9.26540,12.94520,27.69100,3.6743,3.4618
2020-08-31,1.44000,0.26000,0.35140,86.75970,33.14730,33.14730,32.86820,29.61240,0.14390,2.44690,36.78140,8.15330,-202.76010,4.26070,6.03320,24.40210,2.9608,2.7011
2020-05-31,1.28760,0.27440,0.37810,86.73270,32.48080,32.48080,31.96930,35.16620,0.14480,2.28990,39.30310,10.10940,-81.54190,5.09190,7.33580,22.66880,2.458,2.2589
2020-02-29,1.23470,0.28210,0.39300,85.37690,30.31380,30.31380,29.73150,30.89620,0.14570,2.22530,40.44320,9.12570,-51.56590,4.50170,6.55100,21.66670,2.71520,2.52250
2019-11-30,0.79290,0.08590,0.39300,84.85960,32.38640,32.38640,31.98530,28.44250,0.14410,1.94920,46.17310,8.08170,-45.21790,4.09880,7.38780,21.80120,2.7862,2.5944
2019-08-31,0.73690,0.08800,0.40390,85.32110,30.13410,30.13410,29.46370,27.98170,0.14130,2.06610,43.56130,7.74200,-35.07420,3.95420,7.06070,21.12330,1.8866,1.7044
2019-05-31,0.69500,0.09050,0.41620,85.16760,27.33240,27.33240,25.91110,23.06850,0.13950,2.15610,41.74200,6.37350,-23.59010,3.21880,5.79690,20.42410,2.2644,1.9672
2019-02-28,0.96610,0.24690,0.41830,84.73660,26.72050,26.72050,26.98960,25.91310,0.13330,1.93770,46.44790,6.82770,-23.62150,3.45540,5.14180,20.20760,2.05060,1.91900
2018-11-30,1.12920,0.30580,0.44060,85.42320,29.22060,29.22070,28.37530,27.52830,0.13130,1.87340,48.04080,7.24690,-20.63500,3.61490,5.03060,19.19790,2.2109,2.0853
2018-08-31,1.66160,0.17460,0.21150,87.10250,31.36540,31.36540,30.61260,29.08200,0.14880,2.19350,41.03120,7.51860,63.11980,4.32780,6.20580,18.12230,1.9337,1.805
2018-05-31,2.07600,0.17710,0.21530,87.18460,31.81640,31.81640,31.46630,30.20770,0.14480,2.04240,44.06520,7.61770,25.89170,4.37350,6.26830,17.75070,1.9644,1.873
2018-02-28,2.11530,0.17840,0.21710,87.54650,33.80240,33.80240,33.79120,28.04670,0.13880,1.95630,46.00510,6.75320,23.93200,3.89410,5.54840,17.51750,1.98140,1.79090
