,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.38500,0.69270,3.77040,3.77040,2.90270,2.55510,0.31790,2.66900,-3.58490,0.83230,1.64140,150.27990,6.3268,5.2796
2022-09-30,0.38390,0.70040,4.72840,4.72840,7.70980,6.08880,0.31400,6.16200,-8.26560,1.92640,3.79650,147.45580,11.0366,9.87
2022-06-30,0.40290,0.72690,5.23530,5.23530,4.36460,3.42790,0.29800,3.42320,-4.74010,1.02990,2.04410,150.50670,3.9674,2.9411
2022-03-31,0.40210,0.71970,4.92440,4.92440,3.52010,2.68830,0.28830,2.59820,-3.58590,0.78500,1.55340,145.32910,6.31840,5.42200
2021-12-31,0.39770,0.71440,3.36410,3.36410,2.87170,2.44270,0.29500,2.40400,-3.45610,0.73150,1.44780,145.93680,12.4521,11.5856
2021-09-30,0.39990,0.72350,5.17970,5.17970,4.64910,3.66010,0.28710,3.44740,-4.91820,1.06000,2.06870,143.09900,6.3274,5.259
2021-06-30,0.39350,0.68020,4.97790,4.97790,4.40050,3.40130,0.27970,3.02980,-4.56200,0.95720,1.83760,143.23680,-0.7947,-1.5568
2021-03-31,0.39600,0.66390,4.77650,4.77650,3.69290,2.83370,0.26940,2.43170,-3.74460,0.77000,1.46880,140.33380,3.10530,2.41780
2020-12-31,0.36990,0.65410,3.22450,3.22450,12.89320,9.91320,0.26830,8.23000,-14.04120,2.66450,5.18570,141.86050,11.6025,10.7434
2020-09-30,0.38070,0.74910,5.14710,5.14710,4.40480,3.38910,0.25590,2.91010,-4.35000,0.87350,1.80210,132.97370,2.5704,1.8706
2020-06-30,0.40150,0.77100,6.72100,6.72100,5.82960,4.46710,0.24600,3.71540,-5.33170,1.10260,2.22380,129.00560,8.8856,8.1874
2020-03-31,0.41620,0.80930,5.35760,5.35760,3.63150,3.07000,0.24870,2.63720,-3.33430,0.76850,1.53950,122.19060,5.03680,4.32420
2019-12-31,0.41290,0.82500,4.08160,4.08160,3.29720,2.55460,0.24550,2.17010,-2.74710,0.63170,1.27400,121.71870,7.2839,6.4754
2019-09-30,0.43230,0.86700,5.50630,5.50630,4.57260,3.50400,0.24900,3.02920,-3.67470,0.87440,1.71960,119.70010,6.4944,5.8534
2019-06-30,0.45700,0.89450,5.57200,5.57200,4.52870,3.62710,0.25140,3.21790,-3.67690,0.91320,1.74710,116.04070,2.8823,2.0725
2019-03-31,0.46970,0.95460,5.87680,5.87680,4.71200,3.60510,0.24580,3.23490,-3.39080,0.88890,1.71530,111.77260,8.31200,7.80680
2018-12-31,0.49060,1.03520,3.90910,3.90910,1.59440,1.00700,0.09330,0.35820,-0.34610,0.09590,0.18250,107.72490,0.2601,-0.4441
2018-09-30,0.61680,1.61040,9.88040,9.88040,9.01630,6.73820,0.13810,4.97590,8.21130,0.93300,1.90660,63.90720,2.4968,1.9876
