,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-10-31,1.99130,,55.94580,18.97940,18.97940,18.99730,13.75800,0.34970,0.46970,19.30660,4.66160,8.40580,9.87140,4.81160,8.40580,23.83300,0.5142,-0.861
2022-07-31,1.97740,,56.49310,21.47420,21.47420,21.48190,15.49630,0.37970,0.55600,22.84470,3.93970,10.13090,12.04320,5.88370,10.13090,22.40760,0.7539,-0.3818
2022-04-30,1.90840,,53.94560,16.13590,16.13590,16.13460,11.77580,0.34350,0.58280,20.58230,4.37270,7.12120,8.58900,4.04490,7.12120,20.85470,-1.89240,-2.75870
2022-01-31,1.86070,,58.06040,27.73720,27.73720,27.74540,20.40780,0.43080,0.92390,27.65050,3.25490,15.85760,19.04160,8.79120,15.85760,21.32330,5.6062,4.6292
2021-10-31,2.06730,,57.18290,17.78430,17.78430,17.78530,12.94710,0.31720,0.65790,19.25090,4.67510,7.06380,8.54400,4.10730,7.06380,20.55430,1.2251,0.2817
2021-07-31,2.31850,,58.09150,20.06260,20.06260,20.06920,14.34380,0.32930,0.76970,25.83470,3.48370,7.78960,9.42170,4.72350,7.78960,20.57160,2.1954,1.5783
2021-04-30,2.33560,,57.10020,15.80320,15.80320,15.82170,11.81900,0.28330,0.71790,21.53360,4.17950,5.49110,6.66510,3.34780,5.49110,20.26420,1.63460,1.14430
2021-01-31,2.40540,,58.55480,26.47540,26.47550,26.42420,19.07070,0.41330,1.10750,27.71760,3.24700,12.89150,15.76950,7.88100,12.89150,19.62800,5.4861,5.0393
2020-10-31,2.19030,,56.14280,18.33860,18.33860,18.28670,12.85480,0.30800,0.63560,18.69480,4.81420,6.64110,8.47930,3.95940,6.64110,16.59510,0.1931,-0.3111
2020-07-31,1.95170,,54.21180,13.77820,13.77820,13.74010,9.61310,0.25840,0.61450,18.45680,4.87630,4.33770,5.67310,2.48430,4.33770,15.35650,1.3861,0.9838
2020-04-30,2.68340,,51.29170,5.02340,5.02340,5.20350,4.39170,0.20360,0.50740,13.39170,6.72060,1.55970,1.58040,0.89430,1.55970,14.09990,-0.92690,-1.32520
2020-01-31,2.91410,,58.02010,29.80250,29.80250,29.95480,21.32540,0.42590,1.13140,34.74700,2.59010,15.26580,15.45920,9.08230,15.26580,14.97690,4.3839,3.8602
2019-10-31,2.52570,,55.12750,19.19240,19.19240,19.40250,13.75140,0.32090,0.65550,25.63050,3.51140,7.64110,7.75630,4.41250,7.64110,12.65380,0.3445,-0.2551
2019-07-31,2.41220,,54.99460,19.01640,19.01640,19.22590,14.14950,0.32780,0.80430,31.93720,2.81800,8.29190,8.42710,4.63830,8.29190,11.56840,0.8608,0.3437
2019-04-30,2.32950,,53.90670,16.46550,16.46550,16.76960,12.34840,0.31760,0.81400,38.91150,2.31290,7.06820,7.19510,3.92210,7.06820,10.49060,-0.47820,-0.99920
2019-01-31,2.85580,,57.26830,28.38820,28.38820,28.63320,18.71290,0.56000,1.23230,32.62330,2.75880,15.10850,15.36610,10.47940,15.10850,11.04370,3.1632,2.6555
2018-10-31,3.07310,,54.40700,18.17720,18.17720,18.45060,12.62790,0.37740,0.68730,25.38900,3.54480,6.71140,6.82910,4.76590,6.71140,10.62160,0.8199,0.2666
2018-07-31,2.91220,0.07570,54.76080,18.54980,18.54980,18.76970,13.23700,0.38460,0.83350,30.74150,2.92760,7.25410,7.38990,5.09100,7.25410,9.96820,1.2976,0.9255
2018-04-30,5.43450,,53.05980,16.05420,16.05420,16.50330,11.56720,0.32300,0.81660,29.70090,3.03020,4.59300,4.66250,3.73580,4.59300,12.05890,0.26360,0.01120
2018-01-31,4.90870,,56.25650,27.59230,27.59230,27.72430,12.89410,0.46480,1.23280,48.44320,1.85780,7.49930,7.61700,5.99260,7.49930,11.79170,2.6243,2.2554
2017-10-31,4.93960,,52.01170,13.82640,13.82640,13.99640,9.52220,0.35980,0.74850,29.08780,3.09410,4.14730,4.21990,3.42610,4.14730,10.49900,0.2199,-0.2042
2017-07-31,5.22100,,51.18660,11.82540,11.82540,11.96520,8.38320,0.34440,0.89650,36.60640,2.45860,3.48480,3.54760,2.88760,3.48480,10.31760,0.6072,0.3861
2017-04-30,5.49920,,49.37370,8.73000,8.73000,8.90440,6.00530,0.32330,0.86660,48.59500,1.85200,2.31850,2.36100,1.94150,2.31850,9.84350,0.14140,-0.00350
2017-01-31,4.80490,,54.16850,24.89160,24.89160,25.00010,17.23360,0.47660,1.21310,85.86310,1.04820,10.01010,10.19420,8.21310,10.01010,9.92070,2.0953,1.78
2016-10-31,4.80900,,51.14210,17.07790,17.07790,17.19330,12.54280,0.36810,0.72970,45.71080,1.96890,5.66930,5.78730,4.61720,5.66930,8.78660,-0.0185,-0.2728
2016-07-31,4.87590,,49.39770,14.37440,14.37440,14.48670,10.42230,0.36350,0.93900,50.46290,1.78350,4.63800,4.74010,3.78840,4.63800,8.43680,0.4463,0.1208
2016-04-30,4.79770,,48.25900,11.62200,11.62200,11.52400,9.14930,0.35350,0.89570,52.14860,1.72580,3.99010,4.08100,3.23450,3.99010,8.28380,0.29110,0.09730
2016-01-31,4.06660,,50.33070,23.61050,23.61050,23.74370,16.67190,0.53590,1.23170,53.72870,1.67510,11.42760,11.70990,8.93520,11.42760,7.48420,1.9399,1.6888
2015-10-31,4.45690,,46.86270,14.21280,14.21280,13.61040,11.08060,0.36300,0.71250,38.48940,2.33830,5.01460,5.13780,4.02200,5.01460,7.60450,-0.0424,-0.352
2015-07-31,6.20000,,46.80360,14.69700,14.69700,14.88290,10.52250,0.35000,0.85880,37.10460,2.42560,4.35140,4.45550,3.68310,4.35140,7.77280,0.08,-0.1835
2015-04-30,6.77990,,48.60820,16.06350,16.06350,16.18840,11.28810,0.31660,0.92040,31.87660,2.82340,4.17550,4.27360,3.57400,4.17550,8.07420,0.14710,-0.04920
2015-01-31,5.94820,,51.45990,26.08970,26.08970,26.38100,18.39910,0.46480,1.40520,43.83030,2.05340,10.17400,10.42430,8.55210,10.17400,7.67600,1.0161,0.8093
2014-10-31,6.39360,,50.33140,19.35070,19.35070,19.78320,14.41380,0.32650,0.90620,39.12640,2.30020,5.57020,5.71480,4.70620,5.57020,7.62600,0.3112,0.0462
2014-07-31,8.47780,,50.49990,17.37560,17.37560,17.85940,12.47680,0.30100,1.09570,44.22280,2.03520,4.32670,4.43680,3.75590,4.32670,9.86700,0.3653,0.1818
2014-04-30,9.30370,,50.89310,18.14810,18.14810,18.57530,4.93500,0.29790,1.06480,49.00220,1.83670,1.68210,1.72510,1.47030,1.68210,9.76920,0.48660,0.31210
2014-01-31,5.94820,,53.51130,29.58710,29.58720,29.87870,21.05440,0.40190,1.16380,37.90140,2.37460,10.06750,10.31520,8.46250,10.06750,7.67600,1.2566,1.0207
2013-10-31,9.30720,,53.85790,24.30530,24.30530,24.68780,17.40220,0.32340,0.85030,31.38370,2.86770,6.34000,6.52130,5.62860,6.34000,9.04990,0.1632,-0.0279
2013-07-31,8.30330,,53.97620,22.92690,22.92690,23.30280,16.38980,0.30920,0.97270,29.70710,3.02960,5.76590,5.94330,5.06810,5.76590,6.75190,0.3138,0.156
2013-04-30,8.46590,,49.37360,19.05510,19.05510,19.48920,13.67310,0.32820,1.21810,44.59400,2.01820,5.08340,5.25180,4.48790,5.08340,6.43420,0.17230,0.02850
2013-01-31,5.90190,,56.54240,31.42710,31.42710,31.72720,22.52880,0.46190,1.35920,76.44290,1.17730,12.32670,12.76110,10.40600,12.32670,7.89620,1.1441,0.999
2012-10-31,7.03020,,55.38060,25.46650,25.46650,25.91640,18.10720,0.35610,0.85740,39.36540,2.28630,7.47310,7.78250,6.45600,7.47310,6.86920,0.341,0.1147
2012-07-31,8.04960,,55.10840,24.83350,24.83350,25.24610,20.24600,0.34090,1.01200,42.57180,2.11410,7.94420,8.29710,6.95930,7.94420,6.50650,0.3265,0.1456
2012-04-30,7.87910,,55.04550,25.57420,25.57420,25.89270,16.32600,0.37070,1.19270,58.93110,1.52720,6.97560,7.31820,6.09560,6.97560,6.03860,0.10950,0.02240
2012-01-31,5.09570,,56.26720,31.24110,31.24110,31.34340,19.78840,0.50570,1.56080,71.41870,1.26020,12.18930,12.86570,10.05790,12.18930,4.22290,1.0334,0.923
2011-10-31,5.18480,,55.82280,25.94130,25.94130,26.21020,16.85110,0.36190,0.78740,21.28870,4.22760,7.36000,7.83930,6.12210,7.36000,3.68740,0.2337,0.1034
2011-07-31,5.91110,,57.49120,28.01530,28.01530,28.29650,18.07580,0.36200,1.01540,21.84390,4.12010,7.72860,8.19490,6.58490,7.72860,3.48700,0.0955,0.0106
2011-04-30,5.93300,,58.74670,27.67270,27.67270,28.15670,17.86700,0.34820,1.19600,15.37410,5.85400,7.35220,7.84750,6.24760,7.35220,3.18630,0.03900,-0.47740
2011-01-31,4.56020,,58.45990,29.05390,29.05390,29.27480,22.31710,0.49150,1.77380,26.91960,3.34330,13.94070,14.97000,11.00880,13.94070,3.69340,0.6393,0.5811
2010-10-31,4.84970,,55.08080,24.10470,24.10470,24.15640,14.61950,0.41960,1.08140,19.27420,4.66950,7.93910,8.63970,6.19020,7.93910,2.30050,0.3711,0.2991
2010-07-31,5.54560,,52.75540,22.49750,22.49750,23.87190,14.31730,0.41850,1.08100,19.38710,4.64230,7.40060,8.08220,5.96840,7.40060,2.06870,0.153,0.0264
2010-04-30,5.11660,,53.76620,23.48140,23.48140,23.59780,14.16370,0.41520,1.25990,15.07000,5.97210,7.31450,7.54250,5.88070,7.31450,1.89250,0.08780,0.04680
2010-01-31,3.68810,,53.89590,25.79920,25.79920,25.84030,17.71480,0.52270,1.68020,19.49580,4.61640,12.20510,12.64160,9.25960,12.20510,1.65300,0.4672,0.4215
2009-10-31,4.20990,,49.90480,18.53650,18.53650,18.53380,12.46160,0.45750,1.08540,17.32790,5.19390,7.30430,7.63150,5.70090,7.30430,1.36950,0.16,0.1345
2009-07-31,4.04710,,46.21730,14.66620,14.66620,14.68980,9.45960,0.43270,1.12920,16.88050,5.33160,5.22030,5.48430,4.09340,5.22030,1.26040,0.1841,0.1623
2009-04-30,4.16110,,42.87950,12.06290,12.06290,12.15840,7.97990,0.39310,1.04530,21.11690,4.26200,3.87350,4.07110,3.13690,3.87350,1.19830,0.02000,0.00380
2009-01-31,2.58050,,49.74360,15.41270,15.41270,15.59360,10.49290,0.49110,1.00340,25.79470,3.48910,7.01360,7.40380,5.13150,7.01360,1.10700,0.3273,0.0177
