,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.49020,1.24270,13.37220,13.82130,0.00990,1.61800,1.79730,0.13970,0.73670,47.43980,1.8722,1.8722
2022-09-30,0.46720,1.14790,23.47100,17.36020,0.01000,2.21030,2.46110,0.18640,1.04530,47.00620,3.1384,3.1384
2022-06-30,0.45530,1.04210,21.67440,17.26050,0.00870,1.84800,2.04670,0.15690,0.89430,47.40170,1.9873,1.9873
2022-03-31,0.45770,1.02890,24.53340,18.46130,0.00950,2.35230,2.59070,0.19600,1.13480,47.94040,0.05140,0.05140
2021-12-31,0.45810,1.02620,38.06080,25.67110,0.01090,3.76290,4.08250,0.32850,1.82410,48.92430,1.1816,1.1816
2021-09-30,0.46030,1.07270,34.23800,23.66410,0.01030,3.16450,3.44860,0.27650,1.52660,47.80460,-1.2205,-1.2205
2021-06-30,0.48190,1.16650,38.03530,26.67440,0.01110,3.91390,4.24350,0.34660,1.80910,47.01240,-1.9428,-1.9428
2021-03-31,0.49320,1.28610,28.55470,21.73650,0.01000,2.80540,3.06080,0.23930,1.26190,45.48240,-0.83190,-0.83190
2020-12-31,0.53420,1.46440,22.59990,15.70280,0.00980,2.15950,2.34000,0.18200,0.89150,44.81450,-5.5094,-5.5094
2020-09-30,0.54230,1.48840,17.88970,15.64130,0.00960,2.11330,2.29850,0.17690,0.85510,44.04870,-2.128,-2.128
2020-06-30,0.56180,1.61780,-66.25910,-47.53200,0.00440,-2.38830,-2.60930,-0.19290,-0.92400,43.72360,3.9565,3.9565
2020-03-31,0.56420,1.79800,4.84250,0.30630,0.00690,0.31180,0.34260,0.02550,0.12000,44.75380,4.17700,4.17700
2019-12-31,0.54830,1.76980,25.59450,12.91880,0.01090,1.85600,2.07810,0.16030,0.74220,45.46800,2.8177,2.8177
2019-09-30,0.54260,1.82370,28.69340,18.93970,0.01100,2.78360,3.09340,0.24750,1.13210,45.53980,-2.9169,-2.9169
2019-06-30,0.54690,1.78380,36.20320,27.74060,0.01100,3.58050,3.95830,0.32950,1.43550,45.26140,-0.1145,-0.1145
2019-03-31,0.54320,1.72560,32.98020,26.52190,0.01100,3.39960,3.78740,0.31610,1.37150,44.04590,1.73450,1.73450
2018-12-31,0.53750,1.69910,34.80130,27.91440,0.01080,3.53980,3.98170,0.32460,1.44420,43.01570,3.0936,3.0936
2018-09-30,0.52570,1.63650,35.56950,25.52780,0.01140,3.45410,3.90480,0.32490,1.44560,42.38070,1.427,1.427
2018-06-30,0.51550,1.57120,33.73770,22.70980,0.01120,2.94400,3.26060,0.28240,1.24810,42.49660,-0.1538,-0.1538
2018-03-31,0.52470,1.57600,30.81910,21.76790,0.01140,2.96470,3.26780,0.27810,1.22970,42.24760,3.08880,3.08880
2017-12-31,0.51960,1.57770,21.49170,26.82370,0.01100,3.41560,3.74960,0.31980,1.44100,42.53790,0.0398,0.0398
2017-09-30,0.53600,1.60860,32.08880,19.54860,0.01090,2.53800,2.77950,0.23770,1.03200,41.97030,1.922,1.922
2017-06-30,0.53680,1.62130,37.54150,25.13840,0.01120,3.26790,3.56380,0.30530,1.32450,41.50480,-0.8419,-0.8419
2017-03-31,0.55880,1.73510,36.29560,24.17090,0.01110,3.23470,3.55120,0.29340,1.24740,40.52430,2.59110,2.59110
2016-12-31,0.55990,1.75490,36.39600,23.44900,0.01080,3.01460,3.32670,0.27480,1.16420,39.97060,0.9467,0.9467
2016-09-30,0.55540,1.86070,38.35430,24.36000,0.01110,3.15220,3.41670,0.29110,1.23240,40.59760,-0.4718,-0.4718
2016-06-30,0.54620,1.79700,38.98900,24.53050,0.01120,3.13390,3.39920,0.29500,1.24790,40.14290,-1.4283,-1.4283
2016-03-31,0.53450,1.69060,38.28230,24.08930,0.01140,3.16070,3.47210,0.29820,1.29320,39.10710,1.15070,1.15070
2015-12-31,0.50720,1.53210,39.29660,25.06870,0.01160,3.27530,3.63620,0.31460,1.42920,38.07660,-0.7597,-0.7597
2015-09-30,0.48840,1.40870,41.43680,25.70850,0.01210,3.48620,3.85240,0.34160,1.57730,37.98450,3.6469,3.6469
2015-06-30,0.48530,1.37780,40.67470,25.51620,0.01220,3.42310,3.83060,0.33630,1.56200,37.05880,-0.3141,-0.3141
2015-03-31,0.49110,1.37390,39.49200,26.41990,0.01190,3.50310,3.88980,0.33860,1.57640,36.79380,0.47960,0.47960
2014-12-31,0.49820,1.33570,39.65550,25.67990,0.01240,3.48810,3.97870,0.34330,1.56880,35.83160,0.5308,0.5308
2014-09-30,0.50220,1.35260,41.24250,25.94390,0.01270,3.63970,4.19280,0.36380,1.62010,35.08910,2.8358,2.8358
2014-06-30,0.48040,1.26540,41.51280,26.01560,0.01300,3.55410,4.11090,0.36190,1.65590,34.58150,-0.6051,-0.6051
2014-03-31,0.46510,1.19270,41.14290,27.62070,0.01310,3.81380,4.51140,0.39280,1.84150,33.51280,0.53070,0.53070
2013-12-31,0.47220,1.20980,40.47390,26.44570,0.01330,3.69200,4.44380,0.37500,1.76320,32.52860,2.701,2.701
2013-09-30,0.47250,1.21470,40.68520,26.05990,0.01370,3.70800,4.45830,0.38190,1.77580,32.01010,3.9234,3.9234
2013-06-30,0.42970,1.10120,40.87140,25.43670,0.01440,3.74390,4.56760,0.38930,1.95300,30.88880,2.4004,2.4004
2013-03-31,0.43580,1.14380,38.12380,24.60580,0.01390,3.50380,4.19220,0.36330,1.80260,30.89470,1.70670,1.70670
