,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,4.39700,67.12390,22.50760,22.50760,23.84890,19.63140,0.12760,0.60920,1.75670,51.23200,3.02990,3.34890,2.59520,3.02990,31.75030,1.1975,0.8217
2022-09-30,5.10220,67.55490,25.61320,25.61320,25.86360,20.80390,0.11740,0.60360,1.83310,49.09720,2.80540,3.08780,2.44860,2.80540,32.75970,1.0804,0.6054
2022-06-30,5.35530,67.22950,26.12180,26.12180,26.73280,20.22210,0.11110,0.68900,1.81530,49.57950,2.59550,2.84240,2.28820,2.59550,33.83480,1.2322,0.8716
2022-03-31,5.21780,67.86990,27.43160,27.43160,27.04850,24.57490,0.10880,0.73200,1.64190,54.81550,3.03860,3.31260,2.70060,3.03860,33.87270,0.60810,0.34880
2021-12-31,5.08340,68.40780,29.04490,29.04490,29.29000,24.54380,0.11440,0.83440,1.98120,45.42660,3.20210,3.48710,2.82330,3.20210,33.41210,1.5633,1.1876
2021-09-30,5.57580,69.22260,31.53990,31.53990,32.85830,27.11470,0.10850,0.73840,2.01910,44.57350,3.37890,3.67580,2.99350,3.37890,32.08150,1.3525,1.1681
2021-06-30,5.98910,69.92490,34.91800,34.91800,35.94260,35.32790,0.11910,0.77290,2.09170,43.02660,4.80720,5.26140,4.25310,4.80720,30.55180,1.484,1.277
2021-03-31,6.70620,69.85530,32.25760,32.25760,34.73420,32.99280,0.11200,0.67530,1.97480,45.57470,4.27080,4.67020,3.77110,4.27080,28.68860,1.31210,1.15110
2020-12-31,6.86480,67.39900,31.28430,31.28430,32.84180,27.47720,0.11900,0.72040,2.05900,43.71000,3.72580,4.07680,3.25550,3.72580,27.63830,1.7441,1.5707
2020-09-30,7.04180,67.20800,25.09050,25.09050,32.95910,29.12680,0.10150,0.53310,1.83100,49.15470,3.41130,3.73470,2.98380,3.41130,26.34530,0.7462,0.5729
2020-06-30,6.37870,59.01890,9.45900,9.45900,12.58070,7.98030,0.08430,0.54100,1.67470,53.74020,0.80080,0.88150,0.69480,0.80080,24.97550,0.6411,0.3345
