,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,0.39970,0.66580,59.56140,59.56140,48.38790,46.36060,0.03430,2.98600,2.97610,1.65390,1.78660,29.93800,1.1031,2.075
2022-06-30,0.41780,0.71750,45.11220,45.11220,34.07960,32.50630,0.03340,2.10240,2.09530,1.13090,1.22000,29.52450,0.8298,1.2831
2022-03-31,0.42510,0.73950,22.91860,22.91860,11.53150,10.71300,0.03140,0.67100,0.66880,0.35430,0.38450,29.34970,0.94460,0.49920
2021-12-31,0.42710,0.74560,99.49670,99.49670,87.04980,81.56530,0.03050,5.03120,5.01450,2.65000,2.87260,29.79060,0.7285,0.5378
2021-09-30,0.42830,0.74900,83.68890,83.68890,72.01020,69.18710,0.03020,4.12810,4.11390,2.16490,2.35210,28.99620,1.0332,0.4603
2021-06-30,0.43670,0.77530,63.01120,63.01120,54.93490,52.77310,0.02920,3.09330,3.08250,1.60300,1.73630,28.42770,0.5911,0.6606
2021-03-31,0.43240,0.76170,22.68400,22.68400,10.39540,9.49900,0.02960,0.57410,0.57200,0.29930,0.32470,28.29650,0.89440,0.65180
2020-12-31,0.42770,0.74740,58.13260,58.13260,37.48380,41.09380,0.03020,2.45180,2.44330,1.29630,1.39830,28.91060,0.5977,1.2427
2020-09-30,0.43840,0.78080,29.30600,29.30600,15.40290,14.54180,0.03020,0.88980,0.88680,0.46240,0.49800,28.89100,1.0363,0.6585
2020-06-30,0.43730,0.77710,54.60930,54.60930,41.72860,39.80160,0.03150,2.51370,2.50500,1.31060,1.40960,29.11660,0.6573,1.4425
2020-03-31,0.44490,0.80150,61.86160,61.86160,48.93430,45.11660,0.03260,3.09940,3.08870,1.59030,1.71450,28.94540,0.98840,1.69470
2019-12-31,0.46150,0.85700,59.78270,59.78270,43.77190,42.26870,0.03230,2.86760,2.85750,1.42310,1.53870,28.37060,0.9432,0.6531
2019-09-30,0.46350,0.86400,53.76260,53.76260,40.48400,38.87390,0.03250,2.67940,2.66980,1.31970,1.43230,28.02650,1.039,0.3011
2019-06-30,0.46800,0.87970,55.14360,55.14360,37.73720,46.04240,0.03190,3.10670,3.09550,1.53070,1.64680,27.98940,0.8193,0.5712
2019-03-31,0.46580,0.87200,31.69370,31.69370,16.63430,15.66290,0.03190,1.06810,1.06420,0.52610,0.56850,27.71270,0.96980,0.08890
2018-12-31,0.45880,0.84790,33.51720,33.51720,18.89310,17.85530,0.03200,1.18110,1.17680,0.60010,0.63690,28.15240,0.8147,0.5418
2018-09-30,0.45740,0.84300,51.98660,51.98660,34.48040,32.80360,0.03180,2.14620,2.13860,1.08970,1.16040,28.41150,0.9324,0.4604
2018-06-30,0.45660,0.84030,34.01070,34.01070,18.55560,17.63500,0.03140,1.13830,1.13420,0.58030,0.61630,28.34760,0.8451,0.2451
2018-03-31,0.45140,0.82270,53.56610,53.56610,35.02880,33.33820,0.03110,2.10290,2.09550,1.08200,1.14960,28.58430,0.94260,1.33880
2017-12-31,0.46100,0.85520,58.95330,58.95330,43.25850,19.76660,0.03070,1.24640,1.24200,0.63240,0.66950,28.46020,0.7743,0.5783
2017-09-30,0.46150,0.85690,34.89480,34.89480,20.42770,22.02410,0.03020,1.37900,1.37410,0.69670,0.74000,28.55750,1.0724,-0.1341
2017-06-30,0.45990,0.85160,34.37660,34.37660,19.16130,31.88150,0.02970,1.94650,1.93960,0.98930,1.04750,28.65750,0.666,0.7634
2017-03-31,0.45920,0.84920,33.83070,33.83070,15.78810,23.66650,0.02930,1.43100,1.42590,0.72760,0.77110,28.64160,0.79500,0.63070
2016-12-31,0.46210,0.85910,37.00650,37.00650,21.51980,45.66170,0.02920,2.89710,2.88680,1.45860,1.55280,28.59200,1.0357,1.2584
2016-09-30,0.45120,0.82200,34.54580,34.54580,19.11470,34.24380,0.02850,2.10890,2.10130,1.02000,1.15330,28.27460,0.8993,0.7059
2016-06-30,0.42730,0.74610,34.61590,34.61590,28.93740,36.64040,0.02800,2.00860,2.00200,1.07570,1.14650,31.20390,0.7166,0.4778
2016-03-31,0.43150,0.75900,34.99130,34.99130,-0.28410,579.40300,0.02910,33.11010,33.00100,17.52000,18.76080,30.94070,0.52680,16.11370
2015-12-31,0.50520,1.02100,40.82210,40.82210,24.71770,28.86680,0.03040,2.00460,1.99760,0.92460,0.98840,29.32480,0.7709,-0.1276
2015-09-30,0.50230,1.00920,36.99530,36.99530,20.07870,28.12900,0.03030,1.92580,1.91860,0.89260,0.95490,29.39710,1.0193,0.601
2015-06-30,0.49960,0.99840,36.26130,36.26130,20.25620,42.05300,0.02940,2.76280,2.75250,1.29320,1.37730,29.78910,0.8594,0.5526
2015-03-31,0.50430,1.01740,32.76420,32.76420,16.08700,26.83820,0.02890,1.78750,1.78070,0.82530,0.88270,29.32560,0.91470,0.78690
2014-12-31,0.50320,1.01280,37.73370,37.73370,20.67010,32.60360,0.02900,2.12950,2.11960,0.98890,1.05300,29.50980,0.8217,0.8934
2014-09-30,0.50550,1.02240,36.63340,36.63340,17.76820,33.23510,0.02890,2.16780,2.15770,1.00510,1.06690,29.58910,1.0409,0.6341
2014-06-30,0.51040,1.04270,34.98640,34.98640,16.81740,17.10990,0.02840,1.10800,1.10280,0.50980,0.53990,29.39640,0.7477,0.1174
2014-03-31,0.50520,1.02090,31.45660,31.45660,13.15970,12.32930,0.02770,0.76550,0.76200,0.35680,0.37710,29.68190,0.89500,0.08940
2013-12-31,0.49820,0.99270,35.00100,35.00100,10.84970,17.20140,0.02800,0.64050,0.63750,0.30280,0.31990,30.08550,0.3206,0.3693
