,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,4.75550,,51.84070,26.06540,26.06540,26.01090,19.93970,0.18240,0.77870,1.48880,60.45110,4.29430,6.87700,3.63760,4.29430,13.45020,0.56,0.4627
2022-09-30,4.18710,,51.32870,25.73010,25.73010,25.86240,19.84790,0.19800,0.91610,1.54450,58.27040,4.73000,7.71820,3.92920,4.73000,13.00800,0.8605,0.7915
2022-06-30,4.29460,,47.11410,22.53130,22.53130,22.12160,16.51460,0.20250,0.98810,1.40800,63.91920,4.01460,6.55050,3.34380,4.01460,12.92620,0.245,0.0999
2022-03-31,4.54220,,51.14450,26.30690,26.30690,25.82610,19.37360,0.18550,0.90350,1.46050,61.62370,4.28450,6.96730,3.59330,4.28450,12.96470,-0.00070,-0.04080
2021-12-31,4.85150,,53.86370,28.97320,28.97330,29.40340,22.54770,0.18260,1.10800,1.58930,56.62930,4.89290,7.71850,4.11690,4.89290,12.40630,0.4261,0.3969
2021-09-30,4.70230,,55.94660,31.50980,31.50980,31.34750,23.90580,0.18940,1.31780,1.66110,54.18010,5.39960,8.76480,4.52660,5.39960,11.80230,0.6363,0.6132
2021-06-30,4.45130,,57.24180,35.97800,35.97800,36.03770,27.61840,0.20670,1.63260,1.60800,55.97050,6.83710,11.48510,5.70970,6.83710,11.16650,0.7673,0.7555
2021-03-31,4.35290,,57.47920,33.29640,33.29640,33.23540,25.34090,0.19030,1.43560,1.54990,58.06790,5.77340,10.28470,4.82360,5.77340,10.33130,0.32800,0.31270
2020-12-31,4.18800,,57.73580,33.62920,33.62920,33.50340,39.43350,0.19290,1.51790,1.79620,50.10610,9.14060,17.02910,7.60530,9.14060,9.77260,0.7707,0.7587
2020-09-30,3.65210,,59.09450,36.79520,36.79520,36.42870,27.89350,0.21870,1.59840,1.68240,53.49420,7.50980,15.53320,6.10170,7.50980,8.76940,0.9509,0.9273
2020-06-30,3.51400,,60.28630,37.23060,37.23060,37.06640,28.46420,0.21060,1.27570,1.43850,62.56440,7.37570,16.97430,5.99500,7.37570,8.00500,0.4756,0.4421
