,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,0.25500,1.43740,29.89800,21.58130,0.01100,3.89140,3.81400,0.24700,2.66650,52.92490,-4.2877,-4.4002
2022-06-30,0.28440,0.82240,30.64280,22.19140,0.01120,3.89010,3.81710,0.25110,2.56120,53.12090,-7.7129,-7.8153
2022-03-31,0.23390,0.64290,29.75480,21.55300,0.00990,3.69880,3.63570,0.22560,2.61380,54.75480,3.57700,3.45340
2021-12-31,0.23300,0.64640,30.36040,23.38400,0.00910,3.65080,3.59310,0.22100,2.59380,57.83930,9.7742,9.6281
2021-09-30,0.25000,0.85360,31.46100,23.04470,0.00970,3.59270,3.53520,0.23400,2.49420,57.29920,2.3004,2.1763
2021-06-30,0.27480,0.85840,30.26820,22.60940,0.00930,3.36530,3.31220,0.21370,2.25800,56.73360,-5.9103,-6.0461
2021-03-31,0.27910,0.86920,30.73630,22.01560,0.00980,3.54770,3.48800,0.22880,2.36020,55.04900,0.32690,0.27570
2020-12-31,0.28190,0.76150,24.49490,14.95670,0.00900,2.22990,2.19380,0.14170,1.47990,56.11580,7.0603,6.9022
2020-09-30,0.30700,1.15510,26.26300,18.74580,0.00980,2.75380,2.70650,0.19360,1.76260,55.63640,-0.3746,-0.4991
2020-06-30,0.31130,1.17500,27.99810,21.42210,0.00950,2.98460,2.93030,0.20690,1.89560,54.69770,15.1879,14.9999
2020-03-31,0.27570,1.33300,30.20240,21.36640,0.00940,3.60790,3.53860,0.22300,2.40050,52.29320,-12.79830,-12.97750
2019-12-31,0.26500,1.06270,30.76130,22.49630,0.01130,3.77990,3.57030,0.27120,2.45930,52.88760,7.5611,7.0608
2019-09-30,0.27180,1.13780,32.92120,23.76850,0.01240,3.87340,3.79890,0.30930,2.59060,51.02510,2.7182,2.6133
2019-06-30,0.26970,1.13370,33.50080,25.34530,0.01200,3.92400,3.84650,0.30770,2.63170,50.28360,0.4035,0.3174
2019-03-31,0.24410,1.11800,30.53550,22.27020,0.01220,3.56580,3.49430,0.28480,2.47160,48.77040,1.33940,1.29790
2018-12-31,0.24450,1.33850,32.22580,26.79400,0.01140,4.25810,4.16610,0.31000,2.94690,47.98050,2.0288,1.7682
2018-09-30,0.24540,1.32240,32.42770,24.08140,0.01120,3.94940,3.86410,0.28290,2.72670,46.81450,6.4896,6.4187
2018-06-30,0.23520,1.45050,33.71000,25.55500,0.01110,4.12010,4.03140,0.28900,2.88260,46.38800,1.4595,1.3826
2018-03-31,0.23820,1.11230,32.70450,24.63150,0.01140,4.08390,3.96900,0.29430,2.84280,45.45070,-2.10440,-2.13080
2017-12-31,0.23990,1.21330,30.30260,23.40170,0.01040,3.82040,3.71050,0.25730,2.65320,45.17900,3.6987,3.5776
2017-09-30,0.25270,1.19590,30.80910,20.78840,0.01030,3.21440,3.09590,0.22710,2.19360,44.69770,2.4372,2.3333
2017-06-30,0.25500,0.80660,29.42330,19.72600,0.01060,2.91640,2.80680,0.21330,1.98240,44.06350,-2.047,-2.1589
2017-03-31,0.23680,0.79940,30.41080,19.51920,0.01060,3.03550,2.91910,0.22730,2.11190,43.45950,3.40240,3.34040
2016-12-31,0.24120,0.91020,30.82950,19.47920,0.01020,2.99830,2.88080,0.21500,2.06990,42.73920,3.645,3.4137
2016-09-30,0.24890,0.82020,30.71420,20.68710,0.01010,2.96170,2.84470,0.21450,2.01970,42.30780,5.1566,5.0418
2016-06-30,0.26290,1.12850,29.90830,19.48930,0.01090,3.07140,3.12210,0.21640,2.16570,39.50510,-0.9262,-1.0136
2016-03-31,0.26470,0.90120,30.23570,19.81480,0.01010,2.90610,2.95340,0.20830,2.04290,38.71250,-1.28590,-1.33810
2015-12-31,0.26540,0.93030,29.81620,18.55000,0.01010,2.87710,2.92560,0.20500,2.01910,37.96830,5.7658,5.5814
2015-09-30,0.26510,0.91950,30.30460,19.63110,0.00970,2.79420,2.84200,0.19550,1.96260,37.99200,-4.4262,-4.4813
2015-06-30,0.26390,0.78190,32.49860,20.80730,0.01060,3.21980,3.27690,0.22440,2.26480,37.57440,4.4064,4.3336
2015-03-31,0.26940,0.82150,30.72870,19.73660,0.01060,2.80690,2.85510,0.21570,1.95820,36.88410,2.08590,1.97760
2014-12-31,0.28630,0.81580,30.68050,19.62560,0.01030,3.02710,3.08250,0.22190,2.06110,36.20060,-1.4194,-1.5493
2014-09-30,0.28310,0.79420,28.19540,18.95450,0.00970,2.50790,2.55480,0.18400,1.71630,36.27350,-1.1205,-1.1988
2014-06-30,0.29880,0.67980,25.02540,16.81610,0.01020,2.26170,2.42600,0.17200,1.58590,34.13880,4.2246,4.1448
2014-03-31,0.33510,0.80620,25.97590,17.48430,0.01000,2.28220,2.44910,0.17470,1.51750,33.61070,2.25270,2.19620
2013-12-31,0.33480,0.93830,23.62050,15.47780,0.01010,2.14480,2.30220,0.16480,1.42670,33.33870,-0.4927,-0.854
2013-09-30,0.29480,0.84360,28.92920,19.81390,0.01090,2.64160,2.83680,0.21520,1.86300,32.70970,9.2991,9.4099
2013-06-30,0.32130,1.12190,28.14380,18.50320,0.01040,2.47390,2.65630,0.19650,1.67910,32.16730,-6.6185,-6.7004
2013-03-31,0.33750,0.93580,24.96400,16.88290,0.01040,2.15450,2.31550,0.17600,1.42740,31.81780,1.30110,1.25150
2012-12-31,0.35290,0.79070,23.13670,17.13490,0.00990,2.22800,2.39940,0.17210,1.44180,31.50490,0.0938,-0.0946
2012-09-30,0.36430,0.75870,27.64680,18.28570,0.01030,2.37380,2.55640,0.19100,1.50910,31.41050,1.0528,1.0069
2012-06-30,0.35440,0.98910,27.06660,17.98680,0.01040,2.43020,2.61920,0.19010,1.56900,30.72670,-0.902,-0.931
2012-03-31,0.36690,1.04470,24.65640,16.56600,0.01050,2.23170,2.41080,0.17600,1.41300,29.95310,3.13630,3.09530
2011-12-31,0.38930,1.05130,18.17220,13.63440,0.00940,1.82930,1.97710,0.12990,1.11720,29.53130,5.7551,5.5829
2011-09-30,0.38870,0.90070,26.49900,17.65200,0.00990,2.38230,2.57450,0.17730,1.45630,29.68000,-2.8961,-3.0209
2011-06-30,0.39560,1.34690,24.55070,16.06760,0.00960,2.16360,2.30640,0.15610,1.30770,29.15200,2.0281,1.961
2011-03-31,0.40450,1.73260,26.05050,16.91020,0.00950,2.17950,2.31510,0.16290,1.29790,28.65230,0.30000,0.26340
2010-12-31,0.41780,1.44890,25.04380,17.69650,0.01020,2.30000,2.44350,0.18740,1.33900,28.19300,-0.5382,-0.6694
2010-09-30,0.39650,1.79240,27.62070,18.10360,0.01060,2.29880,2.44310,0.19280,1.38730,27.94740,0.6334,0.5163
2010-06-30,0.43060,1.82520,32.79370,21.83330,0.01140,3.01530,3.20560,0.24930,1.71700,27.34340,3.0198,2.9749
2010-03-31,0.40550,1.52820,27.76550,18.32380,0.01120,2.43830,2.59700,0.20600,1.44960,26.65740,0.14350,0.06350
