,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,0.95740,7.29550,-1.15880,85.99050,66.34910,66.34910,62.45450,47.49230,0.20460,,,-10.98940,-9.74190,9.71680,69.18370,-14.50990,2.4995,2.4333
2022-06-30,0.99530,5.38520,-1.22800,85.93350,67.06450,67.06450,62.14830,47.54190,0.19970,,,-11.49830,-10.12410,9.49220,50.42190,-13.49720,1.3577,1.2998
2022-03-31,1.16460,3.56400,-1.39000,85.38480,64.80250,64.80250,59.46960,45.40210,0.17580,,,-12.25590,-10.62320,7.98200,31.42460,-11.70400,1.87760,1.81780
2021-12-31,1.18130,3.40000,-1.41670,85.51280,65.26600,65.26600,59.77080,97.00260,0.17150,,,-26.18800,-22.64060,16.63980,62.85220,-11.40720,1.8195,1.7004
2021-09-30,1.20630,4.85660,-1.25930,85.70150,66.19800,66.19800,60.60430,46.84420,0.18420,,,-11.04700,-9.69600,8.62950,42.60370,-12.73850,2.3455,2.2082
2021-06-30,1.19110,4.86460,-1.25880,85.48880,64.66300,64.66300,57.04310,44.83910,0.18920,,,-10.41770,-9.14370,8.48180,40.25960,-12.65870,1.2791,1.1222
2021-03-31,1.22310,4.62770,-1.27570,85.47590,65.01850,65.01850,58.18910,46.47710,0.18150,,,-10.71410,-9.39240,8.43570,38.86790,-12.44840,1.75020,1.69110
2020-12-31,1.23190,4.47650,-1.28760,85.64150,63.84220,63.84220,57.08200,49.11340,0.18130,,,-11.31680,-9.90890,8.90400,39.34280,-12.25170,1.6743,1.6195
2020-09-30,1.23320,4.43810,-1.29090,85.83610,65.00870,65.00870,58.16270,53.78750,0.18020,,,-12.33390,-10.79570,9.69100,42.40500,-12.13220,1.2369,1.1047
2020-06-30,1.22720,4.60440,-1.27740,86.12820,65.77700,65.77700,60.96350,48.50380,0.17270,,,-10.88880,-9.54280,8.37740,39.24810,-12.17560,1.8793,1.7842
