,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-06-30,2.13400,0.21860,0.28080,100.00000,-98.54940,-98.54940,-103.80780,-82.50230,0.03130,0.96730,93.04450,-4.46350,-4.46350,-2.58360,-3.48780,35.01540,0.1597,-0.5897
2020-03-31,1.50780,0.17970,0.24320,100.00000,1.22930,1.22930,0.65710,0.21200,0.12540,2.68230,33.55380,0.04660,0.04660,0.02660,0.03820,36.88890,4.45690,1.58970
2019-12-31,1.17530,0.16130,0.23920,100.00000,19.99270,19.99270,19.23350,14.73540,0.11640,2.00630,44.85810,2.94170,2.94170,1.71480,2.46730,37.18890,3.1153,0.9371
2019-09-30,1.07730,0.16460,0.24510,100.00000,19.23940,19.23940,18.53060,14.29370,0.11780,2.08530,43.15850,2.91190,2.91190,1.68330,2.43250,36.30990,3.5338,1.0103
2019-06-30,1.01850,0.16800,0.25100,100.00000,24.07110,24.07110,23.18970,18.04830,0.13140,2.21240,40.67980,4.10970,4.10970,2.37150,3.41930,35.53110,4.6298,1.9409
2019-03-31,1.14100,0.20610,0.30550,100.00000,21.59660,21.59660,20.38210,15.65610,0.11380,1.53520,58.62280,3.19250,3.19250,1.78170,2.53460,34.29830,2.77100,-0.65080
2018-12-31,1.35650,0.21070,0.31420,100.00000,24.55200,24.55200,23.79130,19.51600,0.13480,1.95230,46.09890,4.61040,4.61040,2.63090,3.63880,33.38520,3.6113,1.724
2018-09-30,1.08860,0.21810,0.34710,100.00000,31.51000,31.51000,30.24840,24.90690,0.14220,1.93420,46.53160,6.42420,6.42420,3.54050,5.02290,31.97220,3.7528,0.9337
2018-06-30,0.98480,0.22860,0.36870,100.00000,22.76810,22.76810,21.06940,16.43980,0.13210,1.86530,48.25060,3.99220,3.99220,2.17100,3.07950,30.13260,3.3425,0.4531
2018-03-31,1.26380,0.26500,0.38210,100.00000,23.75850,23.75850,22.09520,17.34750,0.11970,1.87350,48.03920,3.79200,3.79200,2.07740,2.78710,29.09510,2.67740,0.19630
2017-12-31,1.20310,0.27030,0.39220,100.00000,14.24700,14.24700,12.37420,72.75890,0.11200,1.95250,46.09470,14.92620,14.92620,8.14690,10.89210,28.14860,2.2944,0.5289
2017-09-30,1.26790,0.31430,0.45880,100.00000,8.12280,8.12280,5.51940,3.80140,0.09180,1.93000,46.63320,0.72220,0.72220,0.34900,0.49520,24.08110,1.6596,-0.2012
2017-06-30,1.24290,0.31460,0.50260,100.00000,4.89600,4.89600,2.39110,0.88240,0.08930,2.16680,41.53690,0.16580,0.16580,0.07880,0.11370,24.07660,1.8645,0.3109
2017-03-31,1.67030,0.33380,0.50160,100.00000,4.12730,4.12730,1.50860,1.09240,0.08940,2.05940,43.70140,0.20470,0.20470,0.09760,0.13640,24.12830,1.55210,-0.00290
2016-12-31,1.66980,0.33300,0.49970,100.00000,-4.39160,-4.39160,-8.07690,-5.92630,0.08200,1.95510,46.03430,-1.01810,-1.01810,-0.48590,-0.67910,24.24410,1.4258,1.3077
2016-09-30,1.57980,0.37170,0.59210,100.00000,-9.13290,-9.13290,-12.85110,-8.96860,0.08290,2.30180,39.09980,-1.61040,-1.61040,-0.74350,-1.01180,21.40370,1.3852,0.5679
2016-06-30,1.43090,0.36660,0.57940,100.00000,-16.22830,-16.22830,-21.41510,-16.47530,0.06870,1.88810,47.66600,-2.42650,-2.42650,-1.13260,-1.53690,21.89620,0.9186,0.2455
2016-03-31,1.52830,0.36000,0.56310,100.00000,-47.11790,-47.11790,-52.49520,-34.83420,0.05140,1.65230,54.46920,-3.80300,-3.80300,-1.79120,-2.43380,22.54760,0.53340,-0.50290
2015-12-31,1.42490,0.33940,0.51420,100.00000,-18.35270,-18.35270,-22.19700,-15.82270,0.06660,1.84980,48.65330,-2.19650,-2.19650,-1.05410,-1.45110,23.53880,1.1307,-0.3278
2015-09-30,1.38010,0.32490,0.48400,100.00000,-286.45170,-286.45170,-288.84370,-187.61220,0.07960,1.84610,48.75190,-30.68110,-30.68110,-14.94190,-20.71200,24.16770,2.0957,-0.3722
2015-06-30,1.64110,0.26840,0.36730,100.00000,1.60450,1.60450,-0.46480,0.21330,0.07290,1.82500,49.31640,0.03020,0.03020,0.01550,0.02210,31.73520,1.5993,-0.4738
