,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-10-31,1.37660,0.29240,0.45560,29.89670,5.49430,5.49430,5.02020,3.84590,0.30290,0.85990,3.22530,8.35920,1.16500,2.28200,37.41090,0.9781,-0.8032
2022-07-31,1.45580,0.28940,0.40720,31.43390,7.46690,7.46690,7.01340,5.31730,0.29850,0.85590,4.28630,10.86590,1.58710,3.04590,37.50110,-0.0647,-1.3034
2022-04-30,1.46440,0.29320,0.41470,33.94370,10.59750,10.59750,10.10490,7.77100,0.30850,0.94970,6.50850,16.98970,2.39760,4.60050,36.54770,2.37850,1.24650
2022-01-31,1.34300,0.30690,0.44270,30.22770,8.17440,8.17440,7.05020,6.41470,0.32600,1.13120,5.88460,17.24310,2.09100,4.07880,34.28920,1.7396,0.5912
2021-10-31,1.25240,0.30840,0.44600,27.51770,4.83820,4.83820,4.31460,3.37820,0.30000,1.07780,2.99270,10.04120,1.01360,2.06960,32.21170,1.3041,-0.0366
2021-07-31,1.24860,0.31530,0.46060,29.38580,6.34070,6.34070,5.82040,4.45200,0.31030,1.22130,4.02760,14.65800,1.38130,2.75750,31.17700,0.8345,-0.1824
2021-04-30,1.35950,0.30340,0.43550,30.35630,8.02350,8.02350,7.51420,5.77960,0.30780,1.25190,5.05310,16.10270,1.77900,3.52000,31.97280,2.37290,1.41250
2021-01-31,1.35400,0.30690,0.44280,31.80900,10.07110,10.07110,9.56570,7.42920,0.32700,1.34670,6.90160,22.84520,2.42950,4.78330,31.21610,4.1592,3.3838
2020-10-31,1.27920,0.31660,0.50640,31.15430,7.53600,7.53600,6.91760,5.34240,0.29910,1.12140,4.74060,17.57190,1.59790,3.23960,29.59650,1.2522,0.2569
2020-07-31,1.22290,0.32120,0.59060,30.52440,5.97200,5.97200,5.41450,4.16560,0.30370,1.33140,3.83790,15.11040,1.26510,2.60510,28.71300,1.9957,1.0108
2020-04-30,1.14680,0.33080,0.65540,28.55030,5.82010,5.82010,5.17270,3.93840,0.30710,1.40440,3.79720,17.20400,1.20950,2.54110,27.48990,4.03960,3.04590
2020-01-31,1.20380,0.36030,0.60310,31.04370,3.94920,3.94920,3.31730,1.94770,0.32260,1.23650,1.96650,10.49940,0.62840,1.25810,26.42200,3.5748,2.5305
2019-10-31,1.09390,0.36510,0.69760,29.66310,6.23720,6.23720,5.51490,4.45160,0.29110,1.04090,4.17890,35.29250,1.29570,2.65310,25.86100,0.7298,-0.4562
2019-07-31,1.06030,0.37490,0.72770,28.71650,4.68420,4.68420,3.97870,3.14080,0.29450,1.17900,3.07380,38.41060,0.92490,1.92130,24.77070,0.9734,-0.273
2019-04-30,1.06700,0.37930,0.74130,29.73470,6.63660,6.63660,5.92040,4.61200,0.30010,1.22730,4.65440,74.41660,1.38420,2.88910,24.22520,2.56840,1.69470
2019-01-31,2.04860,0.43050,0.75590,30.81450,-34.60650,-34.60650,-35.35910,-37.17850,0.45960,1.21410,-40.88320,5441.11300,-17.08740,-23.28380,23.70150,3.0207,2.1826
2018-10-31,2.22390,0.38840,0.63500,30.18520,7.00150,7.00150,6.13850,5.08770,0.33270,1.04070,3.54770,-56.91780,1.69260,2.16990,33.37440,1.1805,0.2398
2018-07-31,2.24010,0.39730,0.65930,30.11260,6.92230,6.92230,6.11160,4.95690,0.34310,1.17440,3.58160,-33.77730,1.70090,2.15850,32.14590,1.5969,0.7021
