,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,2.06470,26.77290,12.07940,12.07940,12.26130,9.49550,0.66020,1.58720,56.70350,11.86240,11.88940,6.26800,11.86240,21.94080,4.2219,4.1181
2022-06-30,1.85580,25.25060,10.99170,10.99170,11.05310,8.20720,0.62540,1.32670,67.83920,10.81180,10.83610,5.19250,10.81180,21.69790,3.396,3.1654
2022-03-31,1.87070,24.61650,9.89990,9.89990,10.10180,7.42040,0.58630,1.18540,75.92500,9.07900,9.09770,4.39270,9.07900,22.98420,2.44630,2.36110
2021-12-31,1.78060,25.38010,11.55470,11.55470,11.59750,8.39150,0.70910,1.41630,63.54780,12.97920,13.00870,5.96600,12.97920,20.91980,1.787,1.7199
2021-09-30,1.86580,26.24920,11.33610,11.33610,11.41010,8.31320,0.61040,1.29690,69.39520,10.52190,10.54630,5.08610,10.52190,20.19340,1.0354,0.9777
2021-06-30,2.00600,27.99760,11.37810,11.37810,11.51210,8.76600,0.60620,1.36320,66.02120,10.27920,10.30570,5.32450,10.27920,18.22820,0.1749,0.1369
2021-03-31,2.04740,29.74650,12.05180,12.05180,12.20640,8.97890,0.58640,1.43640,62.65860,10.00300,10.03060,5.27860,10.00300,17.05280,2.07420,2.02530
2020-12-31,2.09370,28.34960,9.64200,9.64200,9.71370,6.79570,0.59310,1.46280,61.52620,7.49190,7.51420,4.04920,7.49190,15.73140,0.8261,0.7671
2020-09-30,2.27830,31.26730,10.72690,10.72690,10.83270,8.14520,0.53890,1.48430,60.63670,7.65510,7.67940,4.39870,7.65510,14.79910,0.9289,0.8765
2020-06-30,2.21900,31.08950,10.27030,10.27030,10.40950,7.62600,0.63280,1.65110,54.51050,8.52090,8.55230,4.83410,8.52090,12.95800,1.1152,0.9842
2020-03-31,2.25920,32.34390,8.36310,8.36310,8.79380,6.43280,0.54180,1.49890,60.04210,6.02720,6.05070,3.49810,6.02720,12.25770,0.96240,0.92660
2019-12-31,2.37090,35.66930,9.95290,9.95290,10.23750,7.57900,0.49080,1.37780,65.32150,6.26920,6.29190,3.73110,6.26920,12.95360,0.9326,0.8814
2019-09-30,2.33970,32.50140,9.95490,9.95490,10.31140,7.72200,0.55980,1.57300,57.21500,7.27050,7.29670,4.33370,7.27050,12.97730,0.9454,0.8552
2019-06-30,2.12030,32.50650,9.44210,9.44210,9.87330,7.52360,0.55820,1.47280,61.10610,7.48050,7.50950,4.20980,7.48050,12.07010,0.9012,0.8265
2019-03-31,2.22240,32.38110,9.28700,9.28700,9.67160,6.91560,0.55450,1.49220,60.31300,6.59210,6.61680,3.84610,6.59210,12.38250,1.65050,1.59670
2018-12-31,2.06120,30.44720,9.70690,9.70690,9.94120,8.01620,0.67450,1.41360,63.66880,9.03430,9.07050,5.41780,9.03430,11.58470,0.564,0.5095
