,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2018-09-30,1.99390,31.62750,9.71590,9.71590,9.96790,7.78080,0.62700,1.36800,65.79180,8.33110,8.36500,4.88990,8.33110,11.34260,0.5068,0.4395
2018-06-30,2.06740,32.82380,9.37820,9.37820,9.70110,7.18270,0.62490,1.46340,61.50230,7.44740,7.47870,4.49900,7.44740,10.90330,0.8377,0.7695
2018-03-31,2.20050,34.29060,10.39860,10.39860,10.66490,7.31780,0.57720,1.39820,64.36800,6.87090,6.89850,4.23970,6.87090,11.37220,1.31250,1.23560
2017-12-31,2.32500,33.07140,10.46670,10.46670,10.79210,8.78140,0.61000,1.34400,66.96570,8.39640,8.42990,5.37230,8.39640,11.30760,0.6971,1.0106
2017-09-30,2.34090,33.24570,10.37060,10.37060,10.56700,6.67320,0.58720,1.33510,67.41160,6.08790,6.11230,3.93000,6.08790,11.15730,0.4716,0.2817
2017-06-30,2.47540,33.70450,10.06050,10.06050,10.39360,6.50910,0.55320,1.37600,65.40480,5.49650,5.51860,3.59790,5.49650,11.01460,0.4465,0.3346
2017-03-31,2.59150,34.14630,9.45640,9.45640,9.65310,6.03600,0.53230,1.37160,65.61510,4.79410,4.81360,3.22340,4.79410,10.84750,1.07460,1.00450
2016-12-31,2.38570,33.40980,10.48780,10.48780,10.77360,6.73510,0.58830,1.37970,65.23220,6.01440,6.04030,3.98080,6.01440,10.27050,0.3969,0.2923
2016-09-30,2.41020,34.89890,10.70560,10.70560,10.95190,6.88570,0.55530,1.40940,63.85490,5.82270,5.84770,3.83640,5.82270,10.28370,0.6383,0.5687
2016-06-30,2.37900,37.49530,12.12500,12.12500,12.42960,7.86710,0.54490,1.40310,64.14450,6.54330,6.57260,4.30120,6.54330,9.84020,0.5736,0.5011
2016-03-31,2.44320,36.45250,10.70350,10.70350,10.96140,6.80900,0.52930,1.40350,64.12540,5.44440,5.46870,3.62150,5.44440,9.81760,1.28920,1.21250
2015-12-31,2.29460,33.58990,11.15080,11.15080,11.55290,7.17000,0.62220,1.43510,62.71280,6.79190,6.82380,4.48630,6.79190,9.30800,0.6118,0.5481
2015-09-30,2.34030,34.51640,11.62050,11.62050,11.59510,7.16450,0.58410,1.41590,63.56510,6.44540,6.47320,4.20000,6.44540,9.89450,0.7194,0.6676
2015-06-30,2.34960,32.64110,10.80170,10.80170,11.18240,6.96170,0.57690,1.41650,63.53700,6.26170,6.28810,4.03530,6.26170,9.99230,0.9498,0.8823
2015-03-31,2.40210,31.56350,10.06740,10.06740,10.23230,6.36080,0.56990,1.33810,67.25830,5.56840,5.59140,3.64610,5.56840,10.08550,0.69740,0.64840
2014-12-31,2.32700,29.33420,8.92510,8.92520,9.08020,5.61850,0.61190,1.43100,62.89120,5.38250,5.40540,3.48470,5.38250,9.76550,0.441,0.3871
2014-09-30,2.40750,30.10110,9.33260,9.33260,9.63340,6.00440,0.58270,1.44110,62.45070,5.39920,5.42180,3.51320,5.39920,9.86390,0.4566,0.4134
2014-06-30,2.40120,30.31090,8.90750,8.90750,9.27980,5.70940,0.54580,1.38990,64.75210,4.83510,4.85540,3.13070,4.83510,9.72710,0.2484,0.1984
2014-03-31,2.59010,31.14590,9.06400,9.06400,9.22600,5.61960,0.50990,1.40330,64.13270,4.29560,4.31310,2.87800,4.29560,9.94090,0.86130,0.81790
2013-12-31,2.77550,29.40420,8.22110,8.22100,8.47790,5.13550,0.53930,1.51450,59.42400,4.02660,4.04200,2.78650,4.02660,10.30020,0.3033,0.251
2013-09-30,2.89150,31.52880,9.51340,9.51340,9.78510,6.00790,0.49630,1.49670,60.13230,4.25220,4.26770,2.99260,4.25220,10.61410,0.4633,0.3887
2013-06-30,2.87810,31.39070,9.55140,9.55140,10.04340,6.14110,0.49070,1.47620,60.96920,4.36690,4.38330,3.02460,4.36690,10.28470,0.4072,0.3244
2013-03-31,2.92280,31.70140,9.09410,9.09410,9.43190,5.68320,0.46830,1.43890,62.54610,3.83010,3.84460,2.67120,3.83010,10.19310,0.79600,0.74750
2012-12-31,2.79810,30.43660,8.29060,8.29060,8.63810,5.45310,0.52270,1.49730,60.11020,4.10810,4.12410,2.82650,4.10810,9.84810,0.2829,0.2336
2012-09-30,2.81690,30.36820,9.47330,9.47330,9.72670,5.77740,0.50510,1.50850,59.66160,4.23380,4.25360,2.92620,4.23380,10.02970,0.3369,0.2876
2012-06-30,2.72440,30.14390,8.79780,8.79780,9.23040,5.57860,0.50290,1.53080,58.79380,4.09850,4.11860,2.80780,4.09850,9.73880,0.4385,0.3921
2012-03-31,2.91000,31.64100,8.87580,8.87580,9.14770,5.43490,0.47030,1.50970,59.61440,3.64990,3.66770,2.55640,3.64990,9.90240,0.68810,0.60840
2011-12-31,2.87240,32.20150,10.24910,10.24910,10.25820,6.13650,0.52770,1.61860,55.60500,4.63370,4.65200,3.24890,4.63370,9.48130,0.4996,0.4099
2011-09-30,2.67200,30.74300,10.19430,10.19430,11.02850,6.63630,0.55720,1.61010,55.89840,5.44710,5.47740,3.70690,5.44710,9.25590,0.4398,0.343
2011-06-30,2.51000,29.88310,9.62930,9.62930,9.81520,6.00750,0.54950,1.53830,58.50720,5.05650,5.08660,3.30160,5.05650,8.86420,0.3627,0.2835
2011-03-31,2.49270,31.07200,10.07840,10.07840,10.29900,6.24510,0.51500,1.45070,62.03810,4.93250,4.96290,3.21520,4.93250,8.72090,0.82380,0.72620
2010-12-31,2.48310,28.65510,9.39070,9.39070,9.58320,6.09950,0.59050,1.57600,57.10610,5.51710,5.55410,3.59990,5.51710,8.24410,0.6223,0.5484
2010-09-30,2.37030,27.50990,9.57210,9.57210,9.56450,5.76320,0.61390,1.54010,58.43630,5.53180,5.56990,3.53580,5.53180,8.18580,0.5228,0.4725
2010-06-30,2.33930,27.61510,9.13100,9.13100,9.89720,5.95460,0.59560,1.49200,60.32010,5.53030,5.57160,3.55030,5.53030,7.71070,0.0954,0.0584
2010-03-31,2.52920,30.12410,8.37070,8.37070,8.56190,5.09920,0.49590,1.46850,61.28860,3.76380,3.79280,2.53130,3.76380,7.66310,0.58680,0.55210
2009-12-31,2.52380,29.65020,8.85020,8.85020,9.02630,5.54450,0.53660,1.53870,58.49110,4.46090,4.49800,2.99730,4.46090,7.36400,0.144,0.1013
2009-09-30,2.55900,33.40430,9.27830,9.27830,9.57530,5.56740,0.46790,1.51600,59.36640,3.78720,3.82070,2.59660,3.78720,7.17010,0.1958,0.1522
2009-06-30,2.67530,36.86190,9.70860,9.70860,10.20560,6.03890,0.43170,1.55090,58.02940,3.69940,3.73410,2.59480,3.69940,6.85970,0.3915,0.3586
2009-03-31,2.61920,36.87090,10.02250,10.02250,10.91480,6.49290,0.44420,1.48820,60.47590,4.17350,4.21440,2.88930,4.17350,6.70580,0.79640,0.75660
