,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,0.29560,0.42660,37.60350,37.60350,37.60350,30.11370,0.01630,14.55900,21.53260,0.48890,10.25590,38.74360,4.7059,4.565
2022-06-30,0.27870,0.39240,58.52640,58.52640,58.52640,45.94590,0.02270,27.75260,38.70300,1.04860,20.01780,44.33210,3.1529,3.0475
2022-03-31,0.26370,0.38150,13.76210,13.76210,13.76210,12.09650,0.01070,3.18510,4.38070,0.13060,2.34520,47.39370,0.11940,0.02310
2021-12-31,0.20980,0.27040,14.88600,14.88600,14.88600,11.53240,0.01340,3.13290,3.91700,0.16580,2.47570,61.61940,4.1761,4.1006
2021-09-30,0.20970,0.26990,12.50400,12.50400,12.50400,10.51200,0.01150,2.25860,2.83470,0.12190,1.78500,60.61330,3.6285,3.3945
2021-06-30,0.20800,0.26780,12.22240,12.22240,12.22240,10.22210,0.01170,2.28090,2.87740,0.12300,1.80640,60.56320,3.6106,3.527
2021-03-31,0.21680,0.28220,19.13360,19.13360,19.13360,16.11660,0.01090,3.33910,4.28000,0.17460,2.61530,56.74240,0.51010,0.42720
2020-12-31,0.20480,0.26260,15.71270,15.71270,15.71270,12.55210,0.01270,2.95780,3.72820,0.16570,2.35210,60.80240,2.1733,2.0795
2020-09-30,0.21390,0.27710,8.30940,8.30940,8.30940,7.12840,0.01190,1.50050,1.90820,0.08470,1.17950,57.27180,3.8128,3.6817
2020-06-30,0.21380,0.27690,16.00850,16.00850,16.00850,12.78820,0.01150,2.71770,3.47600,0.15340,2.13670,55.87960,1.6915,1.5881
2020-03-31,0.22050,0.29110,7.21110,7.21110,7.21110,6.34760,0.01840,2.19690,2.95660,0.11540,1.71250,47.44920,5.73270,5.66770
2019-12-31,0.20270,0.26060,9.17430,9.17430,9.17420,7.43480,0.01470,2.14700,2.81380,0.11420,1.71170,53.09400,3.6824,3.5598
2019-09-30,0.20200,0.25950,7.75390,7.75390,7.75390,6.21520,0.01650,1.91360,2.50080,0.10530,1.52710,53.49930,6.3415,6.2255
2019-06-30,0.21060,0.27220,11.33520,11.33520,11.33510,9.72410,0.01480,2.78050,3.35420,0.14640,2.19490,50.61740,5.3369,5.209
2019-03-31,0.20380,0.25940,14.04950,14.04950,14.04950,11.48270,0.01440,3.54250,4.37180,0.17430,2.82060,45.87420,4.18800,4.08330
2018-12-31,0.22150,0.28830,6.44190,6.44200,6.44190,6.27220,0.01550,2.02250,2.56280,0.09530,1.57450,40.98750,4.9504,4.8859
2018-09-30,0.21620,0.27880,13.08850,13.08850,13.08850,10.49420,0.01680,3.90870,4.95360,0.17780,3.06380,41.49750,7.2399,7.1356
2018-06-30,0.21570,0.28060,15.93250,15.93250,15.93250,14.11480,0.01280,3.92520,4.96870,0.18230,3.07840,41.13320,3.1159,3.0539
2018-03-31,0.20690,0.26720,15.84820,15.84820,15.84820,13.77100,0.01140,3.28420,4.12110,0.15870,2.60480,42.59920,2.54870,2.45990
2017-12-31,0.19740,0.24900,9.72300,9.72300,9.72290,25.99990,0.01270,6.52300,7.99840,0.33190,5.23530,44.71250,1.9082,1.8008
2017-09-30,0.20830,0.26800,25.01840,25.01840,25.01840,17.50720,0.01870,6.73890,8.38580,0.32800,5.33500,41.82770,6.1313,6.0322
2017-06-30,0.21770,0.28200,11.50300,11.50300,11.50300,9.73790,0.01320,2.80120,3.53970,0.13110,2.19150,38.93970,4.4608,4.2549
2017-03-31,0.22640,0.29810,13.57640,13.57640,13.57640,11.44160,0.01290,3.30930,4.24520,0.15020,2.56030,37.08750,1.78830,1.63850
2016-12-31,0.23290,0.30860,10.85150,10.85150,10.85150,9.05000,0.01540,3.28550,4.25530,0.14830,2.52020,35.77960,3.1345,2.9796
2016-09-30,0.23180,0.30540,13.15470,13.15470,13.15470,10.93680,0.01220,3.01370,3.85960,0.14210,2.31510,37.76090,2.7811,2.662
2016-06-30,0.23630,0.31190,13.21680,13.21680,13.21680,10.65210,0.01360,3.09430,4.00150,0.14660,2.36310,36.69340,4.2217,4.1166
2016-03-31,0.24440,0.33550,14.48330,14.48330,14.48330,12.11880,0.01400,3.65200,4.79410,0.16970,2.75960,34.81270,3.04280,2.89260
2015-12-31,0.25830,0.36750,11.00820,11.00820,11.00820,9.03460,0.01280,2.75450,3.68520,0.11810,2.04310,32.18050,3.556,3.4208
2015-09-30,0.25330,0.36210,11.39190,11.39190,11.39190,9.26900,0.01500,3.10660,4.13230,0.13970,2.31960,33.00100,4.0365,3.9394
2015-06-30,0.25350,0.34240,9.03600,9.03600,9.03600,7.39750,0.01470,2.71340,3.52120,0.11920,2.02550,33.12730,4.9822,4.8666
2015-03-31,0.19330,0.24230,17.23930,17.23930,17.23930,15.58730,0.01190,4.08980,5.22030,0.19290,3.29910,35.63890,2.11360,2.00370
2014-12-31,0.19830,0.25010,10.90780,10.90780,10.90790,9.30880,0.01330,2.73950,3.54760,0.12790,2.19620,34.81460,3.0184,2.9572
2014-09-30,0.19610,0.25610,15.85160,15.85160,15.85160,9.27420,0.01150,2.43810,3.17060,0.11680,1.96000,35.31680,2.7524,2.6711
2014-06-30,0.19470,0.25600,15.63280,15.63280,15.63280,11.75050,0.01190,3.05190,4.01230,0.14620,2.45750,35.60010,2.6429,2.4964
2014-03-31,0.20010,0.26490,15.18600,15.18600,15.18600,11.45810,0.01170,3.22240,4.28650,0.15350,2.57760,34.11770,1.97430,1.80800
2013-12-31,0.21020,0.28150,11.59540,11.59540,11.59550,8.73310,0.01280,2.56110,3.46920,0.12030,2.02290,33.11990,2.7672,2.644
2013-09-30,0.21670,0.29540,14.30170,14.30170,14.30170,10.97070,0.01110,2.76420,3.83940,0.12850,2.16520,31.89320,2.0449,2.0089
2013-06-30,0.21510,0.29270,12.01480,12.01480,12.01480,10.05610,0.01120,2.51470,3.50360,0.12040,1.97370,32.01400,0.6309,0.5683
2013-03-31,0.22120,0.28870,10.53210,10.53210,10.53220,8.22910,0.01080,1.93350,2.69930,0.09460,1.50590,33.50360,2.00570,2.02830
2012-12-31,0.21590,0.27950,11.36370,11.36370,11.36370,9.36020,0.01420,2.33630,2.74940,0.14010,1.83200,33.02720,2.2769,2.267
2012-09-30,0.18130,0.22430,7.08400,7.08400,7.08400,6.92130,0.01700,2.01910,2.37530,0.12490,1.65310,33.53510,3.0036,2.9659
2012-06-30,0.14320,0.19500,10.83260,10.83260,10.83260,7.91090,0.01390,1.89300,2.24430,0.11750,1.62190,31.91780,2.0159,1.9908
2012-03-31,0.13870,0.17150,13.26400,13.26400,13.26400,9.72850,0.01360,2.26930,2.64480,0.14390,1.95450,32.40910,2.95930,2.90250
2011-12-31,0.14310,0.17820,7.28580,7.28580,7.28580,6.51350,0.01400,1.51520,1.77530,0.09640,1.29840,31.12490,2.5539,2.4784
2011-09-30,0.13240,0.15980,7.21720,7.21720,7.21720,3.43430,0.01460,0.72410,0.82750,0.05200,0.62820,33.72470,0.4648,0.4184
2011-06-30,0.12920,0.15840,13.50810,13.50810,13.50810,9.46260,0.01540,2.33610,2.62460,0.16690,2.03430,34.00570,1.8425,1.798
2011-03-31,0.13220,0.16260,11.76920,11.76920,11.76920,8.19120,0.01510,2.01300,2.26980,0.14150,1.74690,32.28390,3.68190,3.66920
2010-12-31,0.13810,0.17110,8.62730,8.62730,8.62730,6.75350,0.01660,1.83820,2.08730,0.12480,1.58430,30.85210,2.6749,2.6436
2010-09-30,0.13620,0.17080,7.14440,7.14440,7.14440,6.21370,0.01600,1.50780,1.70990,0.10550,1.30250,31.32780,1.3713,1.3628
2010-06-30,0.14770,0.18730,7.06480,7.06480,7.06480,5.99930,0.01640,1.58960,1.83760,0.10560,1.35470,28.43790,2.5689,2.5552
2010-03-31,0.15370,0.19680,11.32070,11.32070,11.32070,8.42760,0.01610,2.34340,2.73200,0.14460,1.98310,27.17610,2.02790,2.01490
2009-12-31,0.16500,0.21030,7.59270,7.59270,7.59270,6.35640,0.01620,1.93230,2.28520,0.11240,1.61340,25.12980,1.9229,1.8992
2009-09-30,0.17250,0.22260,10.93690,10.93690,10.93690,8.13550,0.01650,2.68450,3.21110,0.14860,2.22130,23.85290,0.7258,0.7184
2009-06-30,0.26040,0.37960,9.17140,9.17140,9.17140,6.96540,0.01650,2.83910,3.63310,0.12550,2.09990,18.14800,1.2091,1.2031
2009-03-31,0.32300,0.67320,5.94440,5.94440,5.94440,5.15400,0.01780,4.52600,8.46340,0.09950,3.06380,10.41890,3.64640,3.59580
