,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,0.39420,0.36010,0.57620,100.00000,53.25450,53.25450,48.67270,34.25450,0.00950,0.07450,1208.60200,7.55310,12.49460,0.34970,3.48970,19.74370,4.7657,4.6419
2022-06-30,0.40860,0.32170,0.50460,100.00000,49.63680,49.63680,44.64950,32.43670,0.00800,0.06690,1345.31700,5.30180,7.63400,0.28120,2.73220,21.46040,-4.1709,-4.2975
2022-03-31,0.43680,0.31260,0.54280,100.00000,44.15670,44.15670,39.36220,27.35450,0.00690,0.05560,1619.49900,3.74830,5.20820,0.20590,2.00370,25.37600,1.60260,1.44720
2021-12-31,0.40890,0.25160,0.42250,100.00000,47.42990,47.42990,42.96940,30.77740,0.00710,0.05200,1731.27700,3.41200,4.52330,0.23680,2.10180,29.71690,2.9716,2.8064
2021-09-30,0.36700,0.25370,0.39220,100.00000,48.46830,48.46830,44.00440,30.76590,0.00750,0.05280,1704.54500,3.21340,4.24380,0.25120,1.98250,30.40880,0.9592,0.8657
2021-06-30,0.36400,0.24560,0.38660,100.00000,47.27190,47.27190,37.97220,24.67420,0.00790,0.05500,1635.08900,2.66340,3.53230,0.22020,1.66100,30.43230,-0.308,-0.4338
2021-03-31,0.38500,0.24150,0.36330,100.00000,48.27150,48.27150,41.56950,29.43800,0.00840,0.06310,1426.08500,3.29380,4.39000,0.26340,2.02480,29.48900,-2.50630,-2.60470
2020-12-31,0.37340,0.19560,0.24320,100.00000,41.37930,41.37930,35.34480,25.14370,0.00760,0.06480,1388.79300,2.34860,3.32680,0.20670,1.62860,29.80950,9.7247,9.6443
2020-09-30,0.27560,0.20010,0.25010,100.00000,40.76800,40.76800,36.31540,25.12260,0.00580,0.09620,935.33090,2.67760,2.46330,0.16640,1.78210,24.29850,-0.0619,-0.1623
2020-06-30,0.30200,0.21670,0.27670,100.00000,41.79590,41.79590,36.24490,25.34690,0.00610,0.11440,786.89390,2.62600,2.41330,0.16750,1.70560,23.91570,-12.7071,-12.8454
2020-03-31,0.42050,0.24490,0.32440,100.00000,44.24910,44.24910,40.00760,28.92630,0.00710,0.13770,653.45430,3.38630,3.17450,0.21440,2.28500,20.40670,7.81920,7.69860
2019-12-31,0.33910,0.25470,0.34170,100.00000,46.54640,46.54640,42.67080,30.73680,0.00890,0.11970,751.73830,4.49560,4.17850,0.28980,2.92030,14.82560,3.2257,3.083
2019-09-30,0.30450,0.25810,0.34780,100.00000,48.69050,48.69050,45.59200,33.67760,0.00970,0.12110,743.17220,5.12360,4.72500,0.34090,3.30430,16.56720,4.1237,3.9618
2019-06-30,0.31270,0.25830,0.34820,100.00000,49.98140,49.98140,46.10220,33.08470,0.00970,0.12250,734.87130,5.05750,4.66330,0.33910,3.25980,16.29340,1.6458,1.5174
2019-03-31,0.33280,0.24000,0.31580,100.00000,49.87150,49.87150,46.41940,33.96990,0.00960,0.12880,698.87990,5.11890,4.72600,0.34090,3.38790,16.20580,-1.93080,-2.03420
2018-12-31,0.29660,0.24970,0.33280,100.00000,49.53170,49.53170,45.33530,33.15850,0.00900,0.12330,730.08240,5.23020,4.80890,0.31540,3.39410,15.51310,5.7393,5.6138
2018-09-30,0.28760,0.21750,0.27790,100.00000,52.22960,52.22960,47.26640,34.31560,0.00950,0.11110,809.93020,5.11610,4.70750,0.33920,3.46680,15.41280,0.9348,0.827
2018-06-30,0.27430,0.22360,0.28810,100.00000,50.40230,50.40230,45.49480,32.70310,0.00950,0.10630,846.27510,5.00460,4.61200,0.33070,3.34540,14.87590,2.2959,2.2
2018-03-31,0.29310,0.17600,0.21360,100.00000,47.62300,47.62300,41.78480,31.10930,0.00970,0.10880,827.45200,4.73480,4.34950,0.31530,3.33790,14.33750,0.18210,0.09250
2017-12-31,1.08420,0.20420,1.06630,100.00000,47.94830,47.94830,42.50670,24.53170,0.00920,0.10560,852.02940,3.79480,3.45130,0.24540,2.56470,13.76980,-2.4316,-2.5299
2017-09-30,0.30550,0.15350,0.45860,100.00000,48.59120,48.59120,43.64900,26.55890,0.00940,0.11320,795.07620,4.05410,3.70390,0.26790,2.90210,13.45270,2.4466,2.3707
2017-06-30,0.31680,0.16750,0.21830,100.00000,47.93430,47.93430,42.67610,24.88260,0.00970,0.11270,798.71830,3.91000,3.56320,0.26070,2.73720,13.06900,0.5322,0.47
2017-03-31,0.31230,0.17160,0.24250,100.00000,45.60310,45.60310,40.50940,25.22830,0.00920,0.11930,754.68520,3.97210,3.61080,0.24840,2.75120,12.70290,-1.16730,-1.22650
2016-12-31,0.32700,0.14900,0.17510,100.00000,47.16020,47.16020,41.78500,24.23940,0.00880,0.11030,816.16130,3.82750,3.46840,0.23370,2.70510,12.32110,1.9708,1.9153
2016-09-30,0.33270,0.15680,0.37990,100.00000,46.65620,46.65620,41.48380,24.55590,0.00910,0.11050,814.74920,3.78820,3.57020,0.24030,2.74170,11.68410,-0.4124,-0.47
2016-06-30,0.35850,0.16100,0.52540,100.00000,44.36540,44.36540,39.38730,22.21010,0.00920,0.10250,877.84470,3.53100,3.32350,0.22820,2.52990,11.33140,1.4199,1.3157
2016-03-31,0.36110,0.16540,0.25340,100.00000,41.83670,41.83670,37.13150,22.22220,0.00920,0.10340,870.71430,3.34230,3.14170,0.21570,2.36920,10.98250,-0.27740,-0.31950
2015-12-31,0.38430,0.17670,0.21470,100.00000,43.22890,43.22890,38.14310,22.35360,0.00920,0.09450,952.42460,3.48320,3.46840,0.22650,2.55540,10.15040,0.6724,0.6255
2015-09-30,0.38880,0.17980,0.21920,100.00000,41.95370,41.95370,36.50600,22.85540,0.00940,0.09040,995.91730,3.20300,3.19270,0.22070,2.33700,10.02440,0.8224,0.7631
2015-06-30,0.39820,0.18890,0.23300,100.00000,41.69860,41.69860,36.20690,21.07280,0.00960,0.08930,1007.75900,3.05650,3.21140,0.21570,2.30460,9.44670,0.4306,0.3779
2015-03-31,0.40740,0.19230,0.23810,100.00000,37.15600,37.15600,31.71690,19.06950,0.00950,0.09270,971.36300,2.67610,2.81850,0.18860,2.00620,9.25870,-0.98640,-1.02800
2014-12-31,0.44130,0.13860,0.16090,100.00000,41.07030,41.07030,35.71890,21.21210,0.01000,0.09610,936.44100,3.20190,3.38200,0.22630,2.55440,9.00500,0.6549,0.5863
2014-09-30,0.43260,0.14210,0.16560,100.00000,38.42680,38.42680,33.39780,20.11610,0.01050,0.09770,921.12180,3.02800,3.20580,0.21770,2.40040,8.78790,0.7491,0.6392
2014-06-30,0.41870,0.14540,0.17020,100.00000,40.32480,40.32480,35.25030,20.43300,0.01030,0.09730,925.08800,3.14590,3.34060,0.22590,2.47880,8.57730,0.329,0.2437
2014-03-31,0.42500,0.14960,0.17590,100.00000,40.39240,40.39240,35.31800,21.51560,0.01030,0.09820,916.62380,3.27800,3.49300,0.22630,2.56350,8.31350,0.05260,0.01220
2013-12-31,0.44670,0.15490,0.18330,100.00000,39.86060,39.86060,34.70380,20.69690,0.01000,0.09920,906.89890,3.35370,3.58910,0.22210,2.59690,8.00460,0.6441,0.5874
2013-09-30,0.44530,0.15920,0.18940,100.00000,39.91260,39.91260,33.79460,20.53900,0.00980,0.10070,893.77280,3.15730,3.39260,0.20680,2.42540,7.80680,0.5093,0.4597
2013-06-30,0.47110,0.14360,0.16770,100.00000,36.35000,36.35000,30.81530,17.42710,0.00980,0.10110,889.90280,2.89170,3.12230,0.18840,2.25550,7.57010,0.4144,0.3664
