,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,0.52390,1.10060,46.42500,34.84390,0.01970,5.72570,6.46500,0.69770,2.57200,28.35450,3.8104,3.8104
2022-06-30,0.47580,0.90770,49.60450,36.90090,0.02260,6.35120,7.19790,0.84450,3.14680,27.45470,3.7998,3.7998
2022-03-31,0.49890,0.99570,54.26940,40.58100,0.02380,7.34780,8.34830,0.97830,3.48050,26.50610,2.68720,2.68720
2021-12-31,0.51510,1.06240,48.27110,37.02170,0.02270,6.29210,7.14290,0.84910,2.88690,25.91920,3.4616,3.4616
2021-09-30,0.47800,0.91560,60.95080,45.91630,0.02680,8.64260,9.71810,1.24110,4.27400,25.46590,3.3695,3.3695
2021-06-30,0.48660,0.94790,63.38350,47.58590,0.02810,9.22530,10.35520,1.34980,4.49120,24.75860,2.5084,2.5084
2021-03-31,0.53010,1.12810,58.52250,45.12680,0.02340,8.06770,9.17970,1.06930,3.58400,23.12560,3.13020,3.13020
2020-12-31,0.55400,1.24200,48.55970,37.44860,0.02030,6.16700,7.02990,0.76920,2.59170,21.74790,3.4371,3.4371
2020-09-30,0.56590,1.30350,27.85670,20.48680,0.01550,2.75410,3.15210,0.32720,1.12310,20.72580,2.5313,2.5313
2020-06-30,0.57450,1.35050,5.64590,3.54070,0.01080,0.42990,0.49720,0.04970,0.17160,20.38500,4.1738,4.1738
2020-03-31,0.59030,1.44090,27.60120,19.86990,0.01410,2.54540,2.95330,0.29170,0.97880,20.52350,2.53050,2.53050
2019-12-31,0.56830,1.31670,46.05000,36.55000,0.01910,5.09270,5.73560,0.69730,2.09130,24.49650,3.2923,3.2923
2019-09-30,0.57390,1.34680,56.37560,43.29640,0.02300,6.98410,8.20830,0.99680,2.97610,23.13140,3.8578,3.8578
2019-06-30,0.59050,1.44180,51.59960,38.98540,0.02060,5.78930,6.85640,0.80180,2.37090,22.02700,2.9692,2.9692
2019-03-31,0.59810,1.48830,58.36330,44.19160,0.02380,7.52600,8.94620,1.05040,3.02460,21.35340,3.22890,3.22890
2018-12-31,0.62050,1.63480,48.42110,37.46410,0.01960,5.33450,6.25550,0.73320,2.02460,20.42130,3.3496,3.3496
2018-09-30,0.62910,1.69630,45.86540,34.46330,0.01860,4.79420,5.65430,0.64180,1.77810,19.47380,3.7763,3.7763
2018-06-30,,1.50240,47.77720,37.27910,0.01880,4.81390,5.53660,0.70220,4.81390,19.36520,2.8958,2.8958
2018-03-31,0.59410,1.46380,46.15800,34.87740,0.01920,4.45810,5.08540,0.66970,1.80940,18.88250,2.48600,2.48600
2017-12-31,0.59370,1.46120,47.42550,20.86720,0.01930,2.70480,3.08150,0.40180,1.09900,18.47300,3.0025,3.0025
2017-09-30,0.58010,1.38170,47.84980,30.21230,0.01980,3.85360,4.39120,0.59970,1.61800,18.40310,3.752,3.752
2017-06-30,0.59100,1.44490,46.38020,29.19360,0.01860,3.46080,3.95090,0.54420,1.41550,18.02030,2.157,2.157
2017-03-31,0.58440,1.40600,46.27220,29.52660,0.01900,3.47420,3.97770,0.56040,1.44400,17.71450,1.81130,1.81130
2016-12-31,0.58660,1.41920,49.72620,31.54440,0.02020,4.05750,4.59510,0.63850,1.67720,17.36830,2.0671,2.0671
2016-09-30,0.59060,1.44250,52.85400,33.15040,0.02090,4.32010,4.91100,0.69300,1.76880,16.93710,2.2091,2.2091
2016-06-30,0.58450,1.40690,47.88820,30.37270,0.01950,3.56540,4.05410,0.59360,1.48140,16.44640,1.7589,1.7589
2016-03-31,0.60800,1.55070,53.70370,33.68060,0.02120,4.40780,5.03770,0.71270,1.72800,15.83540,1.79530,1.79530
2015-12-31,0.65830,1.92630,49.94250,31.47300,0.02070,4.33990,4.99360,0.65130,1.48310,15.11580,2.264,2.264
2015-09-30,0.66260,1.96420,52.15660,32.57660,0.02220,4.72120,5.43410,0.72250,1.59270,14.58100,1.5711,1.5711
2015-06-30,0.67170,2.04630,51.68070,32.47300,0.02200,4.67270,5.38090,0.71420,1.53390,13.88640,1.5725,1.5725
2015-03-31,0.68550,2.18010,54.20500,33.88580,0.02240,5.00180,5.79220,0.75910,1.57280,13.23630,1.99400,1.99400
2014-12-31,0.72380,2.62070,51.85410,32.27960,0.02170,5.06780,5.89350,0.70140,1.39970,12.56710,1.5576,1.5576
2014-09-30,0.62400,2.77480,54.69820,34.10080,0.02190,5.51250,6.41460,0.74590,2.07290,11.92300,1.2371,1.2371
2014-06-30,0.78230,3.59350,48.94300,30.23700,0.02470,7.38310,9.47600,0.74710,1.60730,,1.7404,1.7404
2014-03-31,0.78980,3.75770,59.33330,37.20000,0.02530,9.23540,12.05440,0.94190,1.94110,,2.51350,2.51350
2013-12-31,0.80320,4.08070,22.51140,14.41120,0.05200,7.43290,9.40350,0.74980,1.46300,,1.6207,1.6207
2013-09-30,,,63.97240,40.16290,,,,,,,2.5036,2.5036
2013-06-30,,,60.32420,37.77310,,,,,,,3.9276,3.9276
2013-03-31,,,35.90230,22.49370,,,,,,,0.00000,
2012-12-31,,,,,,,,,,,0,0
2011-12-31,,,,,,,,,,,0,0
