,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,1.39140,0.51120,1.19790,73.75110,12.88440,12.88440,13.53010,10.69490,0.34740,2.20150,40.88200,15.21070,23.65220,3.71560,7.43450,19.64390,2.8863,1.8619
2022-06-30,1.47490,0.52460,1.26160,72.84580,14.27360,14.27360,14.92770,11.50370,0.35340,2.17320,41.41320,17.46780,28.04410,4.06480,8.30440,18.75140,4.3702,3.4194
2022-03-31,1.52010,0.56120,1.41770,73.55810,13.33580,13.33580,13.91420,10.91970,0.34770,2.17680,41.34510,17.24760,28.62060,3.79670,7.56810,17.66510,5.09670,4.47330
2021-12-31,1.41920,0.58100,1.53580,72.95020,14.01100,14.01100,14.26670,11.13750,0.40010,2.21440,40.64280,21.67640,38.22770,4.45650,9.08290,16.40680,3.7123,1.8627
2021-09-30,1.47640,0.63350,1.83350,73.22720,12.49140,12.49140,12.90980,10.04570,0.35270,2.21350,40.65990,19.31660,35.82530,3.54280,7.08010,13.87940,3.7513,2.7364
2021-06-30,1.39430,0.66020,2.08750,74.55600,13.90880,13.90880,14.66870,11.42420,0.36110,2.31070,38.94850,24.72740,51.19570,4.12520,8.40210,12.41480,4.4563,4.4779
2021-03-31,1.28700,0.75380,3.31430,75.25320,12.07000,12.07000,27.08220,20.91850,0.36180,2.26210,39.78650,66.93670,310.16180,7.56890,16.48150,8.23250,5.17240,4.23170
2020-12-31,1.18810,0.97050,36.85200,74.20070,8.18200,8.18200,-17.22370,-13.44390,0.39890,2.31590,38.86170,-500.29900,67.31700,-5.36310,-14.74450,0.77380,1.3624,-1.1252
2020-09-30,1.28950,0.80630,4.58760,75.84050,11.12630,11.12630,11.88910,9.21460,0.34030,2.36160,38.10950,34.90900,-392.18440,3.13590,6.76180,6.49140,3.8021,2.4961
2020-06-30,1.24310,0.84130,6.15810,76.69000,10.81190,10.81190,11.52060,8.64170,0.32970,2.21660,40.60320,40.40220,-109.27070,2.84900,6.41160,5.07300,3.9091,2.6076
