,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2013-03-31,0.89310,0.04140,0.07750,21.90450,14.80110,14.82320,14.80110,8.76730,0.31900,5.21360,5.63970,5.63970,2.87390,5.40620,38.92870,3.03050,1.35960
2012-12-31,1.00500,0.04410,0.06750,22.51500,15.50950,15.60670,15.50950,8.71860,0.34190,6.08090,6.00140,6.00140,3.08630,5.73650,38.12970,2.7948,0.6571
2012-09-30,1.02960,0.04920,0.07210,22.04080,15.04240,15.09370,15.04240,8.31150,0.34350,5.41560,5.75900,5.75900,2.96130,5.47540,37.80260,3.0068,1.2154
2012-06-30,1.03790,0.05020,0.09280,26.69380,20.56410,20.60330,20.56410,12.49190,0.38640,6.15950,10.50930,10.50930,5.35550,9.98180,36.39240,2.2457,0.4328
2012-03-31,0.95210,0.05330,0.09540,20.62590,14.11900,14.20520,14.11900,7.61770,0.35940,6.67610,5.97070,5.97070,2.83900,5.65280,35.09650,4.08970,2.42660
2011-12-31,0.94140,0.05480,0.10600,20.99270,14.01290,14.07460,14.01290,7.72970,0.36730,6.39510,6.04940,6.04940,2.93730,5.71780,33.95520,2.1449,0.4041
2011-09-30,0.92540,0.05440,0.10330,21.65160,14.90470,14.98290,14.90470,8.24220,0.38770,5.86930,6.57840,6.57840,3.30140,6.22060,33.84350,3.1523,1.5652
2011-06-30,0.97010,0.06970,0.10190,21.37130,14.83750,14.87340,14.83750,8.51090,0.38470,5.18000,6.73400,6.73400,3.34090,6.26470,33.28570,2.6647,1.0573
2011-03-31,0.97890,0.07250,0.10080,23.39220,16.59330,16.61870,16.59330,9.34180,0.35680,5.37060,6.92750,6.92750,3.41530,6.42520,31.97950,3.39090,1.97240
2010-12-31,0.94170,0.07410,0.09830,22.92420,14.57130,14.67590,14.57130,8.79390,0.34770,6.24790,6.23270,6.23270,3.14570,5.77060,30.66460,2.9384,1.2241
2010-09-30,1.01450,0.09190,0.12150,21.99730,13.49240,13.54910,13.49240,7.71260,0.31770,5.19750,5.02060,5.02060,2.52040,4.55900,29.86320,2.2363,0.874
2010-06-30,1.07600,0.10740,0.14060,21.76110,13.73830,13.78160,13.73830,8.17420,0.31770,5.38430,5.32860,5.32860,2.66120,4.75640,28.54810,1.957,0.7616
2010-03-31,1.06840,0.05660,0.08030,21.72050,13.37160,13.43250,13.37160,6.98050,0.37180,5.23780,5.58790,5.58790,2.70860,5.27180,25.04600,2.75460,1.53930
2009-12-31,1.06100,0.05820,0.08320,20.03650,11.36010,11.40010,11.36010,6.73410,0.38500,6.21830,5.32010,5.32010,2.63110,5.01060,24.41130,1.7156,0.351
2009-09-30,1.08300,0.06020,0.08570,20.14950,11.18890,11.26430,11.18890,5.75010,0.35870,5.21930,4.34500,4.34500,2.12420,4.08330,23.61600,1.8701,0.6973
2009-06-30,1.15270,0.06020,0.08340,19.97530,10.09580,10.55640,10.09580,5.30510,0.33140,4.78930,3.55010,3.55010,1.75640,3.33640,23.12800,0.4835,-0.676
2009-03-31,1.30930,0.05950,0.08260,22.72290,12.26030,12.42740,12.26030,7.10630,0.28780,3.89080,4.22170,4.22170,2.11330,3.97060,22.82340,1.79670,0.85440
