,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,2.76930,100.00000,36.17930,36.17930,30.96590,23.62420,0.13240,2.14220,42.01360,3.92560,6.35510,2.98340,3.92560,40.70430,3.4455,3.2013
2022-06-30,3.24630,100.00000,44.19040,44.19040,25.69070,21.95640,0.12860,1.95680,45.99340,3.13750,5.08350,2.44550,3.13750,40.63970,2.7763,2.4764
2022-03-31,3.15180,100.00000,47.09610,47.09610,36.44120,29.78530,0.15090,2.02610,44.42030,5.51540,8.87450,4.16590,5.51540,41.03520,4.80160,4.56270
2021-12-31,3.37130,100.00000,43.96700,43.96700,46.52090,36.78950,0.15680,1.85360,48.55330,7.91250,12.95020,5.86460,7.91250,40.45560,1.5968,1.3318
2021-09-30,4.08250,100.00000,50.98000,50.98000,50.39150,38.77490,0.17070,2.07530,43.36730,9.16720,9.97050,6.61440,9.16720,36.52290,5.6285,5.3799
2021-06-30,2.90050,100.00000,49.66050,49.66050,57.11920,41.12890,0.17100,2.10120,42.83320,10.67660,11.66000,7.47130,10.67660,34.78240,3.5373,3.2616
2021-03-31,4.80290,100.00000,48.89430,48.89430,54.48330,39.93320,0.16970,2.06210,43.64520,9.55020,10.41610,7.10490,9.55020,35.28650,4.32480,4.06910
2020-12-31,7.42010,100.00000,43.62050,43.62050,66.13190,43.98410,0.16260,2.00780,44.82600,12.06180,13.20210,8.72130,12.06180,33.80780,-0.0564,-0.3072
2020-09-30,3.51650,100.00000,45.67620,45.67620,57.68270,39.18410,0.15750,2.23250,40.31330,9.80010,10.80960,6.89320,9.80010,31.48980,1.2071,0.9885
2020-06-30,3.23730,100.00000,39.11970,39.11970,68.44710,41.41590,0.14930,2.15860,41.69350,10.79150,11.97210,7.68680,10.79150,29.74010,3.8226,3.558
2020-03-31,4.54830,100.00000,48.35230,48.35230,14.14600,22.81550,0.16930,2.49890,36.01600,2.58940,2.88820,1.92890,2.58940,28.22120,3.32640,3.13220
2019-12-31,6.77570,100.00000,39.51120,39.51110,51.08600,36.13400,0.15740,2.27140,39.62280,8.36230,9.22720,6.36520,8.36230,30.19420,0.0816,-0.1508
2019-09-30,3.60310,100.00000,46.19750,46.19750,49.21150,37.28890,0.15180,2.29890,39.14910,7.96950,8.82880,5.80030,7.96950,29.14250,2.3336,2.1036
2019-06-30,3.90990,100.00000,44.08690,44.08690,53.01030,36.81910,0.15650,2.25100,39.98140,8.44950,9.40070,6.23740,8.44950,27.93460,1.5513,1.3553
2019-03-31,3.74320,100.00000,40.11900,40.11900,55.39820,37.64030,0.15690,2.19530,40.99600,8.77830,9.81350,6.54930,8.77830,26.69270,2.41530,2.21620
