,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.13540,0.29700,41.78010,30.55490,0.01210,3.28380,4.60550,0.38130,2.61370,149.57080,7.2775,6.6923
2022-09-30,0.12050,0.17330,39.85000,29.17800,0.01070,2.78150,3.91210,0.32660,2.25170,146.08760,6.6776,6.4479
2022-06-30,0.10470,0.16040,16.51950,11.43710,0.00820,0.91460,1.27600,0.10660,0.75500,146.59730,3.9161,3.6396
2022-03-31,0.16150,0.19550,33.12190,23.66370,0.00960,2.24590,2.72720,0.24170,1.69880,138.50290,10.01240,9.79680
2021-12-31,0.16300,0.19730,39.27710,28.42500,0.00980,2.83510,3.44170,0.29530,2.14120,139.12150,5.4143,4.9324
2021-09-30,0.16650,0.20560,42.21620,30.58120,0.01020,3.14000,3.83200,0.32620,2.35610,136.21560,3.7743,3.4429
2021-06-30,0.17310,0.21470,41.17190,29.82760,0.00980,2.96100,3.77990,0.30410,2.26550,129.94620,4.1573,4.0533
2021-03-31,0.17540,0.21630,39.18990,28.31300,0.01000,2.94310,3.77680,0.29720,2.24240,127.84610,7.73100,7.48990
2020-12-31,0.21300,0.27440,42.34110,30.83310,0.01030,3.15410,4.06860,0.33040,2.29050,126.15270,5.1574,4.7956
2020-09-30,0.25320,0.34190,37.06310,26.90190,0.00950,2.50580,3.23860,0.26840,1.72610,125.50970,-0.047,-0.294
2020-06-30,0.28390,0.39970,27.90470,19.93000,0.00800,1.64040,2.12740,0.17280,1.08260,124.30310,4.0613,3.7288
2020-03-31,0.28560,0.40340,27.84260,19.95770,0.01010,1.84560,2.40070,0.21580,1.21430,123.30560,-3.03990,-3.43720
2019-12-31,0.30770,0.44850,44.19010,32.07470,0.01230,3.40830,4.44420,0.41130,2.17180,120.37230,8.3087,7.8833
2019-09-30,0.30740,0.79320,41.98210,30.50300,0.01210,3.30410,4.30440,0.38250,2.10730,119.31260,5.6798,5.3913
2019-06-30,0.32790,0.78170,41.74260,30.20410,0.01230,3.27280,4.27890,0.38930,2.02700,116.94700,0.548,0.1605
