,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.38570,0.62790,22.75230,22.75230,26.75040,25.57420,0.01790,0.79160,1.14490,0.45970,0.48630,43.68210,1.0595,-5.4054
2022-09-30,0.37820,0.60830,24.94690,24.94690,27.52400,26.22420,0.01820,0.82000,1.21920,0.48000,0.50990,42.83570,1.0414,-1.5974
2022-06-30,0.37670,0.60430,23.96900,23.96900,29.42680,27.54220,0.01800,0.84770,1.27780,0.49790,0.52840,42.75330,1.2228,-1.2477
2022-03-31,0.38380,0.62280,24.59670,24.59670,26.12920,24.69450,0.01830,0.78180,1.19890,0.45380,0.48170,42.52020,0.86440,-1.52110
2021-12-31,0.38060,0.61450,-2.22250,-2.22240,2.13060,0.58990,0.01590,0.01780,0.02760,0.01040,0.01100,42.50130,0.7135,-4.7731
2021-09-30,0.40890,0.69180,26.46530,26.46530,28.85440,27.55630,0.02070,1.01190,1.20640,0.57050,0.59810,33.07500,0.9219,-2.873
2021-06-30,0.43560,0.77190,25.40650,25.40650,28.92160,26.86800,0.02110,1.05080,1.25980,0.56750,0.59300,31.23220,0.8354,-1.8717
2021-03-31,0.42450,0.73770,20.96220,20.96220,23.16790,21.69340,0.02110,0.83200,0.98740,0.45870,0.47880,30.96840,0.71700,-1.95710
2020-12-31,0.44450,0.80030,22.27950,22.27950,29.65870,28.51760,0.01990,1.07240,1.27140,0.56970,0.59570,30.49440,0.8942,-1.775
2020-09-30,0.44550,0.80340,2.88280,2.88280,6.85540,5.66130,0.02040,0.22040,0.26030,0.11700,0.12220,29.94840,0.838,-0.9125
2020-06-30,0.43150,0.75910,26.30810,26.30810,26.74830,26.00450,0.02170,1.04170,1.21900,0.56570,0.59220,30.06730,0.7104,0.2868
2020-03-31,0.41970,0.72340,27.26350,27.26350,36.17940,35.43630,0.02200,1.41240,1.65310,0.78280,0.81960,30.33660,0.78700,-0.25360
2019-12-31,0.44630,0.80590,28.39400,28.39400,33.31350,32.80810,0.02120,1.32140,1.55890,0.69820,0.73170,29.38730,0.9527,-3.9482
2019-09-30,0.43030,0.75520,27.01320,27.01320,27.54790,27.00060,0.02180,1.08690,1.26760,0.58950,0.61920,28.59100,0.8554,-0.2457
2019-06-30,0.44390,0.79820,24.50350,24.50350,26.42630,26.04840,0.02180,1.07670,1.26560,0.56970,0.59870,27.85060,0.875,-2.5121
2019-03-31,0.46690,0.87590,29.74670,29.74670,31.79630,31.30730,0.02250,1.38880,1.63830,0.70560,0.74030,26.36240,0.69790,-0.94290
2018-12-31,0.44460,0.80040,23.66920,23.66920,25.36960,24.83300,0.02240,1.05040,1.23250,0.55900,0.58340,26.73640,0.8759,-0.0956
2018-09-30,0.46790,0.87920,27.44080,27.44080,29.75180,29.28260,0.02240,1.28750,1.53130,0.65770,0.68510,26.12690,0.6965,-1.2305
2018-06-30,0.46540,0.87060,27.40100,27.40100,29.76870,29.30500,0.02240,1.28720,1.54250,0.65900,0.68810,25.90290,0.9214,-0.095
2018-03-31,0.47470,0.90360,25.54860,25.54860,26.55960,26.12770,0.02200,1.14170,1.38390,0.57560,0.59970,25.66170,0.75100,-1.03350
2017-12-31,0.45260,0.82690,13.25140,13.25140,20.72220,19.58840,0.02210,0.82470,0.98610,0.43360,0.45140,26.00400,0.8733,-0.4462
2017-09-30,0.43970,0.78480,27.65770,27.65770,29.06490,28.65240,0.02240,1.19440,1.42190,0.64280,0.66920,26.16920,0.6329,-0.0701
2017-06-30,0.46030,0.85290,26.27210,26.27210,27.21790,27.03000,0.02210,1.15740,1.39480,0.59860,0.62460,25.61820,0.8726,-0.3951
2017-03-31,0.43460,0.76880,26.69240,26.69240,30.22630,24.02010,0.02220,1.26210,1.50100,0.66330,0.71350,25.83670,0.81850,-0.49660
2016-12-31,0.46250,0.86040,30.04310,30.04310,32.36970,29.76310,0.02190,1.45070,1.62970,0.70500,0.73430,26.08720,0.8899,-1.818
2016-09-30,0.43680,0.77550,26.61180,26.61180,28.17580,25.36390,0.02210,1.21100,1.36210,0.61580,0.64220,26.18210,0.8161,-0.732
2016-06-30,0.42040,0.72540,25.22260,25.22260,28.41690,25.47420,0.02210,1.18400,1.32480,0.62100,0.64640,26.43900,0.8795,-0.314
2016-03-31,0.43990,0.78530,25.89100,25.89100,26.74790,23.76230,0.02220,1.15450,1.28910,0.58560,0.60730,25.88990,0.54360,-0.70910
2015-12-31,0.42380,0.73570,29.85070,29.85070,31.79480,28.88850,0.02230,1.34970,1.51010,0.70160,0.73070,26.16970,0.9384,0.315
2015-09-30,0.46410,0.86600,24.07750,24.07750,26.48160,23.44830,0.02210,1.19630,1.35490,0.57770,0.59930,25.46910,0.6164,0.0867
2015-06-30,0.46990,0.88650,24.93620,24.93620,26.38380,23.36600,0.02160,1.18710,1.34930,0.56570,0.58770,25.48120,0.8595,-2.2171
2015-03-31,0.46970,0.88560,24.88670,24.88670,27.81050,24.50470,0.02230,1.28020,1.46850,0.60930,0.63160,24.99420,0.52190,-0.38200
2014-12-31,0.46640,0.87410,22.00720,22.00720,32.10310,28.68560,0.02250,1.49410,1.70910,0.71170,0.74140,25.08480,0.889,0.1109
2014-09-30,0.46000,0.85190,26.87550,26.87550,31.53160,24.58120,0.02150,1.41730,1.63070,0.67300,0.71120,25.10600,0.6305,-0.1579
2014-06-30,0.43920,0.78320,26.60310,26.60310,27.46210,22.48890,0.02110,1.18400,1.29610,0.57550,0.59500,26.34240,0.7989,-0.3567
2014-03-31,0.47360,0.89980,24.70350,24.70350,25.27710,21.29290,0.02110,1.15720,1.26150,0.52400,0.53980,25.78980,0.55080,-2.36900
2013-12-31,0.43460,0.76860,23.30370,23.30370,23.30370,24.91310,0.02180,1.03480,1.11390,0.50170,0.51930,26.12890,0.9477,0.0222
2013-09-30,0.47410,0.90150,22.80130,22.80130,22.80130,20.33290,0.02050,1.02570,1.11680,0.46060,0.47430,25.70280,0.6287,-2.1103
2013-06-30,0.44230,0.79300,28.19520,28.19520,28.19520,24.64940,0.01980,1.15540,1.26160,0.55170,0.56750,26.01110,0.8022,-2.44
2013-03-31,0.39810,0.66140,19.33890,19.33890,19.33890,35.74200,0.02000,0.73620,0.78020,0.38070,0.39060,26.20120,0.32710,-0.26420
2012-12-31,0.54330,1.18940,23.17710,23.17700,23.17700,20.10020,0.02620,1.83340,1.53520,0.60900,0.62590,18.07990,0.8881,-1.8766
2012-09-30,0.50500,1.02030,29.04680,29.04680,29.04680,23.02710,0.02330,1.83400,1.38610,0.66760,0.68130,18.30400,0.3948,-2.8625
2012-06-30,0.44590,0.80480,34.08910,34.08910,34.08910,29.12500,0.02470,2.04780,1.55390,0.83380,0.85500,18.53190,0.7947,-0.8092
2012-03-31,0.42910,0.75170,33.34850,33.34850,33.34850,23.21450,0.02550,1.96430,1.51600,0.84230,0.85940,18.44730,0.37920,0.31210
2011-12-31,0.47680,0.91140,28.05110,28.05110,28.05100,32.58630,0.02430,1.54980,1.32780,0.67230,0.68930,16.92540,0.7951,-0.739
2011-09-30,0.45690,0.84140,35.13040,35.13040,35.13040,32.68100,0.02490,1.90700,1.63620,0.86440,0.88180,17.08340,0.4887,-3.1568
2011-06-30,0.46390,0.86540,37.11470,37.11470,37.11470,32.65600,0.02550,2.13030,1.80100,0.93580,0.95750,16.48200,0.7367,-0.4056
2011-03-31,0.43120,0.75820,36.98350,36.98350,36.98350,30.77180,0.02580,2.00920,1.70150,0.94440,0.95980,16.63770,0.34860,-0.91610
2010-12-31,0.46420,0.86630,34.32570,34.32570,34.32570,38.99180,0.02310,1.82230,1.50300,0.77790,0.79790,15.64440,0.7895,-3.0465
2010-09-30,0.49580,0.98340,34.37630,34.37630,34.37630,29.47150,0.02640,2.28940,1.83350,0.89830,0.91460,14.69780,0.4426,0.3139
2010-06-30,0.52890,1.12270,35.48430,35.48430,35.48430,30.32270,0.02620,2.60600,2.02260,0.92140,0.94150,13.86720,0.7128,-1.8113
2010-03-31,0.48640,0.94720,35.70650,35.70650,35.70650,29.22120,0.02840,2.58690,2.01510,1.00570,1.02270,14.05580,0.35230,0.07540
2009-12-31,0.47650,0.91030,36.07840,36.07840,36.07840,37.88410,0.02650,2.42390,1.89560,0.95650,0.98080,14.26840,0.7505,0.2904
2009-09-30,0.47330,0.89860,38.09210,38.09210,38.09210,33.25310,0.02810,2.65810,2.08440,1.06700,1.08530,14.40660,0.4057,0.3031
2009-06-30,0.47060,0.88880,37.34270,37.34270,37.34270,32.59120,0.02770,2.54450,2.00130,1.02480,1.04750,14.56470,0.6882,0.6825
2009-03-31,0.46790,0.87920,36.67550,36.67550,36.67550,29.10510,0.02820,2.50210,1.97370,1.02220,1.03850,14.71880,0.34430,0.32070
