,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2011-09-30,1.39030,0.65490,2.11810,23.45020,8.07990,8.07990,6.17600,-3.04160,0.10530,4.93560,1.80060,49.98380,2.05950,2.50060,0.49650,0.71080,12.79700,1.4774,0.5039
2011-06-30,1.41430,0.63810,1.97790,22.36750,13.84440,13.84440,13.84440,3.92330,0.10400,5.26450,1.68060,53.55360,4.02330,4.82140,1.02260,1.45620,13.85320,0.8618,0.1946
2011-03-31,1.15830,0.60110,1.76160,23.89320,16.72280,16.72280,16.72280,5.38980,0.10260,4.98900,1.66510,54.05200,4.43760,5.29270,1.20990,1.77000,14.07260,0.63380,0.03410
2010-12-31,1.17120,0.60260,1.80430,24.65370,11.49580,11.49580,11.49580,-12.07760,0.08910,4.92750,1.58130,56.91690,3.66850,4.39380,0.94300,1.45770,13.22110,1.4529,0.3968
2010-09-30,1.38970,0.62430,1.85250,24.23560,9.19800,9.19800,9.14790,2.85710,0.09550,4.94760,1.67580,53.70680,2.68010,3.24830,0.69170,1.00690,13.57860,1.255,0.6064
2010-06-30,1.50280,0.62510,1.84640,25.54170,14.30030,14.30030,14.17280,3.67070,0.09640,5.30130,1.78320,50.47160,4.02670,4.88220,1.05400,1.50940,13.39290,0.8159,0.2692
2010-03-31,1.51730,0.63470,1.95920,24.51530,14.13270,14.13270,14.13270,4.77040,0.09360,5.14610,1.73530,51.86480,3.61620,4.36380,0.90970,1.32100,13.24990,0.95290,0.24960
2009-12-31,1.32710,0.66470,2.20010,25.22430,15.94200,15.94200,15.94200,-1.65630,0.07330,3.86960,1.35290,66.52170,4.56080,5.72760,1.02440,1.52920,13.29980,0.5027,-0.6266
2009-09-30,1.39920,0.67870,2.29540,26.47860,16.45670,16.45670,16.40200,5.06570,0.09300,4.64530,1.51220,59.51530,4.83360,6.22090,1.05450,1.55320,12.83180,1.5195,0.6572
2009-06-30,1.48640,0.68420,2.33510,24.39990,16.95530,16.95530,16.95530,9.20690,0.08800,4.31200,1.42220,63.28170,6.11100,7.96520,1.34430,1.92960,12.34350,0.7418,-0.1406
2009-03-31,1.59400,0.68850,2.33300,26.18540,20.15910,20.15910,19.85320,6.66870,0.09380,4.80680,1.48460,60.62400,6.26220,8.31610,1.38350,1.95050,11.55010,0.53600,-0.32580
