,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,3.42440,79.51150,-29.15910,-29.15910,-27.23240,-28.05470,0.14370,0.25330,1.05230,85.52890,-5.28460,-6.46570,-4.03240,-5.28460,15.02910,-0.4314,-0.59
2022-09-30,3.80110,78.81210,-37.78270,-37.78270,-36.94430,-37.39290,0.14100,0.29620,1.04840,85.84740,-6.76940,-8.28260,-5.27250,-6.76220,15.23380,-0.4585,-0.544
2022-06-30,4.56620,78.67350,-26.75590,-26.75590,-27.07930,-27.10080,0.13700,0.33220,1.13570,79.24330,-4.59720,-5.59680,-3.71390,-4.59720,15.90730,-0.3865,-0.4665
2022-03-31,5.21600,79.45270,-31.19870,-31.19870,-31.71220,-32.00630,0.11790,0.31780,1.06350,84.62880,-4.55210,-5.52850,-3.77400,-4.55210,16.30560,-1.18060,-1.27530
2021-12-31,5.04380,79.83250,-40.03020,-40.03020,-41.17110,-40.62530,0.11560,0.43200,1.10430,81.50060,-5.69720,-6.90260,-4.69480,-5.69720,16.71460,-1.5583,-1.6331
2021-09-30,4.45940,80.50980,-70.26440,-70.26440,-69.03150,-69.29370,0.10660,0.45570,1.09530,82.17050,-9.28440,-11.19900,-7.38700,-9.28440,17.31370,-0.0939,-0.1832
2021-06-30,7.14220,79.89850,-23.06510,-23.06510,-21.77110,-21.77110,0.09830,0.47850,1.02300,87.97560,-2.49390,-2.97340,-2.14000,-2.49390,18.64710,-0.3971,-0.4789
2021-03-31,7.96600,80.68120,-36.87540,-36.87540,-36.57420,-36.57420,0.08420,0.43750,0.98860,91.04240,-3.54550,-4.22780,-3.07940,-3.54550,18.88690,-0.69180,-0.73330
2020-12-31,7.88990,89.72900,27.43850,27.43850,27.58790,27.78930,0.15030,0.53180,1.85020,48.64340,4.79040,5.70340,4.17640,4.79040,19.28170,1.0294,0.9396
2020-09-30,3.65180,92.62560,60.10810,60.10810,60.22330,59.91790,0.35330,0.80950,3.61850,24.87210,28.17350,37.55690,21.17060,28.17350,12.88920,4.5654,4.475
2020-06-30,4.70810,82.64590,-33.80060,-33.80060,-7.62240,-7.62240,0.12840,0.53600,0.95840,93.90950,-1.16810,-1.70320,-0.97900,-1.16810,10.43380,-0.4951,-0.6205
2020-03-31,4.51150,87.45450,-47.90970,-47.90970,-71.80890,-71.80890,0.11210,0.34720,1.04410,86.20030,-9.53790,-11.29500,-8.05190,-9.53790,10.22740,-0.40070,-0.54720
2019-12-31,4.53680,95.88410,-13.25520,-13.25520,8.91290,8.91290,0.13140,0.13880,1.22800,73.29120,1.37670,1.98450,1.17100,1.37670,10.90900,-0.0859,-0.2055
2019-09-30,4.85910,94.92320,-42.10010,-42.10010,-43.09840,-43.09840,0.10170,0.11760,1.12060,80.31690,-5.16480,-6.10750,-4.38190,-5.16480,10.40050,-0.3383,-0.4398
2019-06-30,3.02740,95.01160,-17.72060,-17.72060,-36.27330,-36.27330,0.13940,0.14900,1.19850,75.09260,-6.23030,-7.94640,-5.05480,-6.23030,7.86840,-0.209,-0.3374
2019-03-31,3.27030,94.72330,-27.47810,-27.47810,-6.82840,-6.82840,0.12260,0.15320,1.24370,72.36690,-1.01480,-1.28320,-0.83690,-1.01480,8.15070,-0.35620,-0.43420
2018-12-31,2.90390,79.60900,-51.75030,-51.75030,-82.20480,-68.65110,0.11610,0.66840,1.19300,75.44020,-9.40430,-11.98920,-7.96930,-9.40430,7.94910,-0.1658,-0.2066
2018-09-30,3.70230,89.57170,-26.89940,-26.89940,-39.80900,-39.80900,0.10810,0.23500,1.11080,81.02040,-4.94280,-6.05710,-4.30180,-4.94280,8.52540,-0.0961,-0.1318
2018-06-30,3.90290,88.65570,-17.79600,-17.79600,44.82090,44.82090,0.10760,0.27220,1.13470,79.31830,5.51730,6.74130,4.82460,5.51730,8.71400,-0.0612,-0.0886
2018-03-31,3.77650,88.80790,-66.73950,-66.73950,-79.46160,-79.46160,0.09540,0.21880,1.18560,75.90950,-8.73230,-10.86380,-7.58100,-8.73230,8.08840,-0.96790,-0.99860
2017-12-31,3.45280,87.91480,-34.73020,-34.73020,-71.41550,-45.67800,0.14760,0.26110,1.52880,58.86860,-8.73730,-8.73730,-6.74310,-8.73730,4.69250,-0.0437,0.0435
2017-09-30,4.06160,89.49300,-23.79830,-23.79830,36.97290,36.97290,0.15860,0.23370,1.49610,60.15830,7.58230,7.58230,5.86360,7.58230,4.58760,-0.0286,-0.0534
2017-06-30,4.47100,88.56160,-54.77020,-54.77020,-52.07770,-52.07770,0.14290,0.17880,1.50440,59.82650,-9.82680,-9.82680,-7.44050,-9.82680,4.01120,-0.3121,-0.4728
2017-03-31,5.09120,89.13140,-54.35490,-54.35490,-54.97060,-54.97060,0.13920,0.19530,1.48100,60.76940,-9.94240,-9.94240,-7.65130,-9.94240,4.23000,-0.44610,-0.54840
