,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,0.41480,1.18280,14.62060,7.40310,0.01010,1.11160,1.89920,0.09070,0.57130,49.17110,4.5615,4.4178
2022-06-30,0.40700,1.10170,26.02810,19.84790,0.00930,2.38980,4.15660,0.19090,1.25000,50.72500,6.1354,5.3977
2022-03-31,0.37830,1.05550,23.39450,17.81350,0.00830,2.05870,3.54710,0.16150,1.13240,51.98950,4.21260,3.93500
2021-12-31,0.38160,1.01120,26.41370,20.38690,0.00910,2.26350,3.82360,0.19550,1.24300,53.75890,3.8149,3.3205
2021-09-30,0.37040,0.97860,28.48040,21.59310,0.00870,2.39750,4.01050,0.20040,1.35330,53.12770,0.0523,-0.3968
2021-06-30,0.36370,0.98530,31.33960,24.49330,0.00870,2.49980,4.07960,0.21990,1.43230,52.85730,3.1888,2.9358
2021-03-31,0.36240,1.00440,28.79620,21.42860,0.00860,2.29130,3.76350,0.20040,1.31430,51.64700,-3.58380,-3.83220
2020-12-31,0.36430,0.95050,23.58930,18.33860,0.00820,1.82350,2.96820,0.16080,1.04460,51.81090,-0.9756,-1.273
2020-09-30,0.37010,1.08930,30.14590,22.82440,0.00900,2.32310,3.80880,0.22040,1.31640,50.97190,0.8698,0.4966
2020-06-30,0.39990,1.14050,30.54050,23.29970,0.00870,2.45690,4.10450,0.21820,1.32190,49.45350,7.6339,7.2288
2020-03-31,0.41320,1.21030,31.15000,23.96550,0.00840,2.55190,4.59650,0.20550,1.36890,46.57440,-1.87910,-2.17360
2019-12-31,0.40320,1.16150,38.06940,28.93860,0.01250,3.80880,6.86990,0.37980,2.07940,46.17050,-2.6386,-2.7728
2019-09-30,0.40980,1.18050,33.19580,25.76740,0.01040,2.75540,4.96870,0.27900,1.48680,44.80920,5.3789,4.942
2019-06-30,0.41940,1.30800,32.68060,24.54220,0.01030,2.67580,4.81560,0.26790,1.42160,44.25400,-1.653,-2.1313
2019-03-31,0.43480,1.21490,30.65260,23.25280,0.01120,2.52880,4.59900,0.27620,1.30690,43.18150,-0.98240,-1.25570
2018-12-31,0.44290,1.27770,25.45550,20.63890,0.01100,2.33890,4.31360,0.23980,1.18970,42.41760,3.2631,2.9588
2018-09-30,0.42710,1.09190,32.76030,26.22790,0.01160,2.92330,5.30430,0.31850,1.53240,42.12280,1.2559,0.9606
2018-06-30,0.42970,1.21760,33.66340,25.30790,0.01170,2.91460,5.31900,0.31390,1.52050,41.55930,2.3797,2.0512
2018-03-31,0.41280,1.39220,34.52070,26.94240,0.01120,3.02620,5.54020,0.31100,1.62680,41.49700,-0.83390,-1.00320
