,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,1.38200,,69.54240,16.13480,16.13480,13.77450,8.16530,0.15060,0.84500,1.03570,86.89480,1.96770,2.25410,1.22950,1.96770,47.29960,3.414,2.4427
2022-06-30,1.31720,,70.91510,19.41060,19.41060,17.90610,11.63420,0.16690,0.90950,1.04050,86.50050,3.13410,3.62100,1.94140,3.13410,46.10720,1.6207,0.6437
2022-03-31,1.33110,,72.88660,20.35330,20.35330,19.26450,13.79940,0.16370,0.95720,1.02350,87.93530,3.66250,4.26160,2.25960,3.66250,46.53070,0.38510,-0.71760
2021-12-31,1.29620,,72.21060,21.42300,21.42300,21.33760,18.52020,0.17350,1.24460,1.14920,78.31240,5.27120,6.17110,3.21370,5.27120,46.02610,3.4029,2.0406
2021-09-30,1.37140,,74.33330,25.70710,25.70710,25.78860,17.81360,0.17980,1.25900,1.18810,75.74850,5.14590,6.08430,3.20290,5.14590,44.59950,4.475,2.9082
2021-06-30,1.31550,,75.04270,26.60270,26.60270,26.59280,19.75790,0.18730,1.41130,1.25090,71.94950,5.90100,7.04580,3.70140,5.90100,42.86890,3.9926,2.4314
2021-03-31,1.51780,,75.67280,25.19600,25.19600,29.23890,22.39410,0.17650,1.44500,1.24450,72.31590,5.90460,7.04180,3.95240,5.90460,42.88280,2.84700,2.30280
2020-12-31,1.39520,,73.15140,25.54570,25.54570,25.70840,19.05140,0.17280,1.60920,1.26880,70.93100,4.91630,5.97930,3.29190,4.91630,41.00770,4.811,4.1412
2020-09-30,1.31330,,72.74980,24.11910,24.11910,25.13740,18.98420,0.16630,1.62520,1.17270,76.74810,4.59440,5.62540,3.15670,4.59440,38.47190,2.6619,2.3984
2020-06-30,1.22050,,63.67270,-20.72020,-20.72020,-20.86010,-11.52440,0.08750,0.97490,0.74440,120.90990,-1.42710,-1.76390,-1.00850,-1.42710,36.11330,0.7609,0.322
2020-03-31,1.73110,,71.57580,12.69020,12.69020,9.68400,275.54140,0.13900,1.29450,1.03370,87.06640,53.21200,54.62400,38.28980,53.21190,36.22430,0.12380,-0.45930
2019-12-31,1.68230,,72.63280,23.26150,23.26150,23.97660,18.66180,0.25980,1.58700,1.18080,76.21910,9.00790,9.54460,4.84910,9.00790,17.16330,2.701,2.1744
2019-09-30,1.73030,,72.04420,20.93580,20.93580,21.14450,16.88080,0.25840,1.79110,1.14200,78.80820,7.85290,8.34520,4.36200,7.85290,16.56600,2.9731,2.6308
2019-06-30,1.84700,,71.96460,29.38090,29.38090,32.27030,24.49520,0.25600,2.07590,1.15500,77.92360,10.71150,11.36380,6.27200,10.71150,17.20010,2.2025,1.6394
2019-03-31,1.78800,0.04470,73.24540,15.97550,15.97550,15.40850,13.08780,0.24570,2.14450,1.14540,78.57480,5.72170,6.11280,3.21550,5.72170,15.69630,1.45260,1.01560
2018-12-31,1.88200,,71.73810,22.55960,22.55960,22.84410,18.23750,0.26020,2.71250,1.21640,73.98750,7.77340,8.31740,4.74510,7.77340,15.70470,2.966,2.2987
2018-09-30,1.98020,,73.57790,24.77950,24.77950,25.05600,19.96320,0.26200,2.73260,1.20230,74.85780,8.45540,9.09270,5.23090,8.45540,14.91550,1.1869,0.5245
2018-06-30,2.22540,,74.56920,25.02580,25.02580,23.96880,21.64260,0.25580,2.63860,1.30960,68.72570,8.70460,9.35960,5.53610,8.70460,15.17760,1.7176,1.0078
2018-03-31,2.25640,,74.93480,22.47350,22.47350,23.01200,21.94110,0.24510,3.05350,1.20880,74.45530,8.50280,9.21940,5.37750,8.50280,14.06790,0.94740,0.24200
2017-12-31,2.31650,,75.45680,26.01470,26.01470,26.62730,2.43610,0.23620,3.26330,1.29960,69.25090,0.88920,0.96360,0.57530,0.88920,14.42140,1.9819,1.1328
2017-09-30,2.38640,,75.91830,25.63500,25.63500,26.60830,21.42800,0.22690,2.51150,1.19900,75.06360,6.98460,7.56080,4.86300,6.98460,14.74200,1.4405,0.8543
2017-06-30,2.36170,,75.99740,23.44270,23.44270,24.34370,19.40600,0.22980,2.43550,1.22210,73.64320,6.41560,7.00920,4.45970,6.41560,13.45440,1.3525,1.127
2017-03-31,2.51170,,75.92460,19.87270,19.87270,20.40270,22.36890,0.21270,2.12420,1.16180,77.46810,6.64390,7.28870,4.75710,6.64390,13.00830,0.58410,-0.14650
2016-12-31,2.68950,,75.11830,23.31900,23.31900,20.75560,16.24170,0.21000,2.68900,1.18510,75.94520,4.78420,5.21360,3.41090,4.78420,12.51230,0.9934,0.8192
2016-09-30,2.65780,,75.09340,22.28340,22.28340,22.80850,18.43830,0.20500,2.63420,1.13710,79.14630,5.28300,5.77600,3.78010,5.28300,12.17410,0.7314,0.5196
2016-06-30,2.76070,,76.18600,24.18160,24.18160,24.22800,18.61730,0.21530,2.78990,1.39810,64.37210,5.51160,6.07040,4.00780,5.51160,11.39200,0.9372,0.7056
2016-03-31,2.84990,,75.66480,22.34170,22.34170,22.16280,16.98480,0.19770,2.56840,1.34110,67.10790,4.54540,4.98460,3.35770,4.54540,11.12600,0.37730,0.12880
2015-12-31,2.69450,,75.04470,25.76860,25.76860,25.90460,21.22540,0.19870,2.95230,1.45240,61.96690,5.76430,6.35790,4.21850,5.76430,10.66570,0.9632,0.7596
2015-09-30,2.91080,,75.89050,18.32340,18.32340,17.56820,13.30020,0.19230,2.64320,1.39920,64.32190,3.45950,3.84330,2.55810,3.45950,10.03290,0.7451,0.6145
2015-06-30,2.95120,,75.72460,20.20400,20.20400,20.28710,14.96510,0.20370,3.09800,1.43030,62.92460,4.07250,4.54870,3.04790,4.07250,9.61420,0.7756,0.6449
2015-03-31,3.27710,,76.27500,24.69840,24.69840,23.96540,18.26330,0.19260,3.22510,1.43380,62.77230,4.55900,5.07920,3.51780,4.55900,9.82900,0.43560,0.24480
2014-12-31,3.25630,,75.86200,25.92800,25.92800,25.06400,19.90990,0.20100,3.00970,1.53060,58.79960,5.25270,5.89540,4.00210,5.25270,9.38560,0.864,0.7781
2014-09-30,3.10070,,76.39410,27.14770,27.14770,26.09490,20.14320,0.20020,2.80440,1.46010,61.64140,5.29400,5.98050,4.03330,5.29400,8.97280,0.8281,0.7423
2014-06-30,2.96350,,75.55980,25.31120,25.31120,25.26290,18.49050,0.21740,3.58790,1.46940,61.25000,5.26790,6.01350,4.02060,5.26790,8.36560,0.8481,0.7875
2014-03-31,3.23180,,75.97790,23.14140,23.14140,23.47410,17.96000,0.20400,2.73960,1.43160,62.86590,4.65650,5.29810,3.66330,4.65650,8.53530,0.21730,0.15690
2013-12-31,3.10640,,76.54630,29.68280,29.68280,29.57120,23.79300,0.21430,2.99370,1.57430,57.16750,6.69130,7.73250,5.09780,6.69130,7.86730,0.7995,0.7499
2013-09-30,2.95380,,76.03980,25.20520,25.20520,25.47810,20.99440,0.21670,2.68830,1.50680,59.73100,5.99930,7.05450,4.54910,5.99930,7.18580,0.6766,0.6055
2013-06-30,2.75180,,75.50050,23.13460,23.13460,22.93020,17.89680,0.23270,2.55580,1.45800,61.72960,5.63630,6.76340,4.16540,5.63630,6.52700,0.6475,0.6022
2013-03-31,3.66570,,73.47900,-24.79160,-24.79160,-25.43500,-27.33620,0.21150,2.63770,1.41320,63.68330,-7.48200,-8.79880,-5.78080,-7.48200,6.86590,0.12820,0.05920
2012-12-31,3.11860,,74.54350,11.95110,11.95110,11.48070,6.69210,0.18890,2.40460,1.44290,62.37240,1.64440,2.19090,1.26390,1.64440,7.21140,0.5916,0.5166
2012-09-30,3.19240,,73.51860,3.29900,3.29900,3.04040,-0.25200,0.17770,2.38790,1.28890,69.82750,-0.05710,-0.07740,-0.04480,-0.05710,7.36290,0.504,0.4281
2012-06-30,3.02520,,74.71190,24.72910,24.72910,25.10060,19.56520,0.19570,2.51840,1.42560,63.13030,4.85970,7.07760,3.82870,4.85970,7.25970,0.4252,0.268
2012-03-31,2.83810,,74.59340,20.73310,20.73310,20.13190,15.53460,0.20150,2.55460,1.43030,62.92390,4.01210,6.20240,3.12990,4.01210,6.55430,0.09020,-0.06330
2011-12-31,2.59810,,74.12440,20.50350,20.50350,20.43830,15.86360,0.19850,3.54770,1.40820,63.91010,4.16660,6.69630,3.14960,4.16660,6.23010,0.5972,0.4805
2011-09-30,2.72190,,73.37130,20.90010,20.90010,20.80640,15.30180,0.21490,4.04980,1.45290,61.94350,4.21650,7.11230,3.28780,4.21650,5.81780,0.4432,0.2873
2011-06-30,2.61830,,75.89310,13.81930,13.81930,13.56450,9.29500,0.21950,4.61560,1.46210,61.55340,2.59710,4.61430,2.04040,2.59710,5.48860,0.3672,0.2967
2011-03-31,4.74970,,78.41800,20.04940,20.04940,20.13430,15.10740,0.21100,7.89330,1.41880,63.43330,3.93950,3.95890,3.18740,3.93950,5.20940,0.21730,0.18170
2010-12-31,4.17980,,77.24590,15.90000,15.90000,15.62980,10.66280,0.19480,8.30860,1.41970,63.39230,2.62210,2.64080,2.07680,2.62210,4.94500,0.417,0.3389
2010-09-30,4.47230,,78.09830,22.84910,22.84910,22.76260,17.52530,0.21550,8.82200,1.50360,59.85590,4.67860,4.72280,3.77670,4.67860,4.71320,0.4528,0.414
2010-06-30,4.48600,,80.42630,41.90910,41.90910,42.05330,30.13330,0.26470,8.51550,1.71930,52.34670,9.76280,9.88310,7.97740,9.76280,4.40810,0.5488,0.4932
