,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2013-06-30,1.50340,0.22630,0.38260,32.82110,12.72830,12.72830,12.32240,9.71300,0.19070,1.31500,1.52810,58.89530,4.20890,14.18800,1.83530,3.25650,19.05450,1.4772,1.131
2013-03-31,1.50320,0.23040,0.39180,32.22050,10.99540,10.99540,10.35220,8.48390,0.18000,1.22740,1.47470,61.02910,3.59500,12.85250,1.53250,2.76670,18.55410,1.0539,0.7577
2012-12-31,1.84920,0.24830,0.37350,31.55710,9.34910,9.34910,1.08490,8.83850,0.17280,1.18640,1.41750,63.49390,3.43000,11.22740,1.53840,2.57830,19.36650,0.92020,0.62910
2012-09-30,1.62410,0.25260,0.46520,31.62900,11.92030,11.92030,11.29610,11.77170,0.17420,1.27210,1.43580,62.68430,4.98930,17.17740,2.06150,3.72900,18.87230,1.6648,1.3419
2012-06-30,1.58030,0.25810,0.48570,29.09400,10.60300,10.60300,9.94570,5.68730,0.18470,1.32820,1.46220,61.55190,3.35920,12.63360,1.37260,2.49210,18.09370,1.1717,0.9188
2012-03-31,1.90140,0.25910,0.51700,31.42510,11.84980,11.84980,11.04960,7.91010,0.17070,1.21550,1.42000,63.37950,3.48820,7.06380,1.40840,2.58440,17.97190,1.2089,0.8901
2011-12-31,1.72170,0.20440,0.37500,29.74760,11.38800,11.38800,10.34700,8.20190,0.18090,1.16110,1.41450,63.62460,3.16210,7.09430,1.36960,2.51570,17.82820,0.48250,0.19110
2011-09-30,2.04720,0.26270,0.35640,31.53010,11.88530,11.88530,11.22950,8.90710,0.20650,1.33440,1.56340,57.56560,4.22230,8.86400,1.78300,3.11300,17.66020,1.4163,0.9731
2011-06-30,1.85860,0.25920,0.35000,30.39960,12.85280,12.85280,11.76310,9.91900,0.19850,1.24800,1.36920,65.73340,4.62690,10.59460,1.94650,3.42770,17.52730,1.016,0.789
2011-03-31,1.79810,0.25860,0.37400,30.18870,11.74000,11.74000,10.81160,8.95480,0.18470,1.21910,1.33830,67.25070,3.98040,9.53000,1.61500,2.95100,16.68510,1.2405,1.0045
2010-12-31,1.75490,0.25810,0.43770,31.90630,12.50000,12.50000,11.93750,8.28130,0.17680,1.18680,1.32180,68.09060,3.66190,9.16840,1.48600,2.71690,16.50160,0.34300,0.10020
2010-09-30,1.94540,0.24640,0.34200,31.25910,11.57210,11.57210,12.22710,10.80790,0.16170,1.19330,1.21650,73.98470,2.94780,6.02370,1.22410,2.22150,15.91450,1.0315,0.77
2010-06-30,1.89780,0.25340,0.35510,31.93900,15.14270,15.14270,15.40210,10.70040,0.18730,1.32350,1.39170,64.66930,4.86760,10.19400,2.00980,3.63420,15.22870,0.8421,0.6368
2010-03-31,1.86310,0.25390,0.35520,32.39770,13.45960,13.45960,14.91380,10.28070,0.17860,1.28970,1.44810,62.15080,4.50260,9.49130,1.84870,3.35930,14.98520,1.0861,0.9166
2009-12-31,2.10790,0.24830,0.34470,29.08020,9.30150,9.30150,8.36790,5.94740,0.17760,1.40670,1.42250,63.26760,2.46900,4.99130,1.06250,1.85600,15.26420,0.71430,0.55410
2009-09-30,2.13350,0.24840,0.34500,25.61160,6.52340,6.52340,3.15050,3.22460,0.16840,1.39860,1.36610,65.88210,1.11330,2.26810,0.48700,0.83670,15.27060,1.1808,1.0632
2009-06-30,2.11730,0.26720,0.36470,23.40510,2.55180,2.55180,1.23600,-3.07020,0.15390,1.17130,1.39720,64.41390,0.35360,0.71350,0.15340,0.25910,15.43160,0.7168,0.5892
2009-03-31,1.95480,0.29180,0.41220,22.84980,-162.47330,-162.47330,-163.97090,-138.55370,0.13890,0.90650,1.30410,69.01160,-45.79270,-102.04850,-19.25090,-32.42860,15.43830,0.9978,0.5568
