,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,0.84050,0.66800,6.22550,100.00000,31.36530,31.36530,31.36530,24.73490,0.00770,0.07240,1243.24800,2.82630,2.57270,0.19720,0.85430,351.78100,22.937,21.0973
2022-06-30,0.87230,0.68000,6.71640,100.00000,29.87190,29.87190,29.87190,23.48280,0.00740,0.07270,1238.41800,2.73120,2.48320,0.18280,0.79470,344.68930,107.5469,106.0678
2022-03-31,0.87820,0.69160,6.73860,100.00000,36.00090,36.00090,36.00090,29.62190,0.00810,0.07410,1215.28900,3.76810,3.41810,0.24780,1.05420,335.58630,-64.49000,-65.96520
2021-12-31,0.87710,0.69800,6.48980,100.00000,39.75790,39.75790,39.75790,30.13690,0.00860,0.07870,1144.12300,3.96580,3.57970,0.26880,1.08100,329.54110,85.449,84.6208
2021-09-30,0.84720,0.69550,6.81670,100.00000,50.27930,50.27930,50.27930,38.83010,0.00940,0.07920,1136.11100,5.58210,5.05940,0.37260,1.54060,317.50070,-110.6806,-106.494
2021-06-30,0.84360,0.70100,7.03940,100.00000,44.45020,44.45020,44.45020,34.74790,0.01110,0.09490,948.04130,5.91880,5.38420,0.39530,1.60960,302.09680,57.2939,54.9759
2021-03-31,0.81370,0.69160,6.86980,100.00000,47.09110,47.09110,47.09110,37.90670,0.01360,0.10750,837.05490,7.72770,6.99950,0.52520,2.15850,287.23180,-14.36130,-17.46470
2020-12-31,0.75390,0.69000,6.19210,100.00000,47.19360,47.19360,47.19360,37.15190,0.01010,0.09680,930.05620,5.31810,4.69710,0.38740,1.45630,278.80000,31.1964,32.0264
2020-09-30,0.73280,0.69780,6.12690,100.00000,39.87570,39.87570,39.87570,29.98790,0.00950,0.09700,928.14120,4.13400,3.63410,0.29740,1.09820,269.27580,99.1934,97.772
2020-06-30,0.75980,0.71210,6.21950,100.00000,9.71040,9.71040,9.71040,1.48180,0.01160,0.12480,720.87330,0.47320,0.41430,0.03270,0.11930,261.76170,-34.9734,-36.8756
2020-03-31,0.78880,0.70940,5.90950,100.00000,15.41810,15.41810,15.41810,12.84460,0.00800,0.07230,1244.81600,1.49430,1.31310,0.11130,0.38160,268.65530,-146.85960,-153.63330
2019-12-31,0.77460,0.69640,5.71890,124.49020,23.31490,23.31490,23.31490,17.31790,0.01000,0.13340,674.48020,2.42470,2.12370,0.19310,0.64470,259.87280,132.9275,133.0097
2019-09-30,0.77560,0.70210,5.70630,89.75130,29.02800,29.02800,29.02800,21.54270,0.00830,0.10020,898.50780,2.32280,2.04000,0.18630,0.60770,257.36980,25.1781,22.0799
