,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.40330,0.67580,52.27230,52.27230,50.25420,33.31260,0.06200,7.13340,4.17680,2.36400,2.43540,58.00780,4.1808,3.0232
2022-09-30,0.39980,0.66600,51.53940,51.53940,245.21860,249.24950,0.06240,48.14190,28.11630,15.91980,16.47660,57.72210,5.2566,4.1201
2022-06-30,0.42220,0.73060,51.28720,51.28720,49.09140,58.46460,0.05780,11.52780,6.70390,3.67740,3.77760,57.34080,4.524,3.4309
2022-03-31,0.43360,0.76570,47.99850,47.99850,44.94290,47.67850,0.05500,9.61580,5.46450,2.91710,3.00850,55.47140,3.72150,2.72200
2021-12-31,0.44410,0.79900,49.75720,49.75720,46.85680,60.37520,0.05320,11.83610,6.87130,3.57870,3.69580,53.41790,4.1653,3.1282
2021-09-30,0.38980,0.63880,48.93820,48.93820,46.66090,49.42580,0.05860,9.78890,5.60050,3.21650,3.31950,51.62750,3.8827,3.0609
2021-06-30,0.36310,0.57010,49.46990,49.46990,47.19320,41.75120,0.05720,8.41660,4.84520,2.84140,2.99250,50.11380,3.5274,2.8002
2021-03-31,0.25800,0.34770,48.53700,48.53700,46.92110,50.28400,0.06400,9.00060,5.16230,3.62440,3.73930,49.34020,2.91220,2.35300
2020-12-31,0.22880,0.29670,52.23710,52.23700,50.78250,39.03160,0.06330,7.36630,4.20950,2.98250,3.16880,49.12820,2.9342,2.3962
2020-09-30,0.22820,0.29570,48.13820,48.13820,47.17300,33.61480,0.06450,6.77150,3.95090,2.86200,2.97530,48.43250,3.0234,2.5836
2020-06-30,0.21430,0.27280,45.71640,45.71640,44.52700,34.52160,0.05770,6.47790,3.58740,2.55550,2.75380,51.63470,3.0889,2.6107
2020-03-31,0.21260,0.27010,47.36960,47.36960,46.32620,43.54870,0.06080,7.39420,4.16220,3.10450,3.20120,51.75650,2.65120,2.04920
2019-12-31,0.17320,0.20950,53.93820,53.93820,52.83920,45.08930,0.06390,7.71930,4.36230,3.40590,3.52480,52.05660,2.869,2.1965
2019-09-30,0.17720,0.21530,50.85900,50.85900,50.01820,46.25610,0.06390,7.95230,4.65660,3.49940,3.73940,50.40180,3.1616,2.3752
2019-06-30,0.17830,0.21700,50.78990,50.78990,50.27340,43.09880,0.06400,7.34540,4.32710,3.34240,3.47070,50.45760,3.1219,2.5072
2019-03-31,0.13390,0.15460,49.83660,49.83660,49.66560,43.79190,0.06340,7.25260,4.13860,3.38090,3.50140,52.20340,2.69440,2.06360
2018-12-31,0.13380,0.15440,55.06070,55.06070,54.73200,75.97820,0.06380,11.48320,6.57990,5.37970,5.56890,52.51640,2.8263,2.0298
2018-09-30,0.13720,0.15900,50.80620,50.80620,50.65420,45.68140,0.06570,7.75460,4.35770,3.53170,3.67180,51.24680,3.3927,2.7155
2018-06-30,0.13740,0.15930,50.09930,50.09930,49.79880,50.80760,0.06410,8.27840,4.65140,3.79030,3.91900,51.25130,2.9879,2.2693
2018-03-31,0.13930,0.16180,48.90080,48.90080,48.51820,42.96290,0.06270,7.04250,3.95670,3.22340,3.32510,51.26140,2.63290,2.06550
2017-12-31,0.13770,0.15970,56.48870,56.48870,56.17810,49.69150,0.06260,7.91520,4.46850,3.64270,3.76080,51.56290,2.7053,1.943
2017-09-30,0.13730,0.15910,52.46670,52.46670,52.78430,40.75360,0.06380,7.26070,4.09290,3.32790,3.44980,51.56830,3.0778,2.4554
2017-06-30,0.04190,0.04370,53.67430,53.67430,54.13180,41.64930,0.06410,7.14050,3.77280,3.42670,3.53690,55.39480,2.9081,2.2113
2017-03-31,0.04040,0.04210,50.60640,50.60640,51.06340,43.54930,0.06400,6.84480,3.74590,3.41160,3.51420,54.12780,2.63740,2.08970
2016-12-31,0.03970,0.04140,57.46950,57.46950,57.76660,54.15990,0.06430,8.19210,4.50410,4.10330,4.22770,54.48500,2.6745,2.106
