,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.27550,,23.96320,13.58940,13.58940,13.91310,10.25990,0.31480,46.48580,14.10290,6.38170,9.44780,9.53620,3.22950,9.44780,85.71410,14.1857,9.1121
2022-09-30,1.31740,,25.33790,15.14530,15.14530,15.31250,11.58190,0.32570,49.11200,12.10960,7.43210,11.04840,11.15350,3.77180,11.04840,83.86660,12.6869,7.68
2022-06-30,1.25810,,25.21460,15.25290,15.25290,15.73050,11.74430,0.33820,56.19410,12.19400,7.38070,12.06680,12.19090,3.97140,12.06680,77.47800,10.2832,6.6863
2022-03-31,1.31520,,20.73440,9.41440,9.41440,9.40380,7.83420,0.31240,53.65110,14.43280,6.23580,7.41790,7.49490,2.44760,7.41790,76.25640,9.99620,6.59840
2021-12-31,1.58130,,20.19850,8.07370,8.07370,8.54620,6.80780,0.29470,47.66390,10.12390,8.88980,5.80990,5.86590,2.00630,5.80990,81.81530,15.3399,11.1185
2021-09-30,1.78460,,23.52860,12.27670,12.27670,12.27030,10.47140,0.29460,52.47670,4.94640,18.19500,8.84650,8.93130,3.08460,8.84650,82.07810,9.8794,6.0642
2021-06-30,1.73290,,24.45830,12.97330,12.97330,13.01830,9.93240,0.29940,56.82480,5.25250,17.13460,8.64580,8.73400,2.97410,8.64580,77.37770,9.0436,4.7327
2021-03-31,1.74680,,22.32210,9.26990,9.26990,9.14540,7.29800,0.28320,55.66240,5.57180,16.15290,6.05960,6.12360,2.06700,6.05960,74.48880,10.70510,7.67460
2020-12-31,1.72740,,19.48280,7.27030,7.27030,7.32300,11.87770,0.26870,48.95000,4.15130,21.68020,9.45280,9.55660,3.19170,9.45280,72.14510,4.0771,-0.3895
2020-09-30,1.51090,,19.49680,6.68760,6.68760,6.65040,5.01080,0.28440,50.62790,12.33740,7.29490,4.44420,4.49890,1.42490,4.44420,64.53360,8.5221,5.6896
2020-06-30,1.59070,,12.21930,-0.36190,-0.36190,-0.31630,0.59900,0.25410,49.54820,8.22890,10.93700,0.47960,0.48590,0.15220,0.47960,60.95320,4.3341,1.2361
2020-03-31,1.61540,,17.64050,5.04130,5.04130,5.23570,5.41460,0.27100,49.79240,11.74740,7.66130,4.56860,4.62930,1.46720,4.56860,60.11220,6.42840,3.68670
2019-12-31,1.60850,,19.19460,6.81530,6.81530,7.01250,5.02810,0.28210,44.59610,13.30460,6.76460,4.30270,4.35960,1.41860,4.30270,60.63870,6.6564,3.7316
2019-09-30,1.50590,,20.79420,8.23690,8.23690,8.55110,7.02300,0.28430,46.57570,26.32940,3.41820,6.07610,6.15940,1.99640,6.07610,58.35930,8.2286,4.8637
2019-06-30,1.51820,,20.89360,8.36820,8.36820,8.64340,6.34680,0.30780,53.65920,29.05540,3.09750,5.91840,6.00400,1.95370,5.91840,55.47720,4.1255,1.392
2019-03-31,1.44030,,20.98240,8.42070,8.42070,8.65990,6.73680,0.28280,55.04380,26.30900,3.42090,5.93960,6.02880,1.90540,5.93960,53.52420,6.49340,4.20920
2018-12-31,1.81070,,17.00400,3.23350,3.23350,3.54840,2.61370,0.54070,47.17010,19.66010,4.57780,2.22150,2.25580,1.41330,2.22150,52.03950,4.65,1.8675
2018-09-30,1.96900,,18.67340,4.73390,4.73390,4.93740,3.11870,0.54910,54.48490,25.22410,3.56800,2.66070,2.70200,1.71250,2.66070,51.66370,7.0033,4.1081
2018-06-30,2.02910,,19.71060,5.36570,5.36570,5.54910,3.70180,0.59500,48.76890,22.60190,3.98200,3.36810,3.42200,2.20260,3.36810,50.05060,3.3796,0.8375
