,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.36860,1.20340,45.18740,34.65050,0.01160,7.31150,6.75550,0.40980,4.26570,39.55960,4.4864,4.3093
2022-09-30,0.37300,0.69520,47.54440,35.84120,0.01140,7.50800,6.92440,0.41710,4.34140,38.71800,2.9773,2.8485
2022-06-30,0.29010,0.40870,41.14770,31.13550,0.00940,4.32050,4.05590,0.30040,2.87920,49.20590,2.6716,2.4889
2022-03-31,0.27600,0.38120,33.47400,25.59780,0.00800,2.84550,2.68620,0.21200,1.94480,53.82130,-5.33830,-5.46620
2021-12-31,0.26150,0.35410,37.29030,28.51610,0.00820,3.03880,2.88720,0.24100,2.13220,60.42640,3.0978,2.9601
2021-09-30,0.26660,0.36360,41.65620,31.99500,0.00840,3.53620,3.35770,0.27720,2.46240,59.56220,1.5082,1.3886
2021-06-30,0.26460,0.35990,47.62440,36.31220,0.01000,4.35190,4.13570,0.37120,3.04130,59.22330,-1.106,-1.2319
2021-03-31,0.25920,0.34990,50.05590,38.32400,0.01040,4.51150,4.29340,0.40560,3.18070,58.40170,1.12770,1.00000
2020-12-31,0.41570,0.71160,38.08260,28.62850,0.00850,2.88660,2.74530,0.25080,1.60400,57.84420,1.4857,1.2857
2020-09-30,0.42220,0.73200,37.87230,29.64540,0.00840,2.90110,2.75590,0.25950,1.59230,56.61940,-0.2096,-0.3653
2020-06-30,0.45530,0.93220,25.17240,20.17240,0.00690,1.59310,1.51240,0.13980,0.82380,56.11340,0.3951,0.2928
2020-03-31,0.50110,1.31010,-23.00890,-17.40410,0.00440,-0.79710,-0.79710,-0.07730,-0.39770,53.23760,4.95740,4.85110
2019-12-31,0.49800,1.00180,44.51370,33.79050,0.01090,3.72590,3.72590,0.37190,1.87040,51.56370,1.3469,1.1963
2019-09-30,0.50380,1.02250,46.09670,35.93560,0.01110,4.05560,4.05560,0.40080,2.01230,49.95280,3.0938,2.8645
2019-06-30,0.47240,1.13220,47.58960,36.71200,0.01120,4.06940,4.06940,0.41080,2.14680,48.88620,2.5278,2.4382
2019-03-31,0.48030,1.05050,49.47490,39.32320,0.01210,4.57550,4.57550,0.47960,2.37780,47.67140,0.25000,0.15000
2018-12-31,0.46260,0.86680,47.16980,36.32080,0.01200,4.12950,4.12950,0.43770,2.21900,46.89410,3.7621,3.6181
2018-09-30,0.45180,0.83510,45.73830,37.93520,0.01170,4.08430,4.08430,0.44510,2.23880,46.92030,2.1595,2.0128
2018-06-30,0.40870,0.69820,48.32760,37.37020,0.01200,4.03520,4.03520,0.45290,2.38620,47.27050,1.483,1.3617
2018-03-31,0.41150,0.70530,42.89370,35.72340,0.01080,3.51250,3.51250,0.38850,2.06710,46.38380,2.04570,1.93140
2017-12-31,0.36730,0.58170,40.59040,13.77610,0.01140,1.40650,1.40650,0.15650,0.88990,46.06670,1.2932,1.1486
2017-09-30,0.36600,0.64050,41.90720,28.10540,0.01110,2.81300,2.81300,0.31380,1.78360,46.09290,1.171,1.0789
2017-06-30,0.39180,0.71180,39.78920,26.61400,0.01060,2.96610,2.54230,0.28410,1.54630,45.39180,1.3869,1.3026
2017-03-31,0.39390,0.65500,36.96550,27.58620,0.00990,2.54730,2.54730,0.27680,1.54400,44.69320,2.24440,2.17780
2016-12-31,0.39830,0.66510,32.89670,23.72640,0.00940,2.10360,2.10360,0.22470,1.26580,44.46880,0.4617,0.3283
2016-09-30,0.43250,0.76380,30.17000,20.96320,0.00950,1.92830,1.92830,0.20100,1.09420,44.90670,0.9056,0.8073
