,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,3.03410,0.25040,0.33410,100.00000,35.39780,35.39780,39.22520,32.61420,0.03730,1.28270,70.16700,3.64990,37.74270,1.17910,2.73580,247.83000,11.6028,10.7029
2022-06-30,3.64280,0.27220,0.37400,100.00000,36.85370,36.85370,29.18690,23.79590,0.03590,1.30390,69.02120,2.58860,27.68040,0.76450,1.88400,246.42630,10.7708,10.0032
2022-03-31,4.32990,0.27850,0.38600,100.00000,37.53990,37.53990,34.60310,30.55970,0.03280,1.23630,72.80060,3.62540,35.56890,0.95100,2.61570,247.78880,-2.74860,-3.70610
2021-12-31,3.01560,0.27760,0.38430,100.00000,39.93340,39.93340,41.32390,32.17780,0.03340,1.34760,66.78610,4.31680,40.77960,1.06910,3.11850,249.24180,12.4031,11.588
2021-09-30,3.03770,0.35790,0.55730,100.00000,38.31680,38.31680,44.97030,33.28710,0.02980,1.25780,71.55450,4.74690,56.67640,1.03340,3.04820,242.97310,11.5033,11.2626
2021-06-30,1.08190,0.30910,0.62690,100.00000,40.06220,40.06220,45.66390,28.58920,0.02720,1.27180,70.76760,4.27960,68.08980,0.87420,2.95690,237.34920,11.8278,10.9862
2021-03-31,4.43990,0.39300,0.64760,100.00000,35.12960,35.12960,36.17550,27.26240,0.02530,1.14980,78.27420,3.59310,81.34190,0.73220,2.18080,232.11440,-3.71350,-4.02460
2020-12-31,3.45870,0.40220,0.67280,100.00000,41.26840,41.26840,48.39210,34.56900,0.02530,1.26680,71.04730,4.92440,69.04760,0.98320,2.94390,231.64820,12.7058,12.3632
2020-09-30,1.01500,0.30850,0.65910,100.00000,40.21520,40.21520,45.34220,31.22000,0.02650,1.17890,76.34240,4.47070,139.43010,0.91870,3.09160,222.51020,6.5033,6.239
2020-06-30,4.02090,0.39670,0.65750,100.00000,38.54170,38.54170,48.32790,33.27850,0.02320,1.22010,73.76650,4.27620,-1611.49400,0.89110,2.57990,215.04620,10.9673,10.6534
2020-03-31,4.07660,0.38510,0.62620,100.00000,18.43670,18.43670,16.52290,21.72510,0.02490,1.19870,75.08090,1.89600,375.44910,0.42070,1.16590,214.37470,-5.99680,-6.32920
2019-12-31,2.48390,0.37790,0.60750,100.00000,38.67240,38.67240,41.08620,32.71310,0.02360,1.25100,71.94120,3.96870,195.60120,0.79110,2.46880,217.73490,7.9097,7.3194
2019-09-30,2.32570,0.43320,0.76440,100.00000,40.68260,40.68260,39.54500,30.30880,0.02250,1.22010,73.76490,3.44660,-227.43900,0.68290,1.95340,210.34670,5.9485,5.5972
2019-06-30,2.92400,0.43450,0.76850,100.00000,36.26560,36.26560,37.88310,28.46200,0.02160,1.23090,73.11860,3.17060,-97.59150,0.62020,1.79290,206.73770,5.8696,5.5621
2019-03-31,3.49460,0.45220,0.82560,100.00000,36.85000,36.85000,40.58580,31.47040,0.02030,1.20750,74.53380,3.37990,7571.42900,0.64240,1.85140,202.99030,-1.41200,-1.77600
2018-12-31,2.78810,0.44150,0.79040,100.00000,36.28420,36.28420,34.18750,26.99480,0.02150,1.29240,69.63600,2.85820,86.79780,0.58090,1.59640,205.85390,3.1737,2.5832
2018-09-30,3.07300,0.43110,0.75790,100.00000,39.03800,39.03800,39.96090,34.00450,0.02050,1.33330,67.50000,3.70500,110.36700,0.68800,2.10760,204.42250,7.8773,7.5966
2018-06-30,3.86960,0.46900,0.88310,100.00000,39.94450,39.94450,39.27880,29.76420,0.01840,1.40440,64.08600,3.34950,67.29090,0.55130,1.77870,201.38540,8.802,8.616
2018-03-31,3.96470,0.50530,1.02140,100.00000,38.37570,38.37570,37.92910,30.39350,0.01660,1.33840,67.24250,3.41640,76.66430,0.50640,1.69010,199.75250,-0.86550,-1.06800
2017-12-31,1.16920,0.43170,0.91700,100.00000,39.45270,39.45270,39.47930,60.97240,0.01710,1.39460,64.53510,7.22490,185.71430,1.04480,4.10610,199.07850,8.5154,8.1832
2017-09-30,2.88730,0.52110,1.08810,100.00000,39.59520,39.59520,39.88030,26.90990,0.01590,1.10210,81.66190,3.17640,-180.71830,0.43340,1.52120,187.48750,8.3206,8.0451
2017-06-30,3.22030,0.51570,1.06480,100.00000,38.22620,38.22620,38.25710,26.39060,0.01490,1.08450,82.99140,2.91730,-85.88470,0.39730,1.41290,183.79330,8.1834,7.9636
2017-03-31,3.26510,0.55120,1.22800,100.00000,36.96640,36.96640,36.74000,27.78140,0.01340,0.95820,93.92950,2.97200,-69.71890,0.37640,1.33390,180.50800,-0.99480,-1.11010
2016-12-31,3.00360,0.53040,1.12940,100.00000,30.53050,30.53050,29.57960,21.19620,0.01810,1.88940,47.63510,2.90570,-63.63640,0.38470,1.36450,180.45740,7.8589,7.6738
2016-09-30,2.89810,0.54770,1.21100,100.00000,42.61540,42.61540,42.65070,30.84240,0.01250,1.09070,82.51320,3.02820,-56.58070,0.38680,1.36960,178.47280,6.3743,6.2471
2016-06-30,3.03170,0.55600,1.25220,100.00000,41.83310,41.83310,40.94150,28.13840,0.01260,0.97190,92.59990,2.77630,-41.73230,0.35800,1.23270,175.80860,2.7871,2.5642
2016-03-31,3.69960,0.55530,1.24850,100.00000,36.69970,36.69970,34.87040,25.03810,0.01180,1.03880,86.63870,2.27260,-32.39860,0.29020,1.01070,174.02950,-3.37520,-3.55440
2015-12-31,2.78640,0.55930,1.26890,100.00000,39.71360,39.71360,40.09780,30.07340,0.01270,1.27980,70.32130,3.04060,-45.37860,0.38580,1.34010,174.84290,6.8204,6.4616
2015-09-30,2.85500,0.55870,1.26610,100.00000,41.99310,41.99310,40.34360,28.96910,0.01310,1.14480,78.61860,2.94800,-39.58140,0.37440,1.30090,172.17340,8.0178,7.8615
2015-06-30,3.02270,0.57290,1.34130,100.00000,42.61620,42.61620,41.20480,28.19280,0.01230,1.23780,72.71260,2.96350,-33.14610,0.34850,1.26580,169.69870,5.9319,5.717
2015-03-31,3.08920,0.61700,1.61120,100.00000,39.18470,39.18470,39.77230,30.18730,0.01120,0.96020,93.73490,3.00260,-28.17620,0.33990,1.14990,166.57170,-2.99900,-3.57640
2014-12-31,2.80030,0.60420,1.52680,100.00000,41.09200,41.09200,38.93680,29.20260,0.01160,1.31320,68.53450,2.93250,-28.58160,0.33610,1.16050,166.79110,7.4072,7.2557
2014-09-30,2.77240,0.52240,1.09390,100.00000,40.61070,40.61070,38.78550,32.18670,0.01280,1.08290,83.11340,3.20540,-28.07980,0.39180,1.53090,164.58680,7.5252,7.4897
2014-06-30,2.24470,0.54750,1.20990,100.00000,40.38880,40.38880,40.96470,29.08570,0.01200,0.66030,136.29590,3.11260,-24.95550,0.36300,1.40850,162.54180,4.3065,4.1951
2014-03-31,3.26460,0.49360,0.97480,100.00000,39.36330,39.36330,40.00000,28.31460,0.01230,0.93100,96.67420,2.79560,-19.47130,0.34400,1.41570,159.35640,-1.19810,-1.28540
2013-12-31,2.40130,0.52230,1.09320,100.00000,40.79940,40.79940,41.66370,30.28450,0.01260,1.23590,72.82320,3.19360,-21.99220,0.38660,1.52570,159.77040,6.6701,6.4755
2013-09-30,1.80680,0.52560,1.10800,100.00000,39.07770,39.07770,38.34950,29.53080,0.01160,0.57340,156.95390,2.78830,-16.92990,0.34270,1.32270,156.29670,6.6323,6.5507
2013-06-30,2.72280,0.50720,1.02930,100.00000,34.20630,34.20630,36.98630,29.37150,0.01280,1.10360,81.55120,2.74120,-15.80830,0.36440,1.35080,153.16680,6.5608,6.3994
2013-03-31,3.03230,0.53050,1.12980,100.00000,37.11720,37.11720,38.79130,25.80650,0.01220,0.93540,96.21070,2.59840,-14.36890,0.33180,1.22000,151.69240,1.08840,0.98530
2012-12-31,2.64730,0.54870,1.21990,100.00000,39.58250,39.58250,36.94370,27.17610,0.01270,1.12840,79.75580,2.54060,-13.75080,0.32430,1.14650,151.50260,1.8335,1.6805
2012-09-30,2.54150,0.54770,1.21500,100.00000,37.71550,37.71550,39.00860,27.67240,0.01200,0.94160,95.58620,2.59290,-12.87090,0.33970,1.17270,151.17020,5.933,5.7891
