,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,1.04480,0.45640,0.85590,15.97980,12.95830,12.95830,12.56400,9.54620,0.15630,0.42010,214.24690,7.44840,-12.13940,1.52590,4.04900,8.71680,0.1539,0.0355
2022-06-30,1.03520,0.45440,0.84620,15.91910,12.76090,12.76090,11.50710,8.39270,0.15860,0.43790,205.54560,6.64370,-10.70180,1.34380,3.62470,8.80170,-0.2352,-0.3404
2022-03-31,1.03530,0.45040,0.83630,13.21390,9.56590,9.56590,8.17210,6.20600,0.14360,0.40540,221.98480,4.53390,-7.39500,0.89980,2.49190,8.95940,-1.59040,-1.66740
2021-12-31,1.03140,0.44760,0.82380,19.70940,15.59640,15.59640,14.77780,12.20630,0.14730,0.38970,230.97470,10.25300,-16.98200,1.84840,5.66350,9.10270,3.6875,3.506
2021-09-30,1.00930,0.47450,1.07190,17.68690,13.82770,13.82770,12.52160,9.43750,0.14280,0.41050,219.26080,7.59320,-9.54430,1.37370,3.99050,8.18420,0.9749,0.8219
2021-06-30,0.99840,0.48310,1.11460,19.27400,15.31720,15.31720,14.10980,10.49170,0.14490,0.42270,212.91440,8.60730,-9.82500,1.54600,4.44910,7.90670,1.1782,1.094
2021-03-31,0.97320,0.49870,1.18180,15.13960,10.76650,10.76650,5.15730,4.06290,0.13800,0.42720,210.66460,3.16270,-3.15760,0.56510,1.58530,7.43030,-0.63080,-0.70230
2020-12-31,0.97780,0.49760,1.17750,22.48630,8.76080,8.76080,6.80780,4.40390,0.14130,0.39430,228.25060,3.97430,-3.98610,0.64850,1.99670,7.53110,3.8726,3.7309
2020-09-30,1.00780,0.55270,1.43600,17.72760,11.69610,11.69610,9.06140,13.15930,0.13220,0.41560,216.56740,10.08840,-9.08910,1.73250,4.51240,7.08390,1.7606,1.6609
2020-06-30,0.97610,0.57800,1.59230,11.36890,1.99930,1.99930,-1.22920,-2.25110,0.13600,0.43940,204.83140,-1.76230,1.32250,-0.29470,-0.74370,6.39400,-0.2279,-0.2986
2020-03-31,0.97440,0.56980,1.64010,7.25060,3.21640,3.21640,0.84750,0.19920,0.14360,0.42320,212.64300,0.10100,-0.08020,0.01580,0.04340,6.61160,-0.70740,-0.82130
2019-12-31,0.93100,0.49520,1.17720,20.02900,16.93090,16.93090,14.74260,11.33430,0.16350,0.40620,221.55110,12.11070,-11.09920,1.92770,6.11340,7.30130,2.8278,2.6619
