,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.36770,1.28160,35.12610,26.05040,0.00960,3.37900,4.92960,0.27780,2.13660,114.24440,9.7607,9.7607
2022-09-30,0.34450,1.16930,38.20650,29.20120,0.00950,3.51000,5.04150,0.29310,2.30080,115.65100,8.3168,8.3168
2022-06-30,0.35270,0.75460,36.14170,27.59840,0.00940,3.13710,4.37890,0.27660,2.03060,116.02920,6.3234,6.3234
2022-03-31,0.35060,0.53990,35.26530,27.77550,0.00910,2.90350,3.95930,0.26400,1.88550,118.59280,-2.35480,-2.35480
2021-12-31,0.35580,0.55240,30.49140,22.11220,0.00980,2.34360,3.03780,0.23440,1.50970,132.68100,8.2019,8.2019
2021-09-30,0.37290,0.59450,33.57410,26.07410,0.00980,2.64670,3.41910,0.26920,1.65980,133.08980,3.5919,3.5919
2021-06-30,0.38900,0.63660,30.12600,23.75720,0.00790,2.01700,2.63030,0.19900,1.23240,128.67060,3.3095,3.3095
2021-03-31,0.36920,0.61300,46.04910,36.84760,0.01010,3.38910,4.25820,0.38490,2.13790,126.77410,1.83100,1.83100
2020-12-31,0.38400,0.68830,39.30970,-71.15640,0.00960,2.69430,3.34210,0.31200,1.65950,127.45520,4.5166,4.5166
2020-09-30,0.40710,0.78990,40.15130,34.40530,0.00920,2.87380,3.56580,0.33170,1.70370,125.73110,0.9226,0.9226
2020-06-30,0.42120,0.88820,-55.92060,222.69060,0.00350,-1.40520,-1.74450,-0.16210,-0.81330,124.58350,7.0904,7.0904
2020-03-31,0.50310,1.48910,25.68670,24.66390,0.00770,1.53990,1.94740,0.17040,0.76510,116.25000,-1.61860,-1.61860
2019-12-31,0.47090,1.22130,28.72260,12.02580,0.00940,1.93340,2.48010,0.23250,1.02290,113.69360,6.8892,6.8892
2019-09-30,0.39740,1.10250,35.37820,32.39710,0.00990,2.38800,3.04860,0.28880,1.43890,112.65380,1.4842,1.4842
2019-06-30,0.40130,1.26520,35.29120,32.36680,0.00990,2.39970,3.07530,0.29200,1.43670,110.47200,4.9895,4.9895
2019-03-31,0.44760,1.23230,37.07590,29.21650,0.01040,2.61660,3.38530,0.32350,1.44540,107.46680,3.07240,3.07240
2018-12-31,0.39290,1.09720,20.70770,39.41540,0.00850,1.17860,1.53960,0.14730,0.71550,104.52950,4.4689,4.4689
2018-09-30,0.40780,1.11410,38.90840,31.03770,0.01120,2.97230,3.91630,0.36830,1.76010,101.95240,2.5955,2.5955
2018-06-30,0.40800,1.15830,39.11400,30.39590,0.01110,2.88660,3.79700,0.35620,1.70880,101.02150,3.4778,3.4778
2018-03-31,0.41880,1.13600,37.12370,28.98730,0.01060,2.63420,3.45720,0.32680,1.53100,100.07450,6.13870,6.13870
2017-12-31,0.41140,1.14110,25.97340,48.60940,0.01090,4.39420,5.71620,0.54920,2.58640,100.60250,1.7175,1.7175
2017-09-30,0.44350,1.23920,38.52320,26.28290,0.01060,2.42400,3.17760,0.30010,1.34890,97.58820,5.2127,5.2127
2017-06-30,0.44720,1.22130,37.43060,25.89600,0.01060,2.37520,3.12050,0.29470,1.31300,96.21880,1.3175,1.3175
2017-03-31,0.40030,1.09320,36.72290,25.47420,0.01020,2.33970,3.07450,0.28950,1.40320,94.64540,3.23170,3.23170
2016-12-31,0.39800,1.03580,35.88130,25.42690,0.01040,2.23460,2.90890,0.28580,1.34520,96.60620,2.373,2.373
2016-09-30,0.41520,1.10020,36.02350,24.69270,0.01010,2.31860,2.78320,0.27240,1.25590,95.99390,3.1141,3.1141
2016-06-30,0.42770,1.16860,35.64220,25.00680,0.01010,2.28700,2.74380,0.27370,1.21210,94.72410,0.9685,0.9685
2016-03-31,0.41320,1.16940,35.06970,24.28120,0.00970,2.19940,2.65270,0.26120,1.19440,92.84170,0.54440,0.54440
2015-12-31,0.39370,1.08660,36.59700,25.08600,0.01050,2.22270,2.89620,0.28510,1.34770,91.23020,3.6181,3.6181
2015-09-30,0.40730,1.22440,36.32920,26.82730,0.01020,2.50540,3.03960,0.29630,1.37430,90.74120,3.8322,3.8322
2015-06-30,0.40260,1.26930,38.06280,25.96860,0.01080,2.45860,2.99860,0.29500,1.35850,88.97680,2.6628,2.6628
2015-03-31,0.38450,1.22380,36.11640,25.37400,0.01050,2.36290,2.82510,0.28610,1.33080,89.30390,0.49150,0.49150
2014-12-31,0.38020,1.23210,34.81390,25.16050,0.01130,2.50900,3.00910,0.30630,1.42200,88.09560,1.8715,1.8715
2014-09-30,0.37460,1.13770,37.74430,25.43580,0.01130,2.46850,2.97190,0.31040,1.41140,87.11170,2.0911,2.0911
2014-06-30,0.36140,1.07150,37.72070,26.77900,0.01140,2.51380,3.02980,0.32160,1.46710,86.07710,2.8756,2.8756
2014-03-31,0.35520,1.04200,38.52840,26.93460,0.01140,2.58690,3.14270,0.32770,1.52170,84.11610,3.56220,3.56220
2013-12-31,0.35190,1.04700,36.51520,25.07580,0.01240,2.67860,3.27970,0.33540,1.58070,82.62100,-0.5995,-0.5995
2013-09-30,0.33570,0.94050,36.71690,25.24450,0.01230,2.64400,3.25810,0.33310,1.59490,80.48870,7.6589,7.6589
2013-06-30,0.33020,0.95050,38.44380,27.07960,0.01280,2.93410,3.63040,0.36630,1.78060,78.98490,1.4656,1.4656
2013-03-31,0.33510,0.89470,36.32700,24.95290,0.01240,2.58530,3.20120,0.33080,1.57220,79.54250,1.91670,1.91670
2012-12-31,0.32040,0.97950,27.13940,17.14210,0.01230,1.86510,2.30450,0.23340,1.15860,79.10040,2.2363,2.2363
2012-09-30,0.30740,1.03110,31.34720,22.69430,0.01280,2.41870,2.99730,0.30750,1.53260,79.02080,3.439,3.439
2012-06-30,0.41970,1.08640,21.35430,15.59250,0.01120,1.47190,1.86650,0.18230,0.78790,76.01890,1.9486,1.9486
2012-03-31,0.42920,1.11250,30.78660,21.48290,0.01200,2.21600,2.99840,0.27410,1.21070,72.41670,5.24760,5.24760
2011-12-31,0.37640,0.98540,19.05330,13.66480,0.01240,1.38450,1.81910,0.18180,0.82540,70.67550,2.7529,2.7529
2011-09-30,0.42010,0.94250,34.81570,25.03810,0.01220,2.34230,3.07910,0.30950,1.29860,70.80230,1.6863,1.6863
2011-06-30,0.43030,1.00870,34.49730,26.61050,0.01260,2.66470,3.75630,0.34660,1.48980,66.29850,5.6483,5.6483
2011-03-31,0.43440,1.03790,35.51400,25.95020,0.01240,2.51590,3.62480,0.32080,1.39560,64.10080,1.38210,1.38210
2010-12-31,0.47150,1.20250,32.38950,23.05690,0.01310,2.54730,3.71290,0.31030,1.31960,62.42970,0.8165,0.8165
2010-09-30,0.46150,1.21730,30.65550,35.15420,0.01200,2.42040,3.49920,0.29790,1.27760,62.10270,0.3367,0.3367
2010-06-30,0.48010,1.30450,35.18940,25.44510,0.01180,2.57380,4.14280,0.29840,1.31020,59.02860,3.5566,3.5566
2010-03-31,0.48970,1.44260,29.84730,11.05580,0.01130,2.25090,3.87560,0.24420,1.12340,55.95820,4.54400,4.54400
2009-12-31,0.42930,1.20550,42.42900,26.34870,0.01420,4.48500,5.61090,0.40870,1.93270,70.49130,7.1603,7.1603
2009-09-30,0.45050,1.32360,24.66830,15.88980,0.01080,2.27820,2.85280,0.19900,0.93710,68.68330,2.5058,2.5058
2009-06-30,0.46860,1.51630,8.24740,2.39320,0.00970,0.90610,1.17630,0.06970,0.35170,63.91970,1.0206,1.0206
2009-03-31,0.48220,1.69110,23.09340,16.39340,0.00980,2.50930,3.15570,0.18160,0.93960,64.39550,1.95950,1.95950
