,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2018-10-31,1.00460,0.72830,2.88780,30.87570,5.49530,5.49530,4.61670,3.60610,0.47440,0.97360,11.66110,15.25960,1.71330,3.16810,6.69230,1.3145,0.9583
2018-07-31,1.06190,0.72100,2.73850,32.96150,10.35520,10.35520,9.62270,7.25300,0.56290,1.17820,26.29300,33.70290,4.09650,7.33660,7.12820,2.958,2.5929
2018-04-30,1.01640,0.72240,2.75790,33.11060,8.43890,8.43890,7.51730,5.67400,0.45400,0.87940,17.19760,22.16740,2.58390,4.77460,6.98910,4.15130,3.88620
2018-01-31,1.05590,0.72600,2.89380,27.43640,7.08660,7.08660,6.09910,3.56910,0.43900,0.98680,9.43300,12.13320,1.56980,2.58430,7.07590,-0.4269,-0.7897
2017-10-31,1.01970,0.73060,2.79310,34.06680,9.22480,9.22480,8.27070,5.18780,0.45590,0.89220,15.18640,19.75090,2.37070,4.09160,6.90970,0.4306,0.0634
2017-07-31,1.02990,0.74040,2.90530,34.21390,12.21850,12.21850,11.40290,7.24800,0.53170,1.12430,25.63220,33.14650,3.86990,6.65450,6.61410,2.1858,1.8608
2017-04-30,1.04020,0.74030,2.90450,34.40100,9.24670,9.24670,5.53970,3.55870,0.44820,0.90260,10.88410,13.52810,1.60050,2.82620,6.48420,3.84030,3.61190
2017-01-31,1.00220,0.69110,2.44000,29.40950,8.04610,8.04610,7.03240,4.09280,0.45870,1.06540,10.30460,12.38790,1.92690,3.18320,7.42960,0.3471,-0.0293
2016-10-31,1.00750,0.68210,2.26520,34.35420,5.96610,5.96610,4.93040,2.38900,0.44500,0.94010,5.65000,6.67960,1.07150,1.79600,7.68380,0.7992,0.4275
2016-07-31,1.01270,0.67550,2.25160,34.43590,11.23220,11.23220,10.32310,6.36360,0.50070,1.12900,16.61920,19.62000,3.19980,5.39280,7.97050,1.6476,1.3323
2016-04-30,1.16660,0.66510,2.13600,35.03350,10.41090,10.41090,9.38690,5.77660,0.40980,0.89530,12.25740,12.52480,2.37780,4.10510,8.06710,3.58180,3.36260
2016-01-31,1.00660,0.60130,1.65260,34.65290,6.39870,3.31650,2.22860,0.07550,0.42340,0.91460,0.14370,0.14670,0.03520,0.05730,8.41100,0.2137,-0.1524
2015-10-31,0.99820,0.57920,1.50250,34.74930,8.26600,9.24790,8.26600,5.10450,0.42680,0.89800,8.78490,8.94940,2.18760,3.69700,9.13630,0.4729,0.2014
2015-07-31,0.91550,0.54330,1.30660,34.47660,10.60070,11.36730,10.60070,6.46180,0.52990,1.17140,12.96190,13.19580,3.43960,5.91920,9.36100,1.8601,1.5111
2015-04-30,0.96650,0.52140,1.19760,35.47310,7.77130,8.71970,7.77130,4.74200,0.41170,0.85900,7.10140,7.10140,1.96120,3.39880,10.00740,2.60290,2.36240
2015-01-31,1.05380,0.52020,1.13940,34.66510,9.59330,6.53110,5.47850,3.56460,0.39530,0.91940,4.51440,4.51440,1.41860,2.16620,10.38330,0.1992,-0.0831
2014-10-31,1.12270,0.50180,1.05840,34.48580,6.97320,7.95260,6.97320,4.25410,0.40200,0.91820,5.45200,5.45200,1.71900,2.71640,11.01640,0.8408,0.6482
2014-07-31,1.10610,0.47240,0.90010,34.55030,10.19940,10.95850,10.19940,6.22330,0.50090,1.16630,9.24380,9.24380,3.13550,4.87720,11.34210,1.9781,1.7917
2014-04-30,1.10520,0.46750,0.88200,35.49950,7.02830,7.95340,7.02830,4.62580,0.39160,0.82220,5.43460,5.43460,1.82300,2.89400,11.34590,1.96070,1.78560
2014-01-31,1.16000,0.45970,0.88760,34.67110,4.28780,5.38550,4.28780,2.59840,0.35630,0.83470,2.58160,2.58160,0.93490,1.39480,11.50780,0.1959,-0.0969
2013-10-31,1.20870,0.44370,0.80160,34.58360,6.16660,7.13130,6.16660,3.82030,0.38020,0.88360,3.94440,3.94440,1.46430,2.19430,12.04860,0.5364,0.322
2013-07-31,1.16840,0.40830,0.69380,34.35170,9.58560,10.28580,9.58560,5.95120,0.47030,1.13270,7.20410,7.20410,2.81670,4.26240,12.28790,1.3148,1.1811
2013-04-30,1.15090,0.40520,0.68470,34.80290,6.63200,7.49540,6.63200,4.10300,0.37680,0.83050,4.07490,4.07490,1.55480,2.42390,12.18020,1.82750,1.65320
2013-01-31,1.26930,0.39450,0.65500,34.27490,4.11910,5.11500,4.11910,2.58920,0.33810,0.84420,2.08560,2.08560,0.88470,1.26270,12.48380,0.1557,-0.0362
2012-10-31,1.25730,0.38760,0.63610,34.31620,5.25970,6.20390,5.25970,3.25520,0.35560,0.88160,2.78380,2.78380,1.16630,1.70480,12.66700,0.6975,0.4455
2012-07-31,1.28560,0.37800,0.64770,33.92520,8.40060,9.07430,8.40060,5.20740,0.40670,1.08230,5.03910,5.03910,2.13230,3.13440,12.86810,0.3702,0.1307
2012-04-30,1.23940,0.37230,0.63220,34.69930,6.46240,7.24550,6.46240,3.98390,0.35350,0.87770,3.46640,3.46640,1.41640,2.17580,12.80790,2.04220,1.78730
2012-01-31,1.27640,0.29850,0.46130,34.21050,4.17100,5.04820,4.17100,2.75200,0.34650,0.91560,1.95370,1.95370,0.96250,1.37050,13.32230,0.3077,-0.0994
2011-10-31,1.13840,0.26390,0.39350,34.06180,2.97000,3.73780,2.97000,1.88150,0.35000,0.86930,1.33860,1.33860,0.66440,0.98540,13.34050,0.5319,0.1378
2011-07-31,1.17180,0.28170,0.39450,34.49080,9.13840,9.75730,9.13840,5.65910,0.42720,1.07950,4.94670,4.94670,2.43800,3.55310,13.31670,0.7522,0.3894
2011-04-30,1.20680,0.27250,0.37670,35.44520,6.07300,6.79520,6.07300,3.75870,0.33960,0.81420,2.64050,2.64050,1.28470,1.92110,13.24660,1.82450,1.59260
2011-01-31,1.40010,0.26520,0.36290,35.56640,4.35160,5.17220,4.35160,2.70060,0.31100,0.81140,1.57350,1.57350,0.84570,1.15620,13.37670,-0.0081,-0.2277
2010-10-31,1.33630,0.22670,0.29510,35.04790,5.61840,6.30880,5.61840,3.45210,0.33740,0.88100,2.13850,2.13850,1.17640,1.65360,13.55240,0.7931,0.5082
2010-07-31,1.39130,0.22360,0.28990,34.85830,9.29600,9.88090,9.29600,5.74470,0.41470,1.08110,4.33040,4.33040,2.40230,3.36220,13.50180,0.0618,-0.1702
2010-04-30,1.25860,0.22530,0.31900,35.17920,6.34490,7.00680,6.34490,3.91510,0.33110,0.81120,2.57110,2.57110,1.30700,1.99190,13.18020,1.89870,1.70580
2010-01-31,1.32320,0.19190,0.26640,34.94940,3.15670,3.70730,3.15670,2.00610,0.30810,0.80190,1.06980,1.06980,0.61810,0.86450,13.06990,-0.2037,-0.4692
2009-10-31,1.22880,0.18890,0.26140,34.19780,4.64180,5.31870,4.64180,2.99780,0.33120,0.88850,1.77150,1.77150,1.00150,1.43670,13.14760,0.438,0.1753
2009-07-31,1.18610,0.19060,0.26470,34.83820,8.78360,9.33260,8.78360,5.43920,0.40570,1.10160,3.95810,3.95810,2.22440,3.20370,12.98310,0.933,0.6279
2009-04-30,1.20680,0.21410,0.27530,35.46320,6.42330,7.08250,6.42330,3.98920,0.34650,0.84720,2.58180,2.58180,1.39390,2.02900,12.50810,1.60180,1.21860
2009-01-31,1.21560,0.21820,0.33560,33.73400,2.59420,3.29530,2.59420,1.61260,0.30600,0.80590,0.89730,0.89730,0.49660,0.70150,12.28230,2.8291,0.6074
