,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,0.06950,0.71730,38.19770,27.23600,0.00720,3.29970,2.63310,0.21700,2.41870,93.59550,0.605,0.349
2022-06-30,0.07220,0.74750,38.22730,26.52230,0.00750,3.38470,2.67190,0.21880,2.44580,91.20030,0.586,0.3136
2022-03-31,0.09920,0.33910,37.51800,26.26260,0.00740,3.20260,2.51680,0.21430,2.23620,,0.05490,-0.24730
2021-12-31,0.10050,0.34450,35.51750,27.40130,0.00740,3.26130,2.55170,0.22090,2.26310,88.58160,5.45,5.1167
2021-09-30,0.10720,0.64020,37.11580,27.18680,0.00740,3.10680,2.53800,0.21440,2.23190,82.57120,3.0043,2.7404
2021-06-30,0.11800,0.81170,37.18050,28.85410,0.00750,3.35060,2.85820,0.23080,2.47830,75.10790,0.8787,0.6358
2021-03-31,0.12060,0.94890,37.30440,27.47830,0.00740,3.10210,2.63450,0.21500,2.27630,73.41280,-2.64410,-2.90400
2020-12-31,0.13120,1.15130,36.27470,26.68900,0.00730,2.89450,2.56360,0.20730,2.18420,67.48640,0.6493,0.3712
2020-09-30,0.13520,1.34720,37.47360,28.61250,0.00730,3.02220,2.63720,0.22000,2.23450,65.88500,0.4269,0.2393
2020-06-30,0.14360,1.62470,35.86200,27.25090,0.00690,2.72260,2.48210,0.20010,2.07920,61.45440,0.6473,0.4777
2020-03-31,0.14610,1.73970,31.83260,24.08810,0.00690,2.37320,2.15950,0.17650,1.80250,60.44380,1.34590,1.11990
2019-12-31,0.11460,1.44910,35.60970,27.14100,0.00750,2.82560,2.55830,0.21160,2.21090,58.42160,-5.1186,-5.3922
2019-09-30,0.11910,1.37310,34.92230,27.06430,0.00740,2.76570,2.57480,0.21150,2.19350,55.98820,6.937,6.6368
2019-06-30,0.12150,1.20120,33.74220,26.28190,0.00760,2.68810,2.50000,0.21060,2.12080,54.82140,2.287,2.0718
2019-03-31,0.15620,1.06950,33.83240,26.95610,0.00780,2.79540,2.59770,0.22250,2.11360,54.04040,1.41810,1.21890
2018-12-31,0.16170,1.20700,36.53980,27.38970,0.00790,2.99080,2.75370,0.23330,2.23560,52.62390,-0.2151,-0.4238
2018-09-30,0.16180,1.31230,35.48370,26.18440,0.00780,2.83720,2.56320,0.22220,2.06520,52.60160,4.8281,4.609
2018-06-30,0.16810,1.44070,34.79670,27.26730,0.00770,2.93980,2.64460,0.22350,2.10860,50.88590,0.4665,0.2454
2018-03-31,0.17590,1.29810,34.79210,26.39800,0.00780,2.84550,2.65880,0.22070,2.09370,48.41460,1.63020,1.47070
2017-12-31,0.17620,1.28820,34.68220,26.38920,0.00780,2.84520,2.60360,0.22130,2.04720,48.35190,1.353,1.0973
2017-09-30,0.57310,1.40300,36.62890,28.13460,0.00780,3.10670,2.82910,0.23720,1.14950,47.03320,1.7861,1.5502
2017-06-30,0.56010,1.29380,35.68170,27.90030,0.00760,2.97600,2.70670,0.23040,1.13070,46.04140,1.4848,1.2288
2017-03-31,0.50040,1.01570,36.06370,27.29840,0.00770,2.87500,2.63180,0.23110,1.24590,45.11620,1.61080,1.33150
2016-12-31,0.10510,0.98590,38.84570,27.46240,0.00800,3.10480,2.74270,0.24440,2.32020,44.77650,2.0087,1.8129
