,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,1.44850,0.36210,0.63100,100.00000,64.18630,64.18630,67.12390,61.87650,51.03040,0.34280,7.41650,49.21460,44.97400,-205.70760,17.49340,26.81380,18.82590,1.6504,1.5333
2021-09-30,1.75410,0.34700,0.55810,100.00000,65.56320,65.56320,68.89860,66.63760,51.07240,0.29080,6.46940,56.41940,35.67480,-204.06100,14.85110,21.38550,19.45600,2.0215,2.0298
2020-09-30,1.90520,0.36790,0.66470,100.00000,64.45570,64.45570,67.96670,63.12370,49.73910,0.27000,7.58020,48.15210,34.91200,-144.72560,13.42820,18.96960,18.67460,-0.8436,-0.8415
2019-09-30,1.56320,0.32540,0.48230,100.00000,65.28700,65.28700,68.14210,64.77780,52.57430,0.31660,5.00590,72.91420,41.33870,-155.83070,16.64510,23.49600,17.57040,0.0507,0.0294
2018-09-30,1.61130,0.32840,0.48900,100.00000,62.85600,62.85600,65.77710,62.13790,49.98300,0.29770,7.38670,49.41290,36.09830,-117.77960,14.88050,20.34320,16.79310,1.4937,1.4779
2017-09-30,1.90340,0.33650,0.56070,100.00000,66.15100,66.15100,69.17970,63.69980,36.49090,0.27010,7.18790,50.77950,24.59790,-65.68940,9.85480,13.56680,15.78040,1.4292,1.3626
2016-09-30,1.77890,0.32550,0.48260,100.00000,52.26760,52.26760,55.59610,53.12290,39.72290,0.23550,6.01360,60.69620,22.02980,-63.81550,9.35580,12.27820,15.42990,-0.3356,-0.3826
2015-09-30,1.87130,,,100.00000,65.30260,65.30260,68.86170,64.80550,45.59080,0.35260,11.05980,33.00250,21.20500,95.07210,16.07440,21.20500,13.47270,-0.1617,-0.1121
2014-09-30,1.59210,,,100.00000,60.59680,60.59680,84.42770,60.80930,42.81220,0.32930,7.89930,46.20690,19.83730,127.98310,14.09940,19.83730,12.21070,1.5356,1.5002
2013-09-30,1.80440,,,100.00000,61.46210,61.46210,84.53900,61.61490,42.28220,0.32760,6.92010,52.74500,18.53370,129.75510,13.85030,18.53370,8.61220,-0.2559,-0.3214
2012-09-30,1.48180,,,100.00000,20.52590,20.52590,44.40070,21.17840,20.57380,0.26040,7.68510,47.49450,7.75240,47.29520,5.35330,7.75240,8.51730,0.3518,0.3412
2011-09-30,2.66300,,,100.00000,59.38180,59.38180,82.97780,61.55860,39.72570,0.26430,9.45270,38.61340,13.79130,109.39090,10.48910,13.79130,8.13950,0.3334,0.3013
2010-09-30,2.49690,0.00130,0.00180,100.00000,56.90020,56.90020,79.52880,57.50780,36.77620,0.24140,9.18560,39.73590,11.84940,141.88610,8.87210,11.83420,7.48920,0.4927,0.5048
2009-09-30,2.08040,0.00190,0.00240,100.00000,51.19380,51.19380,72.31950,57.87880,34.04720,0.21410,6.58820,55.40230,10.14100,111.89340,7.28600,10.12180,6.85370,0.1211,0.0547
