Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2018-12-31,3.1268,0.3873,0.6361,77.0201,12.1293,12.1293,21.4812,17.3672,0.1606,3.9547,22.7579,6.123,112.3794,3.1635,3.7513,42.4086,-5.74,-5.1666
2018-09-30,2.7676,0.3735,0.6002,78.5226,15.6467,15.6467,13.8816,13.1971,0.1733,3.1818,28.2858,5.1546,129.718,2.6925,3.2296,39.8682,3.1264,2.9094
2018-06-30,2.775,0.3798,0.6166,79.3958,15.9035,15.9035,29.4793,20.6164,0.1699,3.0826,29.1957,8.6765,1259.363,4.5043,5.3812,38.6945,2.4701,2.1996
2018-03-31,2.6799,0.3912,0.6471,79.7038,9.0395,9.0395,5.9117,7.1434,0.165,3.0593,29.4186,2.8497,-51.0621,1.4565,1.7349,36.9636,1.7066,1.5405
2017-12-31,2.6574,0.4018,0.6764,78.989,9.9265,9.9265,5.7973,3.4509,0.162,3.1266,28.7848,0.7923,-8.4604,0.3979,0.474,35.6681,1.4692,1.2322
2017-09-30,2.0668,0.3618,0.567,79.9272,-2.2439,-2.2439,-6.4991,21.6847,0.1495,3.0546,29.4638,7.7574,-89.1893,4.0722,4.9504,35.5287,1.5328,1.3838
2017-06-30,2.944,0.4198,0.7236,81.8823,9.8562,9.8562,7.9669,8.6355,0.1603,3.489,25.7955,3.7055,-90.2113,1.6832,2.1499,27.3562,1.06,0.696
2017-03-31,2.7765,0.4378,0.7812,80.816,4.871,4.871,0.5986,3.4448,0.1647,3.482,25.8471,1.4099,-12.8149,0.6162,0.7927,25.6826,0.8225,0.6873
2016-12-31,2.5831,0.4404,0.797,73.807,13.9085,13.9085,15.6044,12.5808,0.1746,3.6848,24.4247,5.6756,-42.4491,2.4563,3.176,25.6515,1.9205,1.7142
2016-09-30,2.5613,0.4545,0.8331,76.5567,11.2006,11.2006,9.1828,5.6487,0.1636,3.8334,23.4779,2.6566,-14.7581,1.1205,1.4493,24.8665,1.3339,1.007
2016-06-30,2.5901,0.4657,0.898,77.1414,-33.8654,-33.8654,-38.5386,-26.1289,0.16,3.9339,22.8781,-10.0342,43.9033,-4.0889,-5.3611,23.8736,0.5822,0.3301
2016-03-31,2.4253,0.4385,0.8116,76.3502,2.6145,2.6145,1.1541,1.011,0.1621,3.4926,25.7687,0.3731,-1.5904,0.157,0.2095,26.4488,0.464,0.2743
2015-12-31,2.5308,0.438,0.7974,74.7759,-0.6398,-0.6398,-4.313,-3.7526,0.1636,3.3939,26.5184,-1.4171,6.6756,-0.6052,-0.7964,26.6854,2.5251,2.3233
2015-09-30,1.9072,0.3515,0.5419,76.2239,10.3904,10.3904,12.5854,7.8242,0.2082,3.3953,26.5073,3.5241,-16.9396,1.6146,2.2855,22.2374,1.086,0.8927
2015-06-30,1.8504,0.3552,0.5949,76.9219,8.1399,8.1399,5.9545,7.6906,0.1892,3.4563,26.039,3.1886,-13.2908,1.4205,2.056,21.9618,1.0278,0.865
2015-03-31,2.0678,0.3813,0.6162,75.8273,4.5461,4.5461,3.6301,3.4181,0.1952,3.3231,27.0828,1.2474,-4.9945,0.5524,0.7718,21.3957,-0.0429,-0.188
2014-12-31,2.2798,0.3514,0.5419,74.0543,13.2858,13.2858,13.4697,8.4468,0.1952,3.5189,25.5764,3.411,-26.7957,1.5971,2.2123,23.687,1.4698,1.2631
2014-09-30,2.2262,0.3533,0.5463,71.2751,12.9058,12.9058,11.5624,41.7795,0.1846,3.3281,27.0421,7.6011,-45.0059,3.5452,4.9156,23.5895,1.53,1.4097
2014-06-30,2.5138,0.392,0.6448,72.1373,12.6521,12.6521,1.5726,-2.3794,0.1815,3.3849,26.5885,-1.0744,3.4862,-0.4318,-0.6532,20.0896,1.2996,1.0918
2014-03-31,2.4492,0.3869,0.6311,71.7346,9.6876,9.6876,7.5232,4.8477,0.1752,3.0713,29.3031,2.0047,-7.1977,0.8121,1.229,20.6278,0.489,0.3775
2013-12-31,2.5139,0.3844,0.6245,72.4165,15.5913,15.5913,15.4658,10.6172,0.1711,3.4929,25.7666,4.5582,-20.1476,1.8615,2.8059,21.0407,0.9696,0.7887
2013-09-30,1.8783,0.2449,0.3244,67.1205,16.1195,16.1195,16.8915,12.808,0.1989,3.605,24.9651,5.1298,-26.7346,2.4107,3.8734,21.4725,1.1311,0.9387
2013-06-30,1.7534,0.2563,0.3447,65.8721,13.3468,13.3468,12.2535,7.2916,0.2097,3.3881,26.5639,3.4793,-13.0687,1.5355,2.5874,20.2935,1.58,1.4124
2013-03-31,1.7849,0.2559,0.3439,65.5306,11.3912,11.3912,10.5699,7.2263,0.1963,3.1561,28.5164,3.1254,-11.2985,1.3943,2.3256,20.1543,1.057,0.6721
2012-12-31,1.8511,0.2535,0.3489,64.9085,11.1459,11.1459,10.4885,5.3236,0.2011,3.3296,27.03,2.6006,-11.3453,1.1668,1.9412,20.266,0.391,0.1827
2012-09-30,1.581,0.0384,0.0479,63.291,10.9218,10.9218,10.3281,5.6989,0.1994,3.2368,27.8054,2.3085,-96.8607,1.2892,2.2198,22.6227,1.1821,1.0617
2012-06-30,2.0987,0.0386,0.0481,65.1337,14.3218,14.3218,11.2744,6.3666,0.1919,3.3175,27.1286,2.4142,17.2183,1.3564,2.321,22.4374,1.5916,1.4753
2012-03-31,2.0535,0.0403,0.0503,65.0998,9.7978,9.7978,9.0966,5.3821,0.1911,3.5236,25.5422,1.6343,17.5929,0.9293,1.5685,23.183,0.6438,0.5388
2011-12-31,2.1699,0.0466,0.0489,64.6437,9.2898,9.2898,7.4036,8.1693,0.1751,3.372,26.6905,2.1324,18.7008,1.2258,2.033,23.6401,1.0725,0.9406
2011-09-30,2.2789,0.0384,0.0399,63.504,9.0426,9.0426,6.959,12.5701,0.1457,3.3477,26.8844,2.8312,10.2225,1.9156,2.7225,29.2906,1.2604,1.1676
2011-06-30,2.8338,0.0373,0.0388,62.6142,11.9964,11.9964,11.3613,8.7399,0.1383,3.8255,23.5265,1.8461,3.9736,1.3003,1.7772,26.549,1.0399,0.9295
2011-03-31,3.8736,0.0372,0.0387,62.47,8.1128,8.1128,7.8679,3.9264,0.1301,3.4935,25.7623,0.8139,1.7467,0.5703,0.7836,27.5743,0.5753,0.4868
2010-12-31,4.3264,0.0447,0.0468,61.4343,-4.751,-4.751,-6.1033,19.2643,0.1356,3.7751,23.8406,-1.593,-4.0044,-0.981,-1.5218,23.1992,1.2471,1.1673
2010-09-30,5.1302,0.0349,0.0361,64.1779,9.1252,9.1252,9.1911,4.2398,0.1143,3.6465,24.6814,0.8463,1.6717,0.6212,0.8167,26.4226,0.7904,0.7043
2010-06-30,5.2781,0.0337,0.0349,64.3272,6.2482,6.2482,5.2592,3.4474,0.1061,3.7557,23.9633,0.5615,1.072,0.4151,0.5425,26.0207,0.6828,0.5727
2010-03-31,5.8389,0.0324,0.0335,65.3208,2.36,2.36,-2.2349,-4.9461,0.1003,3.4561,26.0406,-0.5099,-0.9151,-0.3871,-0.4934,25.8365,0.4856,0.3869
2009-12-31,6.8901,0.0297,0.0306,69.1842,-300.5036,-300.5036,-306.8231,-299.628,0.0842,3.6167,24.8849,-31.7472,-52.2861,-24.7267,-30.8033,25.8643,1.43,1.399
2009-09-30,7.814,0.0217,0.0221,68.4979,2.1157,2.1157,17.2564,6.4419,0.0649,3.6753,24.4878,0.5499,1.1783,0.4593,0.538,32.0043,0.3788,0.292
2009-06-30,7.2155,0.0213,0.0218,68.6156,1.149,1.149,19.0375,12.0022,0.0646,3.7704,23.8704,0.9674,1.9554,0.8092,0.9468,32.0349,0.3765,0.3074
2009-03-31,7.423,0.0208,0.0213,65.9884,-9.9768,-9.9768,-9.8072,-8.5497,0.0618,3.6182,24.8745,-0.663,-1.3451,-0.5561,-0.6492,30.0218,0.3295,0.2715
