Date,current-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-09-30,2.5013,100.0,44.338,44.338,45.8207,34.4584,0.1103,0.256,351.5058,5.8216,7.762,3.8023,5.8216,27.0675,2.2673,1.9337
2022-06-30,2.3797,100.0,46.5283,46.5283,49.1568,36.7241,0.1162,0.2584,348.3325,6.6868,9.0386,4.2688,6.6868,26.5888,2.4862,2.2075
2022-03-31,2.1364,100.0,47.3532,47.3532,48.5975,34.8114,0.109,0.2336,385.3563,6.3279,8.5545,3.7932,6.3279,27.0664,-0.6274,-0.9135
2021-12-31,2.7258,100.0,43.9725,43.9725,43.363,31.6158,0.1079,0.3495,257.4848,5.0115,6.776,3.4098,5.0115,27.4614,3.8235,3.5246
2021-09-30,2.5054,100.0,45.6547,45.6547,45.9576,35.756,0.1006,0.2616,344.0286,5.4921,7.4237,3.5956,5.4921,27.752,1.6503,1.31
2021-06-30,2.5804,100.0,49.4386,49.4386,48.8011,38.1594,0.1147,0.3133,287.283,6.5849,9.0068,4.3753,6.5849,26.8854,2.5377,2.1715
2021-03-31,2.4601,100.0,52.9376,52.9376,52.0817,41.1621,0.1264,0.2996,300.397,8.1415,10.729,5.2046,8.1415,26.0157,-0.607,-0.9302
2020-12-31,3.2804,100.0,53.5157,53.5157,52.694,42.5636,0.1287,0.4766,188.8242,7.6363,10.2385,5.4776,7.6363,25.1299,5.9694,5.668
2020-09-30,3.4627,100.0,53.5389,53.5389,53.6352,41.3253,0.1317,0.3546,253.8341,7.5513,9.8044,5.4417,7.5513,23.6412,-1.2682,-1.5794
2020-06-30,7.4242,100.0,56.3516,56.3516,56.4967,45.3768,0.1778,1.8624,48.3237,9.8249,12.9697,8.069,9.8249,22.4968,2.7417,2.4488
2020-03-31,7.5325,100.0,53.9058,53.9058,54.2686,44.2756,0.1732,1.8059,49.8377,9.3768,12.6763,7.6687,9.3768,21.044,3.1614,2.8707
2019-12-31,6.8383,100.0,46.89,46.89,47.7422,38.7389,0.1359,2.0926,43.0096,6.5282,8.9415,5.2646,6.5282,20.2997,2.3533,2.0325
2019-09-30,9.4711,100.0,50.1265,50.1265,51.1699,41.0359,0.1539,1.8074,49.7966,7.7743,8.5414,6.3158,7.7743,18.3855,1.7752,1.5359
2019-06-30,10.0516,100.0,48.5114,48.5114,50.1307,38.3337,0.1545,1.8918,47.5726,7.2676,8.0252,5.9242,7.2676,17.5326,1.8373,1.5845
2019-03-31,10.8216,100.0,50.7579,50.7579,52.3893,42.1894,0.1607,1.7547,51.29,8.3217,9.2376,6.7787,8.3217,16.7413,1.0406,0.9393
2018-12-31,6.4616,100.0,47.9928,47.9928,49.8613,40.7589,0.1617,1.9544,46.0509,7.5395,8.4062,6.5893,7.5395,16.1498,1.849,1.464
2018-09-30,7.8027,100.0,45.7518,45.7518,47.1171,38.045,0.157,1.6361,55.0098,6.67,7.4817,5.9731,6.67,15.39,1.7995,1.5234
2018-06-30,8.3559,100.0,48.6463,48.6463,49.7457,37.8511,0.1732,1.7285,52.0686,7.2638,8.1873,6.5556,7.2638,14.8322,1.4368,0.9956
