Date,current-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-09-30,2.7501,58.7933,20.9896,20.9896,19.3143,18.4884,0.1495,0.3065,1.7789,50.5917,3.587,4.0881,2.7643,3.587,30.5869,0.8006,0.5398
2022-06-30,2.5387,58.7368,23.5922,23.5922,22.4822,20.7823,0.1588,0.3519,1.7755,50.6896,4.3961,5.046,3.3003,4.3961,30.3843,0.4133,0.0279
2022-03-31,3.542,56.4936,19.4904,19.4904,20.1136,18.0437,0.1522,0.3809,1.9553,46.0286,3.3861,3.8707,2.7468,3.3861,32.3565,0.959,0.6563
2021-12-31,2.9429,55.4837,22.6445,22.6445,22.1931,20.5617,0.1772,0.5046,1.6499,54.5492,4.6799,5.3754,3.643,4.6799,31.7441,0.8785,0.2578
2021-09-30,2.9179,58.3861,23.7145,23.7145,23.1034,21.732,0.1574,0.4455,1.8644,48.2738,4.4244,5.134,3.4212,4.4244,30.4424,1.2654,1.0523
2021-06-30,2.6622,58.8475,27.9728,27.9728,28.0396,23.89,0.1792,0.5818,1.7998,50.0067,5.6766,6.6538,4.2822,5.6766,29.0361,1.1902,0.6219
2021-03-31,3.8129,59.8284,23.282,23.282,23.3617,20.5188,0.1532,0.5141,1.9211,46.8488,3.8495,4.4963,3.1434,3.8495,29.7476,1.9105,1.7191
2020-12-31,3.1518,58.5305,27.4728,27.4728,28.9673,24.6815,0.1922,0.7354,1.5909,56.5724,6.0468,7.1156,4.7437,6.0468,28.7941,2.2731,2.0209
2020-09-30,2.976,60.2224,28.5884,28.5884,30.3569,28.2563,0.1693,0.5372,1.6857,53.3901,6.1402,7.3133,4.7845,6.1402,26.6912,1.4242,1.2234
2020-06-30,2.7995,59.2539,21.6572,21.6572,22.7152,21.1734,0.1398,0.4358,1.6604,54.2049,3.8849,4.5098,2.9611,3.8849,24.7923,1.0404,0.7434
2020-03-31,3.746,59.2145,20.7313,20.7313,20.7491,18.8271,0.1414,0.4419,1.7114,52.5889,3.2665,3.7697,2.6624,3.2665,25.8323,1.1784,0.9725
2019-12-31,2.9518,58.0146,25.0874,25.0875,26.0755,32.7328,0.1787,0.6147,1.5595,57.709,7.5267,8.7277,5.8505,7.5267,25.1382,1.2286,1.0901
2019-09-30,2.6443,60.7308,27.9821,27.9821,27.5869,24.3868,0.1624,0.4893,1.6736,53.7755,5.2014,6.0875,3.9594,5.2014,23.0449,0.9876,0.8263
2019-06-30,2.3943,60.2577,26.8339,26.8339,28.8821,23.4234,0.1728,0.5855,1.6352,55.0377,5.388,6.3939,4.0482,5.388,21.8355,0.5796,0.4214
2019-03-31,4.0354,58.9646,19.7615,19.7615,21.7042,18.2982,0.1451,0.5253,1.6908,53.2292,3.2483,3.5904,2.6547,3.2483,22.7303,0.8635,0.7059
2018-12-31,2.893,58.9166,23.8893,23.8893,24.8761,20.4,0.1732,0.6816,1.6358,55.0204,4.5676,5.0762,3.5325,4.5676,21.9727,1.1529,0.9801
2018-09-30,2.8109,59.3507,24.1921,24.1921,24.8549,22.7422,0.159,0.5915,1.7316,51.9753,4.6605,5.2216,3.6149,4.6605,20.935,1.3813,1.2261
2018-06-30,2.5008,58.5017,24.3175,24.3175,26.3925,21.2803,0.1793,0.7402,1.6779,53.6382,5.0638,5.6828,3.8154,5.0638,19.9097,1.1807,0.8347
2018-03-31,3.9281,60.0017,20.0039,20.0039,21.6607,18.1993,0.1464,0.5194,1.7351,51.8706,3.2366,3.6177,2.6646,3.2366,21.2029,1.1315,0.993
2017-12-31,2.9619,56.1095,20.4318,20.4318,20.5562,15.8862,0.1813,0.7608,1.5186,59.2647,3.7003,4.1407,2.8808,3.7003,20.471,1.0474,0.7598
2017-09-30,2.7569,58.2398,23.1147,23.1147,25.2799,20.1098,0.1554,0.5453,1.6425,54.796,4.1507,4.5416,3.1243,4.1507,19.4117,1.0544,0.8143
2017-06-30,2.4824,58.2247,25.2105,25.2105,28.1817,21.2847,0.1751,0.6614,1.6147,55.7373,5.0791,5.5739,3.7268,5.0791,18.5636,0.7628,0.6873
