Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2013-03-31,2.1568,0.0016,0.0038,40.0798,8.7011,8.7011,8.7308,5.4569,0.7377,1.8697,48.135,6.5373,8.5697,4.0255,6.5267,6.1245,0.2015,0.1431
2012-12-31,2.1224,0.0017,0.0018,40.2649,9.3706,9.3706,9.4025,5.638,0.7487,2.0166,44.6298,6.9618,9.1819,4.2438,6.95,6.0386,0.6998,0.5981
2012-09-30,2.0742,0.0017,0.0019,40.1916,9.1097,9.1097,9.1434,5.554,0.7345,1.8563,48.4847,6.8982,8.9467,4.0989,6.8862,5.9361,0.5495,0.4653
2012-06-30,2.0968,0.0018,0.002,40.3841,7.0,7.0,7.0277,4.3856,0.7649,1.9336,46.5452,5.6006,7.33,3.3717,5.5903,5.7123,0.6597,0.5604
2012-03-31,2.2126,0.0019,0.002,39.5968,7.8813,7.8813,7.9043,4.7338,0.776,1.9399,46.3943,5.9256,7.7235,3.6935,5.9146,5.732,0.1653,0.0914
2011-12-31,2.1283,0.0019,0.0021,39.7877,7.3765,7.3765,7.4127,4.2751,0.7421,1.9733,45.6093,5.3246,6.9757,3.2492,5.3144,5.6339,0.6707,0.569
2011-09-30,2.079,0.002,0.0021,39.8005,7.3169,7.3169,7.3319,4.4231,0.7525,1.9081,47.1674,5.5771,7.3312,3.3754,5.5661,5.5436,0.5207,0.4227
2011-06-30,2.1956,0.002,0.0021,39.691,6.5083,6.5083,6.5337,3.8262,0.7205,1.8934,47.533,4.4604,5.8187,2.7981,4.4517,5.6366,0.4848,0.3868
2011-03-31,2.3419,0.0019,0.0021,38.3813,5.0364,5.0364,5.0605,3.0317,0.6825,1.8881,47.6673,3.1793,4.1123,2.0692,3.1732,5.7224,0.1315,0.0305
2010-12-31,2.3793,0.002,0.0021,38.3887,5.0482,5.0482,5.0785,2.8587,0.6684,2.0123,44.7241,2.971,3.847,1.9458,2.9651,5.7077,0.5116,0.4222
2010-09-30,2.3984,0.002,0.0021,37.8265,4.5415,4.5415,4.5602,2.4593,0.6364,1.9105,47.1079,2.4254,3.1201,1.6059,2.4206,5.7793,0.3564,0.302
2010-06-30,2.5097,0.0021,0.0022,37.6884,2.8986,2.8986,2.9108,1.5161,0.6334,1.9995,45.0114,1.4697,1.9029,1.0032,1.4666,5.6162,0.2535,0.2105
2010-03-31,2.6153,0.0019,0.0021,36.3725,1.6537,1.6537,1.6638,1.0345,0.58,1.9738,45.5976,0.9451,1.1981,0.6668,0.9432,5.9797,0.0997,0.0429
2009-12-31,2.5142,0.002,0.0021,37.7643,3.0145,3.0145,3.0429,1.7588,0.5745,2.0349,44.2287,1.5034,1.9051,1.054,1.5005,6.0534,0.3306,0.26
2009-09-30,2.6555,0.0019,0.002,36.7002,2.3777,2.3777,2.3996,1.2382,0.5473,1.9913,45.1955,1.0054,1.2571,0.7186,1.0035,6.2885,0.4539,0.4074
2009-06-30,2.7478,0.0019,0.002,35.3463,1.3029,1.3029,1.3635,0.6402,0.5665,2.0049,44.8892,0.5635,0.7018,0.4091,0.5624,6.3309,0.5268,0.4571
2009-03-31,2.6581,0.0019,0.002,35.6758,1.9506,1.9506,2.0259,1.0091,0.6121,1.9978,45.0495,0.9112,1.1323,0.6533,0.9095,6.3255,0.3267,0.2322
