Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2015-06-30,1.1936,0.5385,1.6059,39.7847,13.7549,13.7549,12.275,9.5137,0.2243,1.0046,1.1966,75.2105,8.3058,-9.377,2.1282,3.8328,6.6583,0.3751,0.2461
2015-03-31,1.1853,0.5521,1.6683,38.568,7.769,7.769,6.2421,4.2801,0.1914,0.9111,1.2002,74.9905,3.349,-3.4426,0.8615,1.5001,6.323,-0.5658,-0.7525
2014-12-31,1.2137,0.5291,1.338,37.6212,7.4377,7.4377,3.9122,3.4076,0.2325,1.3435,1.2226,73.616,2.6578,-3.1236,0.751,1.2515,6.8904,1.0316,0.8846
2014-09-30,1.0862,0.4115,1.0778,38.8481,11.6672,11.6672,10.1853,8.2385,0.2338,1.15,1.2816,70.2237,6.0572,-10.7421,1.9357,3.5647,7.4843,1.2273,1.1015
2014-06-30,1.2377,0.4037,0.9816,39.6485,14.1992,14.1992,13.3737,10.0253,0.2416,1.1168,1.2209,73.7159,7.0831,-17.5006,2.3962,4.2236,7.683,0.3392,0.212
2014-03-31,1.437,0.4456,0.9579,37.6349,8.6223,8.6223,4.1423,4.3564,0.2026,0.9451,1.2479,72.123,2.4982,-5.7877,0.8642,1.385,7.4937,-0.3245,-0.4369
2013-12-31,1.4245,0.4447,0.885,36.2074,10.7619,10.7619,9.6675,8.2293,0.2348,1.3286,1.2898,69.7762,5.4795,-12.6249,1.8732,3.0429,7.448,1.0463,1.5158
2013-09-30,1.6525,0.4325,0.7757,37.685,12.1752,12.1752,11.0566,13.1846,0.2383,1.1106,1.3872,64.8803,5.572,-15.717,1.9861,3.1624,7.6361,1.2309,1.132
2013-06-30,1.4121,0.4499,1.0204,39.5131,12.572,12.572,11.2701,7.4456,0.2303,1.0083,1.2134,74.169,5.7143,-12.353,1.8211,3.1433,7.0851,0.2168,0.1377
2013-03-31,1.4073,0.4608,1.0624,38.1689,7.882,7.882,5.6576,4.3681,0.2002,0.9413,1.2149,74.0788,3.2083,-6.4159,1.0295,1.7298,6.8929,-0.42,-0.5346
2012-12-31,1.4458,0.4604,0.9591,35.9355,10.91,10.91,9.3691,7.4066,0.2211,1.2657,1.2368,72.7693,4.9845,-9.7354,1.6024,2.6897,6.9718,0.8862,0.7276
2012-09-30,1.1296,0.3979,1.0471,38.3691,12.8355,12.8355,11.2225,7.4336,0.229,1.0913,1.3561,66.3649,5.1384,-11.1754,1.6689,3.0936,7.1864,1.0309,0.8752
2012-06-30,1.0859,0.41,1.2631,38.7778,12.4465,12.4465,10.9661,7.844,0.2163,1.0147,1.289,69.819,5.3831,-10.1878,1.6129,3.1759,6.8376,0.3503,0.225
2012-03-31,1.3265,0.4804,1.1857,39.0244,9.8521,9.8521,8.2607,6.3415,0.1988,0.8878,1.3272,67.8113,4.0137,-7.0598,1.2451,2.0857,6.7292,-0.1608,-0.3247
2011-12-31,1.2933,0.4941,1.175,39.6131,15.8715,15.8715,13.7967,7.0384,0.1854,0.9856,1.14,78.946,7.2493,-11.3862,2.1799,3.6675,6.4259,0.9328,0.8498
2011-09-30,1.289,0.4882,1.219,37.3766,-12.4008,-12.4008,-14.1945,-11.4588,0.2495,1.1115,1.5721,57.2495,-8.7634,14.8095,-2.6788,-4.4851,6.5589,1.013,0.8082
2011-06-30,1.1927,0.4525,1.1572,37.8179,12.6772,12.6772,11.0723,9.4933,0.2242,1.0297,1.3556,66.3891,6.6554,-11.3231,2.1095,3.6439,7.4973,0.3124,0.1477
2011-03-31,1.1492,0.4684,1.2422,38.0553,10.0455,10.0455,7.8324,5.941,0.192,0.9344,1.3174,68.3158,3.6249,-5.22,1.1134,1.927,7.001,-0.3632,-0.5137
2010-12-31,1.2798,0.52,1.2432,37.8606,8.2944,8.2944,6.4744,5.4457,0.217,1.2312,1.393,64.6076,3.7313,-4.7645,1.11,1.7912,6.5594,0.6522,0.5271
2010-09-30,1.2341,0.5282,1.3655,38.4442,11.914,11.914,-4.8311,1.9311,0.2231,1.0853,1.4584,61.7134,1.511,-1.8551,0.4307,0.713,6.4516,0.674,0.507
2010-06-30,1.3608,0.519,1.2867,39.2528,13.6011,13.6011,11.7765,8.7154,0.2279,1.1327,1.442,62.4141,6.8671,-9.0593,1.9864,3.3028,6.8232,0.486,0.3961
2010-03-31,1.3126,0.5258,1.3817,36.1069,9.9587,9.9587,7.5321,4.4703,0.2036,1.1456,1.4265,63.0909,3.2166,-3.7501,0.9102,1.5252,6.5262,0.0955,-0.0068
2009-12-31,1.2402,0.5307,1.4077,38.1843,9.7798,9.7798,6.9447,4.5694,0.2064,1.1912,1.4833,60.6764,3.4171,-3.7632,0.948,1.6037,6.4154,0.6702,0.5661
2009-09-30,1.1714,0.5247,1.4483,37.4465,11.4079,11.4079,8.9027,5.9006,0.2188,1.1569,1.5354,58.6149,4.6432,-5.4608,1.2909,2.207,6.6309,1.0706,0.9403
2009-06-30,1.3949,0.5731,1.6983,37.1136,13.262,13.262,10.5032,7.0265,0.2175,1.115,1.3723,65.584,5.9289,-6.6696,1.5283,2.5309,6.4199,0.3467,0.2345
2009-03-31,1.4039,0.6235,2.1264,35.1192,6.7115,6.7115,4.1116,2.7992,0.1687,0.8422,1.3764,65.39,2.0835,-1.9913,0.4722,0.7844,5.8267,-0.0399,-0.1543
