Date,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2015-09-30,0.2821,0.4459,15.0205,15.0205,10.9814,5.7431,0.0409,1.1676,1.1848,0.3637,0.8382,67.6759,3.1405,2.4734
2015-06-30,0.2869,0.446,12.4891,12.4891,8.5881,4.9491,0.044,1.0151,1.0309,0.3166,0.7239,66.5478,2.8256,0.7635
2015-03-31,0.2859,0.4283,6.7855,6.7855,3.019,3.134,0.0442,0.1989,0.202,0.0623,0.1421,66.3127,0.1125,-1.0879
2014-12-31,0.2954,0.4328,15.3366,15.3366,11.6728,5.9074,0.0449,1.2211,1.2399,0.3841,0.8604,66.0973,2.3174,-0.2296
2014-09-30,0.2858,0.434,13.0571,13.0571,9.6225,5.9041,0.0449,0.9556,0.9692,0.3056,0.6825,66.4582,2.4135,3.363
2014-06-30,0.2793,0.426,18.703,18.703,15.1962,3.2285,0.0433,1.5815,1.604,0.4838,1.1398,66.2004,1.9951,1.0161
2014-03-31,0.2939,0.4503,17.2451,17.2451,13.9371,1.5998,0.0451,1.6363,1.6597,0.5024,1.1554,64.9166,1.09,-0.8349
2013-12-31,0.2766,0.4153,19.9515,19.9515,17.1513,-5.3312,0.0465,1.6382,1.662,0.5104,1.185,64.3217,1.9571,0.5172
2013-09-30,0.2811,0.4019,18.9324,18.9324,16.0134,7.8399,0.0452,1.6961,1.7667,0.5295,1.2194,64.1109,2.133,2.0035
2013-06-30,0.2895,0.4087,18.6394,18.6394,15.6527,7.4392,0.0452,1.6354,1.7038,0.5035,1.162,63.5093,-0.2594,-1.627
2013-03-31,0.2759,0.3818,16.4406,16.4406,13.5106,6.5654,0.0457,1.5738,1.6396,0.4825,1.1396,63.3961,1.5504,0.028
