Date,long-term-debt-capital-annual,debt-equity-ratio-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,0.3763,0.6032,38.587,38.587,63.4641,34.9839,39.449,0.1127,7.8995,8.1607,4.4938,4.9273,36.2011,-0.0455,1.167
2021-12-31,0.3784,0.6087,38.775,38.775,63.3341,27.372,30.9915,0.1081,5.995,6.2112,3.3939,3.7267,35.7756,0.9177,-1.254
2020-12-31,0.393,0.6476,13.524,13.524,57.4643,1.2939,4.4174,0.0929,0.781,0.8062,0.4326,0.4741,35.8004,-0.7578,0.5952
2019-12-31,0.3839,0.6231,32.6449,32.6449,62.7901,16.0882,21.1298,0.1018,3.8674,4.0227,2.1852,2.3827,37.6349,0.1151,-0.5726
2018-12-31,0.3655,0.576,33.9141,33.9141,63.9624,18.6758,22.2241,0.1024,3.9119,4.1617,2.3055,2.4822,38.5053,0.6511,1.7989
2017-12-31,0.3481,0.5339,24.3378,24.3378,56.9048,12.7907,16.2496,0.0883,2.6582,2.8617,1.6058,1.733,39.3751,0.0028,2.6262
2016-12-31,0.3849,0.6258,34.3797,34.3797,61.7589,17.9816,23.4158,0.1369,7.2621,6.6646,3.7201,3.9136,25.1995,-0.0713,-3.0388
2015-12-31,0.4723,0.8952,35.9211,35.9211,63.1092,16.5734,22.6399,0.1362,6.6531,5.9142,2.7956,2.9628,21.5158,-0.0003,1.1564
2014-12-31,0.5107,1.0438,34.3095,34.3095,63.1646,18.8705,30.9219,0.1282,8.3011,7.0999,3.1871,3.3799,20.6706,0.2627,-0.0163
2013-12-31,0.4991,0.9965,33.6028,33.6028,63.1126,10.7522,26.3272,0.125,5.4876,4.6411,2.154,2.2686,20.2385,-0.1255,-0.0625
2012-12-31,0.5266,1.1123,35.1183,35.1183,64.5647,7.4264,-1.4061,0.123,3.2218,2.6874,1.188,1.2414,19.3863,0.4027,-1.4427
2011-12-31,0.5146,1.0603,35.386,35.386,66.4378,6.41,6.7372,0.118,2.308,1.9974,0.9231,0.9555,20.8706,0.7896,0.1546
2010-12-31,0.5456,1.2007,34.6207,34.6207,62.9139,3.1306,-2.4351,0.1172,0.2114,0.1799,0.0778,0.0809,21.3932,-0.8831,-2.466
2009-12-31,0.4926,0.9707,37.2552,37.2552,63.1247,-2.5995,-11.0063,0.1204,-2.3264,-2.0075,-0.9767,-1.0135,23.8339,2.5593,3.0471
