Date,long-term-debt-capital-annual,debt-equity-ratio-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,0.2676,0.3654,4.8756,4.8756,5.3317,4.8756,4.9502,0.3018,7.0726,7.0726,1.4938,5.18,215.8824,-1.0814,-1.0814
2021-12-31,0.2335,0.3046,13.0204,13.0204,13.6609,13.0288,11.6214,0.3108,13.5996,13.6036,3.6115,10.4241,258.0153,23.975,23.975
2020-12-31,0.1642,0.1964,6.1054,6.1054,6.6264,6.095,5.3553,0.2934,5.2847,5.2847,1.5713,4.4171,243.2517,26.031,26.031
2019-12-31,0.0649,0.0694,13.3515,13.3515,13.7274,13.3515,12.2639,0.3012,11.053,11.053,3.6944,10.3357,223.8517,30.7875,30.7875
2018-12-31,0.0746,0.0806,-2.8683,-2.8683,-2.4707,-3.2898,1.2096,0.2974,1.1327,1.1327,0.3597,1.0482,193.3728,-13.4359,-13.4359
2017-12-31,0.0704,0.0757,6.8105,6.8105,7.5031,6.3333,7.2898,0.2807,5.7682,5.7682,2.0463,5.3623,204.9474,-4.7698,-4.7698
2016-12-31,0.0727,0.0784,19.6066,19.6066,20.4551,18.9813,17.1951,0.2718,12.338,12.338,4.673,11.441,197.4473,7.9321,7.9321
2015-12-31,0.0768,0.0832,20.2242,20.2242,21.1209,19.5867,17.2258,0.2763,12.8522,12.8522,4.7595,11.8651,178.212,2.2764,2.2764
2014-12-31,0.0789,0.0857,25.0987,25.0987,25.9661,24.4202,21.1158,0.2728,16.0936,16.0936,5.7602,14.8236,166.7439,0.6408,0.6408
2013-12-31,0.0655,0.0701,28.3838,28.3838,29.563,27.5662,22.3262,0.2848,18.1574,18.1574,6.3876,16.9683,146.5679,9.0468,9.0468
2012-12-31,0.1083,0.1215,20.1757,20.1757,21.433,19.0852,16.839,0.2489,12.311,12.311,4.1913,10.9772,130.9554,0.0289,0.0289
2011-12-31,0.1187,0.1347,-3.8694,-3.8694,-2.8485,-4.984,-1.7147,0.2484,-1.3257,-1.3257,-0.426,-1.1682,112.9852,-2.8621,-2.8621
2010-12-31,0.1214,0.1381,13.7504,13.7504,14.7316,12.564,12.9787,0.256,9.7199,9.7199,3.3222,8.5401,115.4464,3.2774,3.2774
2009-12-31,0.143,0.1668,22.4827,22.4827,23.2021,20.8804,17.9388,0.2499,13.2256,13.2256,4.4829,11.3346,102.8646,12.8969,12.8969
