Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2018-04-30,1.7667,0.3617,0.9108,71.232,-11.5194,-11.5194,-12.1414,-12.0279,0.1255,1.7465,51.5302,-4.4898,-5.0662,-1.51,-2.8657,7.7084,0.8647,0.6354
2018-01-31,1.9219,0.4212,0.9437,70.651,-13.9636,-13.9636,-15.1818,-15.2967,0.1177,1.1027,81.6143,-5.6379,-6.4251,-1.8009,-3.2635,7.4546,0.6201,0.4431
2017-10-31,2.1113,0.4246,0.9566,70.5513,-14.415,-14.415,-15.0887,-15.4029,0.1217,1.59,56.605,-5.5539,-6.3483,-1.8741,-3.1959,7.3346,0.6788,0.5085
2017-07-31,1.5426,0.1362,0.4002,69.886,-15.5389,-15.5389,-15.3604,-15.7108,0.1542,1.4177,63.4854,-6.0225,-7.0375,-2.4223,-5.2024,6.5884,0.0594,-0.1244
2017-04-30,1.965,0.2907,0.4099,71.5103,-12.5453,-12.5453,-12.8919,-13.3464,0.145,1.6108,55.8713,-4.8487,-5.7246,-1.9356,-3.4391,6.4119,0.8832,0.7331
2017-01-31,1.9642,0.2951,0.4186,70.5276,-18.713,-18.713,-19.2316,-18.5613,0.1351,1.0779,83.4951,-6.4222,-7.6661,-2.5085,-4.527,6.2887,0.5699,0.4042
2016-10-31,2.0896,0.3168,0.4638,69.0209,-26.8283,-26.8283,-27.5864,-27.8494,0.1401,1.5229,59.097,-10.0281,-12.3265,-3.9029,-6.8508,5.659,0.3486,0.2142
2016-07-31,2.4119,0.3134,0.4565,68.7994,-23.0055,-23.0055,-28.6162,-28.599,0.1335,1.519,59.2477,-9.4688,-10.0749,-3.8174,-6.5012,5.7329,0.0204,-0.1118
2016-04-30,2.4449,0.313,0.4557,68.5531,-21.321,-21.321,-23.011,-23.3396,0.1244,1.7889,50.3112,-7.1464,-7.5825,-2.9041,-4.9093,5.7267,0.83,0.6528
2016-01-31,2.5603,0.3088,0.4467,67.6874,-18.4319,-18.4319,-20.4789,-20.8509,0.1164,1.083,83.0996,-5.8318,-6.1904,-2.427,-4.0312,5.8264,0.5214,0.2987
2015-10-31,2.8697,0.311,0.4514,66.6671,-22.9878,-22.9878,-25.1898,-25.4896,0.1216,1.7867,50.3711,-6.9133,-7.3742,-3.0986,-4.7635,5.8621,0.2726,0.076
2015-07-31,3.0307,0.3072,0.4442,67.4283,-23.9268,-23.9268,-25.2635,-24.5568,0.1157,1.8089,49.7544,-6.1327,-6.3746,-2.8406,-4.2485,5.8957,0.0751,-0.0579
2015-04-30,3.182,0.3078,0.4462,68.9533,-21.2801,-21.2801,-24.1635,-24.5293,0.1053,1.9531,46.0811,-5.5158,-5.6917,-2.5837,-3.8181,5.8431,0.492,0.3409
2015-01-31,3.2879,0.2997,0.4309,69.0838,-22.2669,-22.2669,-25.9222,-26.2807,0.0963,1.2013,74.9189,-5.2813,-5.4496,-2.5304,-3.6983,5.9892,0.2638,0.0576
2014-10-31,3.7381,0.3004,0.4335,66.6206,-23.9299,-23.9299,-27.6715,-27.857,0.0963,1.8082,49.7739,-5.3056,-5.4757,-2.6838,-3.7119,6.0386,0.2227,0.0724
2014-07-31,4.0469,0.2965,0.426,64.8571,-33.0705,-33.0705,-36.793,-37.057,0.0851,1.8579,48.4423,-6.0777,-6.2725,-3.1534,-4.2757,6.1294,-0.0497,-0.2035
2014-04-30,4.1326,0.2916,0.4189,64.054,-32.6055,-32.6055,-36.9871,-37.1792,0.0724,1.6113,55.8558,-5.14,-5.3037,-2.6913,-3.6412,6.2625,0.1185,0.0646
2014-01-31,4.7966,0.2845,0.4055,64.2155,-33.8178,-33.8178,-38.6964,-39.4612,0.0652,1.5389,58.4817,-4.7154,-4.7494,-2.5724,-3.374,6.4875,0.2043,0.1273
2013-10-31,3.8861,0.4331,0.7804,62.0003,-31.5933,-31.5933,-36.9839,-37.1731,0.0837,1.4705,61.2057,-7.7492,-7.858,-3.1105,-4.393,3.5092,0.0405,-0.0546
2013-07-31,4.4908,0.4216,0.7456,62.1087,-30.0153,-30.0153,-33.25,-33.4508,0.0714,1.606,56.0409,-5.6326,-5.7085,-2.389,-3.2581,3.6541,-0.0777,-0.2488
2013-04-30,2.8909,0.0175,0.0373,59.9553,-35.5982,-35.5982,-35.8776,-36.0249,0.0934,1.5187,59.2618,-5.774,-5.861,-3.3646,-5.6732,3.3166,0.103,0.0917
2013-01-31,3.4709,0.0214,0.0422,59.5358,-37.633,-37.6329,-37.8378,-37.9592,0.085,1.2088,74.4529,-5.2245,-5.3005,-3.2264,-5.1126,3.568,0.0664,-0.0386
2012-10-31,4.1027,0.0275,0.0439,58.4208,-56.2781,-56.2781,-56.7793,-57.1084,0.0764,1.1885,75.7238,-6.7116,-6.8057,-4.3477,-6.5268,3.7078,-0.3362,-0.2732
2012-07-31,,,,54.9217,-42.0401,-42.0401,-43.0561,-43.1996,,,,,,,,,0.0363,-0.0699
2012-04-30,,,,55.8415,-35.1244,-35.1244,-35.186,-35.6507,,,,,,,,,0.385,0.3184
2012-01-31,,,,,,,,,,,,,,,,,0.2395,0.3652
2011-10-31,,,,51.4979,-53.3388,-53.3388,-54.0055,-54.3292,,,,,,,,,-0.2395,-0.3652
2011-01-31,,,,,,,,,,,,,,,,,0.0,0.0
2010-01-31,,,,,,,,,,,,,,,,,0.0,0.0
