Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2019-06-30,1.3139,0.6382,2.2664,77.1771,23.0293,23.0293,20.9245,16.591,0.1145,3.0402,29.6038,9.7418,-34.1006,1.8896,3.5245,4.8765,0.8868,0.724
2019-03-31,1.4811,0.5968,1.7778,77.6627,24.5752,24.5752,27.2275,21.4671,0.1081,3.3701,26.7054,9.9174,-456.6372,2.3109,3.9991,5.9395,0.6057,0.4075
2018-12-31,1.5999,0.5503,1.4697,66.8374,27.0167,27.0167,6.0179,97.3111,0.0342,1.0969,82.0487,5.7793,35.277,1.5908,2.5992,6.8645,1.2325,1.1339
2018-09-30,1.7381,0.5251,1.3288,77.0479,20.9891,20.9891,35.7871,27.2178,0.112,3.4809,25.855,10.3911,43.5572,3.0441,4.9349,7.1952,0.5861,0.3967
2018-06-30,2.3712,0.5629,1.288,77.3864,15.3788,15.3788,26.7803,24.3182,0.1101,3.5436,25.3977,8.9281,34.9781,2.6597,3.9029,7.2255,0.3825,0.1954
2018-03-31,2.6336,0.548,1.2149,78.3333,22.4419,22.4419,21.2016,15.7752,0.1051,3.7775,23.8256,5.3581,14.9194,1.6575,2.422,7.5432,0.481,0.3275
2017-12-31,2.1759,0.5343,1.2443,78.2047,24.4921,24.4921,20.7241,-96.0842,0.1042,3.8894,23.14,-32.2649,-80.9791,-9.9938,-15.0263,7.8222,0.9549,0.7686
2017-09-30,2.4633,0.4505,0.8861,77.7022,22.9784,22.9784,27.7822,20.8167,0.0963,3.9904,22.554,4.6087,7.9559,2.0044,2.5326,10.756,0.8277,0.6786
2017-06-30,2.3729,0.4464,0.9993,76.8499,19.8429,19.8429,19.0988,1.1988,0.088,3.9079,23.0302,0.2527,0.4317,0.1055,0.1399,10.7034,0.6461,0.478
2017-03-31,1.9159,0.3682,0.7733,77.6813,23.7516,23.7516,24.2293,44.9414,0.0928,3.8902,23.135,8.9263,15.0853,4.172,5.64,10.756,0.5281,0.4056
2016-12-31,2.307,0.4161,0.8502,80.2506,23.5077,23.5077,73.8394,218.7178,0.1138,4.5845,19.6315,56.438,100.2022,24.9423,32.9566,9.6955,0.5335,0.4165
2016-09-30,2.5998,0.5265,1.3244,77.5372,24.4475,24.4475,24.0415,18.6288,0.1081,3.5415,25.4127,6.1299,21.1646,2.0388,2.9026,6.1047,0.7149,0.5501
2016-06-30,4.4941,0.5839,1.4031,77.8924,23.8117,23.8117,23.4529,19.5067,0.1115,3.551,25.3453,6.772,23.0973,2.1858,2.8181,5.7005,0.674,0.5437
