Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2017-06-30,2.107,0.568,1.5365,21.0455,18.4856,18.4856,13.8238,7.2218,0.1002,0.8045,2.5879,34.7777,3.2623,3.2623,0.8801,1.4094,6.906,0.7141,0.4648
2017-03-31,2.0171,0.5781,1.6025,22.8674,17.8689,17.8689,13.1099,6.8243,0.0913,0.6848,2.3881,37.6863,2.7955,2.7955,0.7327,1.1795,6.6254,0.5447,0.3081
2016-12-31,2.4467,0.6151,1.7313,24.6973,17.5006,17.5006,11.2406,6.6712,0.1173,0.905,2.183,41.2269,2.1821,2.1821,0.5413,0.8398,6.4062,0.9153,0.1867
2016-09-30,2.5635,0.6673,2.0938,12.0196,9.2597,9.2597,4.5654,5.5971,0.0936,0.9256,2.2154,40.6242,3.2208,3.2208,0.7053,1.0717,6.6564,0.6482,0.4443
2016-06-30,2.3568,0.6904,2.3223,-16.3467,0.5399,0.5399,-3.4193,-14.3671,0.0807,1.0361,1.9474,46.2148,-2.7527,-2.7527,-0.5545,-0.8523,6.3118,0.6804,0.2635
2016-03-31,1.6342,0.7113,2.6069,-114.3121,-119.4324,-119.4324,-124.2134,-129.0561,0.076,1.5345,1.5142,59.4355,-51.4053,-51.4053,-9.6029,-14.8399,6.3658,0.5915,-0.1934
2015-12-31,1.7325,0.6203,1.6875,-127.4729,-132.8653,-132.8653,-138.3855,-130.217,0.0673,1.7494,1.4721,61.1391,-34.2992,-34.2992,-8.8692,-13.0237,9.6661,0.5409,-0.7518
2015-09-30,1.6895,0.5655,1.3613,-111.7386,-117.2088,-117.2088,-123.0633,-113.2466,0.0671,1.3398,1.7781,50.615,-25.0904,-25.0904,-7.572,-10.9009,13.3612,0.7178,-0.613
2015-06-30,1.8352,0.5269,1.1577,-56.6785,-61.4779,-61.4779,-64.1696,-47.0036,0.0729,1.1361,1.7333,51.9248,-10.1246,-10.1246,-3.3847,-4.7896,17.3606,1.0279,-0.425
2015-03-31,2.0077,0.4965,1.014,-67.4693,-71.346,-71.346,-74.693,-59.5714,0.0741,1.3278,1.7333,51.9239,-12.0114,-12.0114,-4.2914,-6.0475,19.2606,0.6894,-1.1058
2014-12-31,1.7488,0.4498,0.8387,-65.6398,-97.2617,-97.2617,-100.6846,-75.0922,0.0647,1.1735,1.4819,60.7346,-13.4022,-13.4022,-5.1334,-7.3742,21.6304,1.1051,-0.6622
2014-09-30,1.4238,0.4091,0.7601,22.665,19.8736,19.8736,18.5218,9.691,0.089,0.8025,2.469,36.4519,2.7112,2.9032,1.1004,1.6021,24.9673,1.8389,0.0707
2014-06-30,1.3567,0.4056,0.7907,25.8421,20.8801,20.8801,17.8559,8.7287,0.0863,0.7626,2.0022,44.9511,2.5714,2.7557,1.0311,1.5285,24.7036,1.3252,-0.5393
2014-03-31,1.7518,0.4367,0.8182,25.7172,22.2869,22.2869,19.7192,10.2307,0.0781,0.7094,2.0972,42.9148,2.4565,2.6563,0.9805,1.3837,24.5265,1.1504,-0.3937
2013-12-31,2.0893,0.447,0.8207,32.7952,28.0374,28.0374,24.9278,12.0136,0.0927,0.7882,2.297,39.181,3.8009,4.1132,1.5109,2.1019,24.3073,2.5137,0.7328
