Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2016-03-31,3.0057,0.291,0.4248,52.194,13.9738,13.9738,16.7714,12.5585,0.1054,4.3875,20.5127,2.4039,3.1163,1.3177,1.7044,36.3411,0.0,
2015-09-30,3.0893,0.3899,0.6522,59.3127,13.663,13.663,16.6003,15.4548,0.1475,4.4006,20.4518,4.2823,6.7989,1.9749,2.6127,26.5889,0.0,0.0
2015-06-30,3.5398,0.3527,0.5816,60.7667,20.933,20.933,24.2172,22.0933,0.1351,4.3571,20.6561,5.2593,8.0362,2.6494,3.4042,28.8768,-5.5046,-4.434
2012-12-31,4.2098,0.2711,0.4561,68.8058,45.4287,45.4287,52.2008,44.2658,0.1432,5.2182,17.2474,10.8728,13.7411,6.2333,7.9252,12.0189,1.326,0.958
2012-09-30,3.1155,0.0033,0.103,72.8589,52.744,52.744,55.3407,48.1177,0.1912,5.089,17.6853,12.851,14.987,9.1501,12.8085,10.5948,4.1786,3.476
2012-06-30,4.6907,0.0978,0.1135,72.1658,51.2541,51.2541,55.0687,50.7685,0.1898,7.2277,12.452,13.0754,15.4913,9.6341,11.7963,,0.0,0.0
2012-03-31,4.4255,0.1113,0.1298,70.672,49.0563,49.0563,51.5729,44.1589,0.1706,6.9226,13.0009,10.3218,12.6163,7.5315,9.1725,,0.0,
2011-12-31,3.5965,0.1239,0.1544,71.1225,52.103,52.103,53.7853,45.8996,0.1965,7.6498,11.765,12.895,16.2216,9.0193,11.2978,,3.6256,2.8455
2011-09-30,3.3133,0.1419,0.1761,73.1327,53.5574,53.5574,52.2591,45.0588,0.2011,6.4256,14.0066,13.4383,17.6702,9.0625,11.5312,,0.0,0.0
2011-06-30,3.6713,0.0124,0.0241,73.8702,54.6366,54.6366,55.9027,47.8047,0.2387,8.3173,10.8208,14.6662,15.0697,11.4132,14.4849,,0.0,0.0
2011-03-31,3.4356,0.0145,0.0285,78.6831,44.7,44.7,55.7594,47.849,0.1805,6.336,14.2046,11.294,11.6645,8.6368,11.1302,,0.0,
2010-12-31,3.4416,0.0101,0.0102,73.1147,52.6769,52.6769,53.0095,47.3545,0.2277,8.4727,10.6223,14.1715,14.4807,10.7816,14.0281,,2.0382,1.65
2010-09-30,3.6363,,,73.7871,52.8766,52.8766,53.1495,46.382,0.2461,7.9697,11.2927,14.6575,15.0366,11.4159,14.6574,,0.0,0.0
2010-06-30,3.7796,,,72.5469,51.0237,51.0237,50.8147,43.7478,0.2473,9.6778,9.2997,13.7557,14.1752,10.8205,13.7557,,0.0,0.0
2010-03-31,4.003,,,67.2574,40.8386,40.8386,42.7373,37.1308,0.1966,8.3931,10.7231,9.1069,9.4366,7.3006,9.1069,,0.0,
2009-12-31,3.46,,,63.909,36.8706,36.8706,39.4586,33.947,0.2046,7.7965,11.5436,8.9982,9.3651,6.9465,8.9983,,0.9587,0.786
2009-09-30,3.5861,,,65.4534,40.7058,40.7058,42.4408,38.5439,0.2327,7.7677,11.5864,11.439,11.9638,8.969,11.439,,0.0,0.0
2009-06-30,3.9795,,,63.7523,38.463,38.463,39.6204,34.9098,0.2347,8.1574,11.033,10.1525,10.6444,8.195,10.1526,,0.0,0.0
2009-03-31,3.6824,,,60.5396,24.1315,24.1315,25.7757,22.344,0.2018,10.561,8.5219,5.6274,5.9565,4.508,5.6275,,0.0,
