Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2018-06-30,1.4002,0.4449,0.8026,60.2463,22.0778,22.0778,19.3181,16.5127,0.1232,1.852,48.5973,4.4547,-6.9377,2.0529,2.4729,27.24,1.9366,1.4221
2018-03-31,0.5961,0.3427,0.7876,60.402,16.657,16.657,14.2313,10.5002,0.1203,1.7758,50.6815,2.811,-4.2664,1.3035,1.8477,27.7382,0.986,0.5227
2017-12-31,0.5966,0.3493,0.8349,61.9678,22.9577,22.9577,20.5486,20.5486,0.1159,1.8851,47.7424,5.3875,-7.6301,2.4124,3.5054,26.9692,1.702,1.2034
2017-09-30,0.673,0.3917,0.8549,64.3867,18.5314,18.5314,16.2913,11.5357,0.1173,1.8215,49.4094,3.1747,-4.2147,1.4124,1.9311,26.3808,2.3142,1.8367
2017-06-30,0.7449,0.3981,0.9192,65.7173,31.0377,31.0377,28.318,19.3066,0.1214,1.8527,48.5771,5.4391,-7.1316,2.3745,3.2738,25.593,1.8491,1.4422
2017-03-31,0.587,0.4083,0.9041,63.8548,26.2677,26.2677,23.516,18.4211,0.1226,1.8103,49.7152,5.2639,-6.1853,2.289,3.1145,24.5607,0.8507,0.5086
2016-12-31,0.5342,0.434,0.982,64.2661,26.3479,26.348,22.8033,15.352,0.1202,1.8491,48.6733,4.586,-4.6714,1.8727,2.5956,22.6964,2.3096,1.9569
2016-09-30,0.51,0.4339,1.0199,64.1836,26.3773,26.3773,23.6538,16.5154,0.1181,1.8426,48.8447,4.8396,-4.8431,1.9819,2.7398,23.306,2.0215,1.6252
2016-06-30,0.652,0.4917,1.1404,64.7726,27.8196,27.8196,24.812,16.1346,0.1222,1.9409,46.37,5.1483,-4.6053,2.0028,2.617,21.6547,1.57,1.2191
2016-03-31,0.3643,0.4265,1.2118,65.2204,24.1933,24.1933,21.1451,14.019,0.1082,1.7149,52.4825,4.043,-3.3506,1.5209,2.3185,21.284,0.8949,0.5621
2015-12-31,0.9301,0.3263,0.5053,66.2314,26.5496,26.5496,25.1688,16.7942,0.148,1.9048,47.249,4.8077,-9.8845,2.5103,3.2389,19.8012,1.9104,1.4772
2015-09-30,0.8428,0.3357,0.5877,66.0623,26.1163,26.1163,25.9065,17.6656,0.147,1.8658,48.2364,5.2789,-9.4401,2.6358,3.5068,19.1674,2.0557,1.7362
2015-06-30,0.7536,0.3418,0.6711,67.4384,27.7983,27.7983,23.3594,16.3693,0.1479,1.8417,48.8689,5.0983,-8.1269,2.4534,3.3558,18.6684,1.5499,1.2708
2015-03-31,0.7398,0.3435,0.6957,66.9991,23.6576,23.6576,21.1108,13.5471,0.1418,1.7971,50.0813,4.0919,-6.3304,1.9499,2.6863,18.4008,0.8455,0.668
2014-12-31,0.7174,0.3389,0.6829,65.642,26.4489,26.4489,24.2395,15.6901,0.134,1.8523,48.5879,4.4214,-6.9514,2.1197,2.9228,18.7152,1.6421,1.4599
2014-09-30,0.7184,0.3258,0.6557,65.6016,25.0571,25.0571,22.791,15.1125,0.1303,1.8932,47.5383,3.9814,-7.0411,2.0055,2.6843,19.6927,1.5405,1.3264
2014-06-30,0.7294,0.3194,0.6371,65.4178,27.2683,27.2683,24.5154,15.1165,0.1288,1.7779,50.6223,3.871,-7.1005,1.9827,2.6347,20.0427,1.2297,1.0751
2014-03-31,0.6601,0.3235,0.6821,64.6193,25.988,25.988,22.669,14.3542,0.1231,1.7334,51.9213,3.6026,-6.189,1.8168,2.4371,19.6353,0.5772,0.4285
2013-12-31,0.9787,0.3286,0.616,65.9118,26.6379,26.6379,21.0717,13.2584,0.1274,1.8679,48.1815,3.3704,-7.0271,1.7379,2.263,19.2043,1.5562,1.3792
2013-09-30,1.5839,0.3943,0.6584,65.5944,26.2238,26.2238,23.2692,14.5979,0.1303,1.8681,48.1783,3.9254,-7.0314,1.9611,2.3777,18.0527,1.4028,1.1993
2013-06-30,1.364,0.4027,0.7102,66.2293,26.9382,26.9382,24.5357,15.42,0.1342,1.8427,48.8414,4.3538,-7.0945,2.1104,2.6007,17.4773,1.1022,0.9612
2013-03-31,1.0781,0.4142,0.7935,65.5605,26.3019,26.3019,23.1951,17.8464,0.1291,1.8251,49.3133,4.1184,-5.9754,1.9192,2.4125,16.9527,0.5386,0.3867
2012-12-31,0.8333,0.4249,0.8834,63.1885,17.2724,17.2724,14.837,8.6737,0.1181,1.6839,53.447,2.3683,-2.949,1.0265,1.3621,16.2724,1.2012,1.0659
2012-09-30,1.8608,0.3356,0.5142,63.7692,25.0962,25.0962,22.8462,14.9808,0.1442,1.7514,51.3865,4.2003,-11.7255,2.1936,2.7905,15.7854,1.2435,1.1211
2012-06-30,1.7597,0.3424,0.53,63.5301,25.1315,25.1315,22.8911,14.8841,0.1458,1.7465,51.5313,4.1851,-10.4096,2.1726,2.7521,15.2579,1.2121,1.0961
2012-03-31,1.7409,0.346,0.5384,62.9571,25.3608,25.3608,22.8899,14.1332,0.1438,1.6988,52.9789,4.0173,-9.5319,2.0833,2.6273,15.1545,0.3946,0.2296
2011-12-31,1.2521,0.3594,0.5884,69.1717,27.8267,27.8267,24.9379,16.7908,0.1259,1.558,57.7657,4.2448,-8.2608,2.0775,2.7194,14.3988,1.2034,1.0773
2011-09-30,1.2499,0.3517,0.5804,61.9494,24.7961,24.7961,22.1248,13.6011,0.1396,1.7781,50.6158,3.8843,-8.3213,1.973,2.5183,14.7325,0.9208,0.793
2011-06-30,1.4613,0.3484,0.5445,61.2605,23.527,23.527,18.7436,7.0827,0.1396,1.7842,50.4414,2.0581,-4.8057,1.0633,1.341,14.7271,0.9946,0.8523
2011-03-31,1.4076,0.3552,0.5738,59.3737,23.0851,23.0851,20.2285,12.1244,0.1362,1.667,53.9886,3.3507,-6.9066,1.7095,2.1606,14.3886,0.1852,-0.0249
2010-12-31,1.3556,0.3643,0.5851,59.8963,22.7593,22.7593,19.9585,12.9046,0.1402,1.8355,49.0332,3.7462,-7.1445,1.8618,2.3816,14.0033,1.1388,1.0048
2010-09-30,1.4317,0.3633,0.5829,60.2786,23.2588,23.2588,20.4517,16.1461,0.1394,1.7799,50.5656,3.6797,-7.6877,1.8706,2.3427,14.0065,0.5575,0.428
2010-06-30,1.2794,0.3684,0.6355,59.1274,22.9651,22.9651,20.0781,15.4765,0.1342,1.7685,50.89,3.5619,-6.7762,1.7424,2.2496,13.4312,0.7968,0.6616
2010-03-31,1.0405,0.3733,0.6901,57.088,23.544,23.544,20.2257,12.7991,0.1264,1.7137,52.5169,3.361,-5.622,1.5946,2.1064,13.1374,0.2943,-0.096
2009-12-31,0.8468,0.3803,0.727,58.1267,18.9743,18.9743,15.6995,14.4955,0.117,1.6053,56.0631,3.3498,-4.8708,1.5237,2.0761,12.7972,1.1713,1.0185
2009-09-30,0.6663,0.3214,0.6838,58.2353,23.5294,23.5294,20.2588,14.0471,0.1278,1.6885,53.3012,3.6713,-5.906,1.7255,2.4914,12.3695,0.9607,0.8268
2009-06-30,0.6026,0.3472,0.7758,57.9585,23.7707,23.7707,21.114,13.8895,0.1294,1.6867,53.3582,3.8924,-5.4902,1.7462,2.5408,11.7682,0.79,0.6416
2009-03-31,0.6324,0.3972,0.8943,58.1281,22.6153,22.6153,19.9507,12.1809,0.1361,1.6929,53.1617,3.9988,-4.7985,1.6759,2.4105,10.8986,0.3493,0.2316
