Date,current-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-01-31,3.9146,74.2783,25.9421,25.9421,31.4416,26.87,33.5391,0.5429,9.7692,37.3624,23.7999,23.9141,18.2172,23.7999,19.3288,0.3142,0.1489
2021-01-31,3.804,68.9976,24.8871,24.8871,29.9095,25.573,25.3276,0.5004,8.9967,40.5702,17.4141,17.5245,12.69,17.4141,13.152,4.3374,4.219
2020-01-31,3.2817,81.4672,2.039,2.039,10.6392,4.2338,3.4931,0.4827,5.1701,70.5986,3.0344,3.0344,1.9619,3.0344,2.992,0.1548,0.2501
2019-01-31,1.8164,81.5438,1.8659,1.8659,10.2912,2.526,,0.9322,5.1957,70.2498,-101.9492,-101.9492,2.139,-101.9492,-0.0824,0.1938,0.0734
2018-01-31,,79.6802,-3.1906,-3.1906,4.6053,-2.3224,-5.4312,,,,,,,,,0.2487,0.124
