,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-09-30,0,0,0,0,0,0,0,0,0,1023,0,0,0,0,0,0,0,-1141,0,0,0,0,0,0,554,666,0
2022-06-30,0,0,0,0,0,0,0,0,0,5055,0,0,0,0,0,0,0,-4655,0,0,0,0,0,0,-1793,-922,0
2022-03-31,0.00000,,,,,,,,,-549.00000,,,,,,,,719.00000,,,,,,,2000.00000,2097.00000,
2021-12-31,-701,978,3298,4276,-884,-2620,5113,702,3063,1077.431,-2240,-1232,-50,-8524,428,-8096,-33,-3043.341,-514,181,-333,-813,-813,4206,-498.641,-2689.981,1433
2021-09-30,0,0,0,0,0,0,0,0,0,2249.015,0,0,0,0,0,0,0,-4626.387,0,0,0,0,0,0,948.701,-1380.617,0
2021-06-30,0,0,0,0,0,0,0,0,0,4457.617,0,0,0,0,0,0,0,-2816.494,0,0,0,0,0,0,2700.259,4192.902,0
2021-03-31,0.00000,,,,,,,,,-1146.06300,,,,,,,,-1164.77800,,,,,,,-90.31900,-2310.30400,
2020-12-31,7561.264,929.909,-4833.488,-3903.579,-63.162,122.507,1700.35,239.556,2862.517,1021.977,217.122,-235.65,102.89,-5455.651,-1966.218,-7421.869,-1522.353,-2363.872,1012.735,-278.3291,734.4059,4791.673,4859.572,5298.22,3872.789,2062.854,636.926
2020-09-30,0,0,0,0,0,0,0,0,0,1949.079,0,0,0,0,0,0,0,-2025.237,0,0,0,0,0,0,856.582,391.801,0
2020-06-30,0,0,0,0,0,0,0,0,0,3766.985,0,0,0,0,0,0,0,-3313.205,0,0,0,0,0,0,4032.221,4477.696,0
2020-03-31,0.00000,,,,,,,,,-217.83900,,,,,,,,-1157.54600,,,,,,,2130.60800,841.28100,
2019-12-31,541.618,218.947,-334.207,-115.2599,-9.204,-1404.409,489.551,202.088,-333.26,93.098,-477.4671,-41.522,-5.944,-96.912,-82.374,-179.286,952.626,248.407,819.145,-834.284,-15.139,2.409,2.409,454.349,441.619,729.942,158.096
2019-09-30,1166.286,618.201,233.187,851.3881,574.689,-594.443,1003.072,115.846,1448.828,41.098,475.487,-113.69,0,-3132.572,-874.829,-4007.401,-244.011,-665.802,-543.703,-23.22,-566.923,-5.117,-5.117,499.933,365.614,-146.502,372.65
2019-06-30,0,0,0,0,0,0,0,0,0,2930.224,0,0,0,0,0,0,0,-3059.463,0,0,0,0,0,0,-56.872,-124.155,0
2019-03-31,0.00000,,,,,,,,,495.18000,,,,,,,,-164.35000,,,,,,,-380.84900,-113.07900,
2018-12-31,-407.322,808.673,838.598,1647.271,623.519,-340.638,795.096,-55.267,1797.128,874.396,-2487.439,-620.625,-2.848,950.489,-2914.14,-1963.651,1281.531,-314.454,-1319.121,-2.993,-1322.114,490.806,2811.916,142.069,-572.673,-32.005,532.323
2018-09-30,0,0,0,0,0,0,0,0,0,-317.795,0,0,0,0,0,0,0,-403.642,0,0,0,0,0,0,1474.761,837.034,0
2018-06-30,0,0,0,0,0,0,0,0,0,3081.969,0,0,0,0,0,0,0,-2924.896,0,0,0,0,0,0,-1391.677,-982.067,0
2018-03-31,0.00000,,,,,,,,,-601.49300,,,,,,,,-150.04000,,,,,,,2121.46000,1297.46900,
2017-12-31,-2.862,644.409,288.4,932.809,-83.917,-1965.531,4012.448,197.033,2885.013,3814.96,-506.322,-736.873,-2424.24,-319.25,-2125.538,-2444.788,348.875,-5763.351,862.3379,-254.66,607.6779,20.864,20.864,2327.821,2956.363,909.37,427.288
2017-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30,0,0,0,0,0,0,0,0,0,-637.58,0,0,0,0,0,0,0,1233.268,0,0,0,0,0,0,-1160.704,-559.695,0
2017-03-31,0.00000,,,,,,,,,637.58000,,,,,,,,-1233.26800,,,,,,,1160.70400,559.69500,
2016-12-31,-491.678,523.311,797.8911,1321.202,-1396.69,-1205.514,1972.302,380.049,433.1889,1262.713,-341.644,-104.965,0,-609.353,-3722.078,-4331.431,-2174.081,-6952.121,2374.949,762.366,3137.315,-757.004,195.36,2529.268,5861.943,274.784,337.575
2016-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-30,0,0,0,0,0,0,0,0,0,-361.2015,0,0,0,0,0,0,0,133.6477,0,0,0,0,0,0,-1802.1,-2021.112,0
2016-03-31,0.00000,,,,,,,,,361.20150,,,,,,,,-133.64770,,,,,,,1802.10000,2021.11200,
2015-12-31,0,0,1255.247,0,-1141.657,-1288.817,2024.311,0,0,0,0,0,0,0,0,0,-282.651,0,0,0,0,0,0,22.567,0,0,0
2015-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-30,0,0,0,0,0,0,0,0,0,-386.0231,0,0,0,0,0,0,0,434.3971,0,0,0,0,0,0,300.4458,358.0583,0
2015-03-31,0.00000,,,,,,,,,386.02310,,,,,,,,-434.39710,,,,,,,-300.44580,-358.05830,
2014-12-31,-805.26,266.01,0,266.01,0,0,0,0,-2.13,163.59,-229.59,0,0,0,0,-1951.21,52.83,-2127.97,0,152.2,0,0,2812.05,0,2964.25,983.51,0
2014-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
