,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,511,108.3,3,111.3,-273.1,-278.5,62.5,326.2,83,705.3,-92.5,0,2.8,2.8,9.1,-80.6,-271.1,0,-271.1,-99.2,-99.2,-119,-5.5,-494.8,184.1,25.3,-119
2022-09-30,500.5,102.6,22.7,125.3,0,0,0,-49.8,-49.8,576,-119.3,-213.7,51.9,51.9,7.9,-273.2,-20.2,-24.8,-45,-98.3,-98.3,-119.1,-0.4,-262.8,-26.2,23.6,-119.1
2022-06-30,476.1,90.9,26,116.9,0,0,0,-50.5,-50.5,542.5,-90.1,-74.5,-71.4,-71.4,2.8,-233.2,-8.6,4.7,-3.9,-163.7,-163.7,-119.5,-0.8,-287.9,-32.3,20.9,-119.5
2022-03-31,429.20000,91.10000,33.10000,124.20000,,,,-202.60000,-202.60000,350.80000,-76.30000,,-64.50000,-64.50000,-3.30000,-144.10000,136.10000,20.10000,156.20000,-184.00000,-184.00000,-119.80000,-3.60000,-151.20000,50.40000,19.70000,-119.80000
2021-12-31,457.7,121.1,-24.6,96.5,-398.4,-263,131.7,386.8,-83.6,470.6,-84.9,-694.4,-9.9,-9.9,716.4,-72.8,-422.9,0,-422.9,-63.1,-63.1,-86.7,-10.8,-583.5,-182.5,22.8,-86.7
2021-09-30,421.7,95.2,65.7,160.9,0,0,0,-221.8,-221.8,360.8,-90.1,0,-1.3,-1.3,1.4,-90,43.1,0,43.1,-93.3,-93.3,-86.6,-44.9,-181.7,82.7,21.2,-86.6
2021-06-30,368.9,102.6,-4.8,97.8,0,0,0,-79,-79,387.7,-104.2,-1345.4,0.3,0.3,-12.2,-1461.5,203.3,0,203.3,-85.1,-85.1,-86.6,2.2,33.8,-1030.7,19.9,-86.6
2021-03-31,331.80000,76.70000,33.30000,110.00000,,,,-120.80000,-120.80000,321.00000,-77.50000,-185.60000,2.30000,2.30000,-2.40000,-263.20000,812.30000,,812.30000,-131.70000,-131.70000,-86.80000,-7.60000,586.20000,625.60000,19.10000,-86.80000
2020-12-31,360.2,90.1,56.1,146.2,-146.3,-102,204.3,-124.5,-65.4,441,-70.1,-0.1,-0.2,-0.2,-0.6,-71,-1.4,0,-1.3999,-53,-53,-74.6,-3.4,-132.4,281.5,19.5,-74.6
2020-09-30,349.4,74.4,8.1,82.5,0,0,0,-33.3,-33.3,398.6,-67.6,-33.8,-9.4,-9.4,0,-110.8,-2.3,0,-2.3,-97.9,-97.9,-74.6,-18,-192.8,132.2,19,-74.6
2020-06-30,260.5,71.5,8.3,79.8,0,0,0,27.8,27.8,368.1,-66.8,0,-14.5,-14.5,0,-81.3,-1592,250,-1342,122.5,122.5,-74,-85.3,-1378.8,-1084,16.6,-74
2020-03-31,243.20000,72.10000,28.80000,100.90000,,,,40.20000,40.20000,384.30000,-59.60000,-16.50000,5.70000,5.70000,,-70.40000,1747.80000,-250.70000,1497.10000,-227.20000,-227.20000,-74.40000,-8.10000,1187.40000,1481.10000,15.40000,-74.40000
2019-12-31,320.8,76.7,69.3,146,117.3,-3.4,-60.2,25.7,-42.7,424.1,-71.7,-46.2,0.1,0.1,0,-117.8,-366.4999,0,-366.4999,56.8,56.8,-74,-18.3,-402,-78.1,16.6,-74
2019-09-30,282.4,72,17,89,0,0,0,40.8,40.8,412.2,-71.5,-135,-1.4,-1.4,0,-207.9,15.6,0,15.6,-117.2,-117.2,-68.3,-21.5,-191.4,-13,16.6,-68.3
2019-06-30,290.9,77.8,-7.5,70.3,0,0,0,-38.8,-38.8,322.4,-74.2,-356.9,3.1,3.1,0,-428,399.5,0,399.5,-182.7,-182.7,-68.5,-21.7,126.6,12.6,15.4,-68.5
2019-03-31,269.90000,85.60000,13.70000,99.30000,,,,-25.60000,-25.60000,343.60000,-70.20000,-399.30000,-5.60000,-5.60000,,-475.10000,9.70000,,9.70000,-112.50000,-112.50000,-68.70000,-10.10000,-181.60000,-309.60000,14.40000,-68.70000
2018-12-31,341.2,105.2,44.7,149.9,-237.9,-173.3,48.8,201.4,-112.9001,378.2,-101.2,0,9.7,9.7,0,-91.5,320.7,0,320.7,-247.3,-247.3,-69.3,-5.6,-1.5,281,15.2,-69.3
2018-09-30,319.6,72.3,9.8,82.1,0,0,0,-64.4,-62.5,339.2,-71.8,-0.1,4.7,4.7,0,-67.2,-180.2,0,-180.2,37.5,37.5,-68.9,-11.1,-222.7,33.9,14.4,-68.9
2018-06-30,287.8,61.7,-23.4,38.3,0,0,0,-61.1,-61,265.1,-78.5,-59.3,-3,-3,0,-140.8,176.2,0,176.2,-233.3,-233.3,-57.4,-3.2,-117.7,-35.8,13.3,-57.4
2018-03-31,268.30000,60.50000,12.50000,73.00000,,,,-132.10000,-211.10000,130.20000,-54.10000,-99.50000,11.30000,11.30000,,-142.30000,-304.80000,,-304.80000,-361.40000,-361.40000,-58.10000,-3.90000,-728.20000,-718.90000,12.70000,-58.10000
2017-12-31,-100.4,58.3,199.5,257.8,-146.5,-100.4,140.5,346.9,270.4,427.8,-68.7,-22,3.5,3.5,0,-87.2,-19.5,0,-19.5,-12.7,-12.7,-57.9,-2.3,-92.4,266.9,12.6,-57.9
2017-09-30,280.2,57.9,6.1,64,0,0,0,-135.7,-146,198.2,-54.3,-44.5,6.3,6.3,0,-92.5,-201.4,364.1,162.7,-94.3,-94.3,-48.9,-2.5,17,135.3,12.7,-48.9
2017-06-30,253.6,56.5,13.8,70.3,0,0,0,-53.1,-43.5,280.4,-51.1,-152.4,-5.9,-5.9,0,-209.4,524,-364.1,159.9,-101.4,-101.4,-48.9,-20.6,-11,74,12.3,-48.9
2017-03-31,227.30000,54.10000,16.60000,70.70000,,,,-60.20000,-60.20000,237.80000,-48.40000,-46.60000,103.90000,103.90000,,8.90000,225.30000,,225.30000,-225.50000,-225.50000,-49.30000,-4.20000,-53.70000,208.30000,12.10000,-49.30000
2016-12-31,238.3,53.4,-29,24.4,-165.9,-14.2,47.8,62.4,86.2,348.9,-51.4,-32.5,16.1,16.1,0,-67.8,37.4,0,37.4,-69.8,-69.8,-43.3,10.2,-65.5,181,12.1,-43.3
2016-09-30,227.1,51.2,58.2,109.4,0,0,0,-45.6,-45.6,290.9,-46.6,-86.8,-132.2,-132.2,0,-265.6,127.7,0,127.7,-68.2,-68.2,-43.1,15,31.4,59.6,12.3,-43.1
2016-06-30,208.8,50.5,-17.4,33.1,0,0,0,1.7,1.7,243.6,-47.4,0,-4.8,-4.8,0,-52.2,-32.7,0,-32.7,-6,-6,-43.1,12.2,-69.6,107,11.6,-43.1
2016-03-31,158.40000,61.90000,-38.50000,23.40000,,,,12.40000,12.40000,194.20000,-38.30000,-1185.80000,-3.00000,-3.00000,,-1227.10000,50.80000,,50.80000,-34.60000,-34.60000,-43.20000,-2.80000,-29.80000,-1050.20000,11.60000,-43.20000
2015-12-31,202.6,43.5,25.2,68.7,-22.3,-5.2,-17.5,43.1,51,322.3,-39.3,0,-1.7,-1.7,0,-41,-26.5,0,-26.5,-34.7,-34.7,-43.2,6.8,-97.6,161.6,12.1,-43.2
2015-09-30,207.3,44.6,48.9,93.5,0,0,0,-15.4,-15.4,285.4,-41.2,-28,131.4,131.4,0,62.2,93.6,0,93.6,-46.4,-46.4,-38.6,-1.4,7.2,332.8,11.9,-38.6
2015-06-30,180.6,43.4,0.4,43.8,0,0,0,10.1,10.1,234.5,-43.2,-95.7,226.7,226.7,0,87.8,0.9,0,0.9,-57.2,-57.2,0,4.3,-52,272.9,10.1,0
2015-03-31,181.80000,40.10000,-33.60000,6.50000,,,,,,188.30000,-39.70000,-76.10000,-20.50000,-20.50000,,-136.30000,85.60000,,85.60000,-46.20000,-46.20000,-77.50000,0.40000,-37.70000,1.00000,10.10000,-77.50000
2014-12-31,194.8,50.1,33.6,83.7,-111.5,-51.6,66.8,5.5,-5,273.5,-43,-50.2,8.2,8.2,0,-85,49.0999,0,49.0999,-129.6,-129.6,0,2.3,-78.2,95.9,12,0
2014-09-30,184.2,40.4,15.6,56,0,0,0,-16.1,-16.1,224.1,-56,-448.5,-5.8,-5.8,0,-510.3,280.6001,0,280.6001,-120.1,-120.1,-70.5,4.6,94.6,-207.1,10.2,-70.5
2014-06-30,176.4,37.7,-36.5,1.2,0,0,0,3,3,180.6,-50.8,-10.5,-86.9,-86.9,0,-148.2,119.8,0,119.8,-84.5,-84.5,-31.4,14.8,18.7,56.8,9.9,-31.4
2014-03-31,159.80000,39.90000,-3.60000,36.30000,,,,6.60000,6.60000,202.70000,-53.70000,-9.00000,24.30000,24.30000,,-38.40000,90.50000,,90.50000,-107.40000,-107.40000,,-4.10000,-21.00000,136.50000,9.30000,0.00000
2013-12-31,168.83,34.969,31.618,66.587,-37.1,-8,6.9,-24.541,-24.041,211.376,-51.044,-440.864,88.862,88.862,0,-403.046,421.1,-163.757,257.343,-12.212,-12.212,-63.328,2.028,183.831,-2.516,9.516,-63.328
2013-09-30,161.389,34.769,9.057,43.826,0,0,0,-8.297,-8.297,196.918,-39.031,0,24.678,24.678,0,-14.353,0,87.016,87.016,-100.484,-100.484,-16.716,-2.515,-32.699,165.707,9.409,-16.716
2013-06-30,154.868,34.17,-13.003,21.167,0,0,0,4.517,4.517,180.552,-35.742,-44.237,-131.984,-131.984,0,-211.963,0,94.656,94.656,-62.286,-62.286,-16.756,6.814,22.428,-11.334,8.892,-16.756
2013-03-31,153.61300,32.59200,-12.57200,20.02000,,,,6.62100,6.62100,180.25400,-28.88300,0.20100,-35.25600,-35.25600,,-63.93800,,-17.91500,-17.91500,-54.61800,-54.61800,,7.47300,-65.06000,44.14300,8.28300,
2012-12-31,141.559,32.461,49.227,81.688,-123.9,-45.9,99.4,-7.55,-16.15,207.097,-31.985,-71.903,-84.303,-84.303,0,-188.191,-169.2299,270.36,101.1301,-128.608,-128.608,-33.715,3.326,-57.867,-34.76,8.233,-33.715
2012-09-30,148.8,30.748,-4.278,26.47,0,0,0,0.728,0.728,175.998,-31.197,-97.248,-32.895,-32.895,0,-161.34,0,61.504,61.504,9.32,9.32,-16.885,5.065,59.004,79.532,8.066,-16.885
2012-06-30,141.893,29.592,-47.062,-17.47,0,0,0,2.978,2.978,127.401,-30.61,-82.349,-12.201,-12.201,0,-125.16,0,148.983,148.983,-105.845,-105.845,-17.052,2.595,28.681,25.031,7.61,-17.052
