,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-1922.2,-2416.8,-717.8,-3134.6,495.7,134.6,-369.4,-450.1,323.6001,-4733.2,4532.8,1299.2,34.7999,34.7999,-44.3,5822.5,-1629,-88.3001,-1717.3,-827.2,-827.2,1212.5,116.8,-1215.2,-125.9,1212.5
2022-09-30,683.3,821.8,594.5,1416.3,-49.9,-24.1,-115.4,126.9,-357.1001,1742.5,-1603.2,-24.2,-24.8999,-24.8999,28.8,-1623.5,-321.5,572.3001,250.8,14.5,14.5,-409,-19.2,-162.9,-43.9,-409
2022-06-30,520.8,779.7,120.5,900.2,-421.5,-138.1,485.8,187.7,-52.5,1368.5,-1243,-36.6,1.2,1.2,-27.4,-1305.8,1516.6,-1250.3,266.3,3.2,3.2,-404.7,-31.8,-167,-104.3,-404.7
2022-03-31,718.10000,815.30000,2.80000,818.10000,-24.30000,27.60000,-1.00000,135.50000,86.00000,1622.20000,-1686.60000,-1238.40000,-11.10000,-11.10000,42.90000,-2893.20000,433.90000,766.30000,1200.20000,809.50000,809.50000,-398.80000,-65.80000,1545.10000,274.10000,-398.80000
2021-12-31,538.6,942.5,-870.6,71.9,79.5,-47.2,93,-558.7,256.4,866.9,-1471.1,-41.3,-13.0999,-13.0999,-2.2,-1527.7,-34.2,110,75.8,52.5,52.5,-396.8,-46,-314.5,-975.3,-396.8
2021-09-30,796.9,700.3,251.5,951.8,16.3,215.1,10.1,172.6,180.4,1929.1,-1298,-383.1,-9.6001,-9.6001,14.3,-1676.4,1440.5,-624,816.5,291.1,291.1,-376.2,82.9,814.3,1067,-376.2
2021-06-30,573.8,651.8,263,914.8001,-202.6,92.8,-74.3,13.2,-327.5,1161.1,-1278.9,-288.5,-18.9,-18.9,-9.3,-1595.6,740.9,79.6,820.5,72.3,72.3,-374.5,-48.1,470.2,35.7,-374.5
2021-03-31,578.80000,751.80000,-1268.00000,-516.20010,-12.90000,39.50000,171.80000,-297.40000,-179.80000,-117.20000,-1492.70000,-158.80000,-12.10000,-12.10000,29.40000,-1634.20000,1285.80000,569.10000,1854.90000,184.60000,184.60000,-372.00000,-30.40000,1637.10000,-114.30000,-372.00000
2020-12-31,434.7,740.9,-462.1,278.8,9.6,-45.5,-57.2,-232.7,197.2,910.7,-1484.8,-1.3,2,2,-42.5,-1526.6,985.6,82.3,1067.9,18.5,18.5,-369.2,-126.8,590.4,-25.5,-369.2
2020-09-30,748.2,700.3,134.4,834.7,-58.2,22.9,86.6,-119.7,-406.9,1176,-1445.5,-30.7,-19.4,-19.4,35.9,-1459.7,1272.2,-679.6,592.6,25.5,25.5,-351.1,-24.2,242.8,-40.9,-351.1
2020-06-30,514.5,770,165.5,935.4999,-48.1,-84.5,46.4,-162.8,-319.5,1130.5,-1452.2,-36.4,-20,-20,27,-1481.6,863.8,-1387.5,-523.7,54.9,54.9,-340.9,-5.3,-815,-1166.1,-340.9
2020-03-31,499.30000,695.60000,91.30000,786.90010,-32.60000,-35.80000,-111.10000,-397.10000,-670.50000,615.70000,-1792.70000,-1.30000,2.90000,2.90000,25.10000,-1766.00000,1103.00000,1625.80000,2728.80000,56.10000,56.10000,-363.70000,-32.70000,2388.50000,1238.20000,-363.70000
2019-12-31,152.7,794.9,-381.3,413.6,122.8,-131.6,38.2,-174.3,353.9,920.2,-1715.4,2.5,-4.5001,-4.5001,-69.5,-1786.9,825.7,328.3,1154,20.6,20.6,-348,-17.1,809.5,-57.2,-348
2019-09-30,733.9,670.7,301.7,972.4,-40.5,-2,40,35.1,-157.2,1549.1,-1349.3,-398.2,-41.3,-41.3,26.2,-1762.6,406.5,233,639.5,12.4,12.4,-333.9,-4.4,313.6,100.1,-333.9
2019-06-30,459.1,643.6,-13.5,630.1001,108,-88.2,80.2,-103.6,-96.7,992.5,-1421.3,-582.6,-17.5,-17.5,9.2,-2012.2,962.2,419,1381.2,17.8,17.8,-334.5,-18.2,1046.3,26.6,-334.5
2019-03-31,574.10000,630.90000,20.90000,651.79990,57.50000,-26.40000,-152.60000,-219.10000,-417.60000,808.30000,-1565.40000,-32.40000,-18.50000,-18.50000,33.50000,-1582.80000,1050.70000,-52.00000,998.70000,14.50000,14.50000,-333.60000,13.90000,693.50000,-81.00000,-333.60000
2018-12-31,364.8,622.3,-354,268.3,198.2,-78,81.6,55,657.5,1290.6,-1622.5,-20,-17.5002,-17.5002,-4.9,-1664.9,545.8,-332.6,213.2,11.1,11.1,-333,-10.4,-119.1,-493.4,-333
