,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,515,186,141,327,-151,-76,109,155,149,991,-192,0,-82,0,-82,6,-268,0,-226,-226,-16,-16,-407,-2,-651,65,49,-407
2022-09-30,470,188,-55,133,0,0,0,182,182,798,-203,0,521,0,521,-558,-240,-12,-66,-78,-16,-16,-392,-3,-489,51,33,-392
2022-06-30,441,192,91,283,0,0,0,21,21,740,-216,-12,-472,0,-472,539,-161,0,-281,-281,28,28,-473,-27,-753,-182,52,-473
2022-03-31,535.00000,188.00000,-152.00000,36.00000,,,,-369.00000,-369.00000,204.00000,-253.00000,-34.00000,172.00000,,172.00000,-1.00000,-116.00000,-300.00000,834.00000,534.00000,-2.00000,-2.00000,-384.00000,-15.00000,133.00000,223.00000,16.00000,-384.00000
2021-12-31,361,194,31,225,-37,-417,627,433,478,1062,-261,0,-48,0,-48,-11,-320,600,-951,-351,6,6,-402,-8,-755,-16,-4,-402
2021-09-30,479,194,49,243,0,0,0,63,63,782,-234,0,417,0,417,-432,-249,-16,-106,-122,-37,-37,-385,-3,-547,-20,-12,-385
2021-06-30,410,189,50,239,0,0,0,-95,-95,565,-171,0,-499,0,-499,428,-242,0,216,216,-145,-145,-406,-7,-342,-14,20,-406
2021-03-31,594.00000,189.00000,-60.00000,129.00000,,,,-400.00000,-400.00000,321.00000,-298.00000,,48.00000,,48.00000,5.00000,-245.00000,-248.00000,744.00000,496.00000,-159.00000,-159.00000,-359.00000,-30.00000,-52.00000,17.00000,22.00000,-359.00000
2020-12-31,546,190,127,317,95,-96,239,-341,71,887,-297,-1083,42,0,42,10,-1328,-98,-64,-162,-246,-246,-401,14,-795,-1215,46,-401
2020-09-30,483,192,75,267,0,0,0,-198,-198,559,-258,0,-36,0,-36,7,-287,100,170,270,-109,-109,-365,-1,-205,70,47,-365
2020-06-30,692,201,56,257,0,0,0,634,634,1579,-279,0,-60,0,-60,8,-331,0,-385,-385,-22,-22,-365,-15,-787,469,39,-365
2020-03-31,675.00000,213.00000,-39.00000,174.00000,,,,-144.00000,-144.00000,704.00000,-352.00000,,-9.00000,,-9.00000,2.00000,-359.00000,989.00000,-282.00000,707.00000,-106.00000,-106.00000,-357.00000,-24.00000,220.00000,537.00000,15.00000,-357.00000
