,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-31,65.6,89,89.1,178.1,-33.8,-40.4,49.9,-93.7,-113,130.7,-94.9,-4.8,0,0,-99.7,-3.9,-133.4,-137.3,18.7,18.7,-1.5,-14,-134.1,-108,54.2,-1.5
2022-07-31,98.4,81.7,40.1,121.8,0,0,0,43.7,43.7,263.9,-46.6,0.1,0,0,-46.5,-0.6,-369.6,-370.2,-6,-6,0,7.5,-368.7,-153,0,0
2022-04-30,126.5,93.4,-29.5,63.9,0,0,0,-58.6,-58.6,131.8,-43.4,27.7,0,0,-15.7,-0.4,1.9,1.5,1.8,1.8,-1.5,1.1,2.9,116.4,0,-1.5
2022-01-31,95.30000,82.00000,-17.50000,64.50000,,,,6.20000,6.20000,166.00000,-57.10000,-1612.20000,,,-1669.30000,954.40000,830.40000,1784.80000,-76.90000,-76.90000,,-14.30000,1693.60000,186.60000,,
2021-10-31,110.3,77.4,55.1,132.5,-75.5,-9.2,-16,-36.7,-68.3,174.5,-65,-1,0,0,-66,215.8,-354.3,-138.5,29.4,29.4,-1.5,-13.2,-123.8,-16.4,43.8,-1.5
2021-07-31,615.8,78.9,-450.7,-371.8,0,0,0,-20.2,-20.2,223.8,-43.6,-64,0,0,-107.6,-145.1,27.6,-117.5,7.6,7.6,0,1.3,-108.6,6.6,0,0
2021-04-30,117.5,77.5,9.1,86.6,0,0,0,-11.5,-11.5,192.6,-49.9,-91.1,0,0,-141,-89.1,14.2,-74.9,1.3,1.3,-1.5,9.7,-65.4,-13.3,0,-1.5
2021-01-31,2101.10000,75.50000,-1979.00000,-1903.50000,,,,-49.90000,-49.90000,147.70000,-55.90000,-79.80000,,,-135.70000,29.80000,-8.80000,21.00000,-23.60000,-23.60000,,-11.00000,-13.60000,2.90000,,
2020-10-31,81.2,77.1,29.9,107,8.5,-62.3,23.2,82.4,30.1,218.3,-107,-36.2,0,0,-143.2,-99.6998,8.5,-91.1998,22.2,22.2,-1.5,-14.8,-85.3,-11.5,37.6,-1.5
2020-07-31,55.2,70.6,23.1,93.7,0,0,0,-36.1,-36.1,112.8,-45.1,-6.7,0,0,-51.8,-17.1001,-3,-20.1001,1.5,1.5,0,0,-18.6,47.5,0,0
2020-04-30,11.5,68.8,14.7,83.5,0,0,0,-69.2,-69.2,25.8,-89.3,-1.8,0,0,-91.1,109.8,10.8,120.6,-55.3,-55.3,-1.5,7.8,71.6,3.4,0,-1.5
2020-01-31,90.50000,70.60000,19.20000,89.80000,,,,-50.60000,-50.60000,129.70000,-69.00000,-9.40000,,,-78.40000,-29.10000,-20.80000,-49.90000,,,,-13.30000,-63.20000,-12.10000,,
2019-10-31,121,70.6,26.3,96.9,-55.6,-37.3,3.6,29.5,-18,199.9,-84.8,-0.1,0,0,-84.9,-160.9999,173.5,12.5001,-127.8,-127.8,-1.5,-22.3,-139.1,-23.7,35.1,-1.5
2019-07-31,120.2,70.7,8.2,78.9,0,0,0,-2.4,-2.4,196.7,-75.4,-8.3,0,0,-83.7,-50.0001,-65.6,-115.6001,12,12,0,0,-103.6,8.3,0,0
2019-04-30,122.3,70.7,-11.8,58.9,0,0,0,33.6,33.6,214.8,-52.7,-0.8,0,0,-53.5,-215,9.9,-205.1,-4.3,-4.3,-1.5,9,-201.9,-42,0,-1.5
2019-01-31,103.20000,68.80000,-16.90000,51.90000,,,,-53.30000,-53.30000,101.80000,-79.20000,-50.00000,,,-129.20000,-299.00000,407.50000,108.50000,-6.10000,-6.10000,,-9.20000,93.20000,66.70000,,
2018-10-31,100.7,70.5,-195.3,-124.8,-59.5,-5,2.9,236.7,260.7,236.6,-43.4,-3.1,0,0,-46.5,-265.9999,-7.4,-273.3999,22.3,22.3,-1.4,-10.8,-263.3,-75.4,43.2,-1.4
2018-07-31,100.8,69,18.9,87.9,0,0,0,46.5,46.5,235.2,-52.3,-0.1,0,0,-52.4,-194,4.6,-189.4,10.5,10.5,0,-9.7,-188.6,-9.3,0,0
2018-04-30,60.9,69,51.6,120.6,0,0,0,-10.6,-10.6,170.9,-46.5,-127.5,0,0,-174,69,11.6,80.6,-10.5,-10.5,-1.5,10.3,78.9,73.2,0,-1.5
2018-01-31,-122.50000,66.60000,259.10000,325.70000,,,,-177.00000,-177.00000,26.20000,-51.40000,-1193.20000,,,-1244.60000,1227.00000,4.80000,1231.80000,,,,-14.40000,1217.40000,2.90000,,
2017-10-31,88.6,47.2,10.7,57.9,-25.1,-30.9,25,54.7,52.5,199,-31.8,-57.1,0,0,-88.9,-31,-9.4,-40.4,-14.8,-14.8,-1.4,-10.4,-67,42.8,37.2,-1.4
2017-07-31,103.6,47.2,2.9,50.1,0,0,0,0.8,0.8,154.5,-38.1,-23.2,0,0,-61.3,-164.7999,-9.9,-174.6999,0,0,0,3.8,-170.9,-75.3,0,0
2017-04-30,104.9,46.2,9.8,56,0,0,0,-29.2,-29.2,131.7,-28.6,-0.4,0,0,-29,148,-186.5,-38.5,-29.5,-29.5,-1.5,-4,-73.5,30.2,0,-1.5
2017-01-31,75.80000,47.80000,15.10000,62.90000,,,,-30.30000,-30.30000,108.40000,-28.70000,-173.40000,,,-202.10000,97.00000,-5.90000,91.10000,,,,-7.60000,83.50000,-9.70000,,
2016-10-31,60.5,47.4,27,74.4,1.6,12.2,-10.5,54.9,58.4,193.3,-35.2,-14.8,0,0,-50,0,-108.9,-108.9,20.4,20.4,-1.4,-13,-102.9,38.2,29.9,-1.4
2016-07-31,88.2,49.5,-15.8,33.7,0,0,0,7,7,128.9,-31.1,-105.8,0,0,-136.9,0,0.6,0.6,0,0,-0.3,28.7,29,18.1,0,-0.3
2016-04-30,74.5,47.9,6.7,54.6,0,0,0,-31.2,-31.2,97.9,-41.2,-84.6,0,0,-125.8,88.1,-22.9,65.2,0,0,-1.9,-8.6,54.7,28.5,0,-1.9
2016-01-31,51.70000,53.50000,14.70000,68.20000,,,,-30.40000,-30.40000,89.50000,-45.10000,-60.90000,,,-106.00000,28.80000,-0.70000,28.10000,,,,-10.30000,17.80000,-0.40000,,
2015-10-31,36.971,50.102,26.608,76.71,-4.5,-37.4,10.1,37.57,-9.23,104.451,-58.287,-43.722,0,0,-102.009,39.2291,1.952,41.1811,-31.504,-31.504,-1.736,-10.469,-2.528,-0.583,32.9,-1.736
2015-07-31,45.243,53.909,-8.672,45.237,0,0,0,5.488,5.488,95.968,-66.348,-0.426,0,0,-66.774,-35.2,-3.966,-39.166,0,0,0,9.484,-29.682,-0.906,0,0
2015-04-30,61.137,44.505,14.199,58.704,0,0,0,-9.201,-9.201,110.64,-53.37,-0.548,0,0,-53.918,-196.629,146.198,-50.431,0,0,-1.87,-1.942,-54.243,1.483,0,-1.87
2015-01-31,61.74900,42.88400,31.36500,74.24900,,,,-56.15700,-56.15700,79.84100,-64.99500,-0.20400,,,-65.19900,21.80000,-10.68400,11.11600,-15.99600,-15.99600,-0.39400,-14.97300,-20.24700,-8.79400,,-0.39400
2014-10-31,31.257,42.554,-15.698,26.856,-5.167,-7.582,1.288,53.289,93.943,152.056,-60.129,-1109.702,0,0,-1170.585,895.4199,-3.596,891.8239,-24.073,-24.073,-2.208,6.707,872.25,-148.564,36.515,-2.208
2014-07-31,88.671,32.502,-4.878,27.624,0,0,0,-8.434,-8.434,107.861,-55.76,0,0,0,-56.066,-0.04,9.392,9.352,18.167,18.167,-0.223,12.748,40.044,91.127,0,-0.223
2014-04-30,79.636,31.75,7.883,39.633,0,0,0,7.063,7.063,126.332,-61.197,-1.489,0,0,-61.626,-0.121,-12.593,-12.714,-11.287,-11.287,-2.142,14.598,-11.545,53.831,0,-2.142
2014-01-31,72.26500,31.39500,24.48100,55.87600,,,,-59.56700,-59.56700,68.57400,-60.97900,1.48900,1.35900,1.35900,-58.13100,,-0.53400,-0.53400,-50.00000,-50.00000,-0.74900,-7.30100,-58.58400,-48.56500,,-0.74900
2013-10-31,57.312,31.763,8.626,40.389,0.055,-22.574,-6.294,54.719,52.64,150.341,-72.065,-4.048,0,0,-76.113,86.3711,12.656,99.0271,-122.778,-122.778,-1.469,1.762,-23.458,51.911,28.538,-1.469
2013-07-31,89.193,31.117,-9.882,21.235,0,0,0,-7.37,-7.37,103.058,-38.572,-0.867,0,0,-39.439,-76.2331,-0.17,-76.4031,11.556,11.556,-0.313,13.347,-51.813,11.041,0,-0.313
2013-04-30,75.466,30.944,22.399,53.343,0,0,0,-13.906,-13.906,114.903,-38.175,-4.44,0.694,0.694,-41.921,-86.032,0.067,-85.965,8.079,8.079,-1.449,7.134,-72.201,-0.004,0,-1.449
2013-01-31,74.93500,31.52500,0.78900,32.31400,,,,-59.62600,-59.62600,47.62300,-29.31500,-3.69000,0.56000,0.56000,-32.44500,29.23100,8.48300,37.71400,-44.90400,-44.90400,-0.69400,-6.24100,-14.12500,1.60500,,-0.69400
2012-10-31,72.146,30.819,-16.461,14.358,-4.956,-58.094,13.575,78.816,26.589,114.817,-32.638,-0.35,0,0,-32.988,-105.9459,-0.574,-106.52,27.893,27.893,-1.436,-2.189,-82.252,0.108,21.54,-1.436
2012-07-31,66.954,27.825,5.187,33.012,0,0,0,-21.853,-21.853,78.113,-24.084,-144.322,1.884,1.884,-166.522,166.5099,-54.295,112.215,-21.704,-21.704,0,3.867,94.378,4.987,0,0
2012-04-30,54.921,26.754,10.53,37.284,0,0,0,-11.564,-11.564,80.641,-23.104,-0.249,3.174,3.174,-20.179,-96.023,5.026,-90.997,26.47,26.47,-1.421,5.576,-60.372,0.064,0,-1.421
2012-01-31,54.62300,25.81600,9.39400,35.21000,,,,-48.28300,-48.28300,41.55000,-19.95300,-0.39800,1.56600,1.56600,-18.78500,43.66100,-13.78800,29.87300,-48.75600,-48.75600,,-1.31400,-20.19700,2.50600,,
2011-10-31,56.638,26.339,0.53,26.869,-2.684,-17.205,5.185,13.518,17.483,110.99,-32.509,-17.044,0,0,-49.553,-79.0322,14.244,-64.7882,5.161,5.161,-1.431,-2.622,-63.68,-2.697,13.876,-1.431
2011-07-31,44.217,25.405,3.36,28.765,0,0,0,14.487,14.487,87.469,-19.14,-4.367,0,0,-23.507,-117.6298,9.637,-107.9928,40.709,40.709,0,2.837,-64.447,-0.558,0,0
2011-04-30,35.36,23.511,21.645,45.156,0,0,0,-15.625,-15.625,64.891,-23.231,-4.15,0,0,-27.381,-62.1871,1.111,-61.0761,29.977,29.977,-1.385,-0.317,-32.801,5.11,0,-1.385
2011-01-31,39.21500,22.89400,10.10800,33.00200,,,,0.71400,0.71400,72.93100,-28.78500,-32.44900,,,-61.23400,-5.25300,-3.67300,-8.92600,6.18800,6.18800,,-9.20700,-11.94500,-0.25300,,
2010-10-31,48.198,23.216,-1.922,21.294,-24.789,34.978,8.644,0.343,22.118,64.61,-32.769,-0.405,0,0,-33.174,-32.396,-3.139,-35.535,5.657,5.657,-1.37,0,-31.248,0.333,9.638,-1.37
2010-07-31,39.727,23.888,8.327,32.215,0,0,0,3.351,3.351,75.293,-16.869,-1.471,0,0,-18.34,-75.008,8.731,-66.277,2.732,2.732,0,0,-63.545,-6.589,0,0
2010-04-30,4.455,23.992,-3.684,20.308,0,0,0,19.855,19.855,71.618,-11.208,-22.464,0,0,-33.672,-28.818,-1.552,-30.37,1.788,1.788,-1.362,0,-29.944,8.007,0,-1.362
2010-01-31,20.42300,22.90500,12.16900,35.07400,,,,0.64500,0.64500,56.14200,-12.91100,-8.50700,,,-21.41800,-46.22400,8.06800,-38.15600,0.91900,0.91900,,0.40700,-36.83000,-2.11000,,
2009-10-31,30.118,24.609,10.425,35.034,-13.09,22.601,-13.517,38.289,13.324,78.476,-19.964,-0.675,0,0,-20.639,-27.686,-29.813,-57.499,1.147,1.147,-1.357,0,-57.709,0.142,12.037,-1.357
2009-07-31,21.908,21.987,8.286,30.273,0,0,0,23.732,23.732,75.913,-19.881,-0.351,0,0,-20.232,-46.27,-10.35,-56.62,-0.001,-0.001,0,0,-56.621,-0.682,0,0
2009-04-30,24.649,21.006,30.814,51.82,0,0,0,-32.634,-32.634,43.835,-19.966,-2.451,0,0,-22.417,-22.988,5.427,-17.561,-0.03,-0.03,-1.355,-0.001,-18.947,2.587,0,-1.355
