,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2628,1579,5372,6951,-4425,1591,0,5278,-2334,7245,0,0,-11087,4641,-6446,-9480,-15926,15252,2763,18015,-6,-6,-1476,-14150,2383,-6298,0,-1138
2022-09-30,3500,1690,-4717,-3027,-3419,9045,0,3449,11543,12016,0,0,-294,4749,4455,-3536,919,14498,11307,25805,-5,-5,-1355,-27065,-2620,10315,0,-1136
2022-06-30,2952,1772,-5488,-3716,4234,9172,0,-3862,8352,7588,0,0,12218,15379,27597,-32105,-4508,4200,3474,7674,-4,-4,-1284,-56221,-49835,-46755,0,-946
2022-03-31,3802.00000,1791.00000,-7082.00000,-5291.00000,-5882.00000,11771.00000,,-7472.00000,1688.00000,199.00000,,,-1541.00000,-5539.00000,-7080.00000,-15881.00000,-22961.00000,200.00000,-980.00000,-780.00000,-6018.00000,-6018.00000,-1178.00000,-1597.00000,-9573.00000,-32335.00000,,-958.00000
2021-12-31,6399,1800,-2803,-1003,-12003,11696,0,878,-579,4817,0,0,1584,-1678,-94,-31308,-31402,-2263,-7571,-9834,-7012,-7012,-1157,12131,-5872,-32457,0,-819
2021-09-30,5405,1917,-4849,-2932,-13456,107,0,1877,-7283,-4810,0,0,2342,1776,4118,-11139,-7021,-14911,-3655,-18566,-5291,-5864,-1046,29821,4345,-7486,0,-808
2021-06-30,6744,2023,-3992,-1969,-11749,-3591,0,2871,-12837,-8062,0,0,9353,-10012,-659,15935,15276,-7119,-13285,-20404,-1565,-1915,-765,3310,-19774,-12560,0,-412
2021-03-31,4690.00000,2150.00000,-5997.00000,-3847.00000,-20422.00000,11122.00000,,6191.00000,-4313.00000,-3470.00000,,,-13830.00000,-1333.00000,-15163.00000,30691.00000,15528.00000,-21566.00000,-79.00000,-21645.00000,-596.00000,-592.00000,-659.00000,32959.00000,10063.00000,22121.00000,,-383.00000
2020-12-31,3292,2082,-2950,-868,-23393,-4108,0,-2604,-25189,-22765,0,0,3632,-2264,1368,19144,20512,-3961,3775,-186,-516,-500,-778,21559,20095,17842,-1337,-398
2020-09-30,3401,2279,-710,1569,-21631,10863,0,-2617,-13546,-8576,0,0,9985,8186,18171,24487,42658,-16340,-5261,-21601,56,56,-655,-27615,-49815,-15733,384,-399
2020-06-30,-3536,1990,10742,12732,-8315,16046,0,2944,6923,16119,0,0,7176,33016,40192,63495,103687,-8242,-31804,-40046,243,243,-2397,34088,-8112,111694,371,-2023
2020-03-31,505.00000,1868.00000,10782.00000,12650.00000,-6030.00000,20413.00000,,-11198.00000,4118.00000,17273.00000,,,15675.00000,-10275.00000,5400.00000,-49703.00000,-44303.00000,1332.00000,-12223.00000,-10891.00000,-3198.00000,-3700.00000,-2312.00000,53492.00000,36589.00000,9559.00000,582.00000,-2032.00000
2019-12-31,3089,1633,-5346,-3713,-6462,4962,0,12788,13047,12423,0,0,911,3881,4792,-7318,-2526,-1895,-19396,-21291,-7723,-7723,-2466,14102,-17378,-7481,-1885,-2080
2019-09-30,4812,1840,-1361,479,-15216,2327,0,-13450,-18266,-12975,0,0,9068,-11573,-2505,-4876,-7381,-12454,8564,-3890,-7334,-8884,-2458,19892,4660,-15696,497,-2164
2019-06-30,6338,1651,2322,3973,-16254,7808,0,4045,-10980,-669,0,0,-13498,6223,-7275,-3423,-10698,1294,8747,10041,-4837,-4837,-2374,23996,26826,15459,486,-1957
2019-03-31,5967.00000,1449.00000,641.00000,2090.00000,-7222.00000,6969.00000,,688.00000,-106.00000,7951.00000,,,-18414.00000,4695.00000,-13719.00000,4693.00000,-9026.00000,5440.00000,810.00000,6250.00000,-4639.00000,-4639.00000,-2291.00000,-22564.00000,-23244.00000,-24319.00000,902.00000,-1997.00000
2018-12-31,6154,1371,4372,5743,-4952,10345,0,-282,3137,15034,0,10,3264,-8285,-5021,-13234,-18245,5052,336,5388,-7546,-7546,-2373,21506,16975,13764,396,-1962
2018-09-30,6086,1387,-1929,-542,-9361,8338,0,1548,1114,6658,0,-10,-3287,-199,-3486,3276,-220,2975,955,3930,-7280,-9430,-2347,-2517,-10364,-3926,573,-2008
2018-06-30,5309,1404,-3183,-1779,-12635,5510,0,5982,-4379,-849,0,0,-5727,4027,-1700,2250,550,-4889,6405,1516,-2859,-2859,-2309,-34995,-38647,-38946,494,-1855
2018-03-31,5327.00000,1431.00000,-842.00000,589.00000,-7826.00000,10861.00000,,2523.00000,9314.00000,15230.00000,,,4566.00000,-822.00000,3744.00000,6417.00000,10161.00000,3892.00000,-5165.00000,-1273.00000,-2647.00000,-2647.00000,-2285.00000,-32738.00000,-38943.00000,-13552.00000,792.00000,-1867.00000
2017-12-31,6241,1612,-2610,-998,-8861,4933,0,-3491,-4968,275,0,23,-12935,-10668,-23603,-4356,-27936,-15482,9365,-6117,-2932,-2932,-2278,29724,18397,-9264,451,-1875
2017-09-30,4600,1316,2072,3388,-4083,3570,0,-966,1544,9532,0,-20,1541,-231,1310,5362,6652,-1920,-1459,-3379,-2418,-2418,-2309,828,-7278,8906,409,-1890
2017-06-30,5894,1241,3066,4307,-20821,10374,0,-3813,-14527,-4326,0,43,2292,5538,7830,2158,10031,-20863,7178,-13685,-2137,-1460,-2255,-19690,-37090,-31385,446,-1856
2017-03-31,5725.00000,1237.00000,1194.00000,2431.00000,-12193.00000,14628.00000,,2917.00000,4982.00000,13138.00000,,-46.00000,-12395.00000,1849.00000,-10546.00000,8693.00000,-1899.00000,1038.00000,-1064.00000,-26.00000,-1603.00000,-1603.00000,-2267.00000,18947.00000,15051.00000,26290.00000,740.00000,-1859.00000
2016-12-31,5304,1372,-3272,-1900,-26127,32535,0,-3273,1422,4826,0,-787,12549,-35349,-22800,-9144,-32731,11477,-28080,-16603,-2137,-2137,-2256,30605,9609,-18296,471,-1863
2016-09-30,5654,1365,622,1987,-26148,14268,0,-54,-10038,-2397,0,-810,-2804,-31988,-34792,-4082,-39684,10339,4152,14491,-1610,-1610,-2279,30359,40961,-1120,298,-1870
2016-06-30,5573,938,1404,2342,-18488,4272,0,350,-15250,-7335,0,-83,5026,-13912,-8886,-10169,-19138,14422,12555,26977,-1898,-772,-2259,3850,27796,1323,460,-1881
2016-03-31,5514.00000,1295.00000,2417.00000,3712.00000,-7509.00000,12234.00000,,-9027.00000,-3312.00000,5914.00000,,-28904.00000,-30518.00000,14919.00000,-15599.00000,-5863.00000,-50366.00000,19411.00000,10175.00000,29586.00000,-1550.00000,-575.00000,-2244.00000,17658.00000,44425.00000,-27.00000,716.00000,-1858.00000
2015-12-31,5623,892,-1054,-162,-7308,2454,-79,-1895,-9358,-3897,96,-3,-15319,-5815,-21134,-13761,-34802,15306,9459,24765,-2381,-2381,-2234,20265,40415,1716,433,-1871
2015-09-30,5983,838,-1405,-567,-10857,20508,-107,-2846,13521,18937,-51,0,-22591,-5821,-28412,-15844,-44307,4660,5106,9766,-1695,-720,-2246,16278,23078,-2292,347,-1882
2015-06-30,5786,831,-128,703,-16249,14015,110,3612,-8140,-1651,-24,0,59070,-17842,41228,-26406,14798,-3915,5271,1356,-1596,-1596,-2220,-10793,-13253,-106,470,-1885
2015-03-31,5884.00000,727.00000,-1774.00000,-1047.00000,-10679.00000,5777.00000,76.00000,-1328.00000,-2322.00000,2515.00000,-21.00000,,-33026.00000,-9947.00000,-42973.00000,70.00000,-42924.00000,-354.00000,14174.00000,13820.00000,-1978.00000,19.00000,-2126.00000,28918.00000,40631.00000,222.00000,708.00000,-1762.00000
2014-12-31,5792,582,54,636,-7527,1996,-238,3782,-3563,2865,119,0,3503,-20861,-17358,-15866,-33105,-2165,493,-1672,-2481,-2481,-2081,38013,31779,1539,387,-1774
2014-09-30,5955,630,-414,216,-6827,9567,-88,-1012,8891,15062,-47,0,-21614,-12776,-34390,-8093,-42530,16730,-424,16306,-2166,-1386,-2145,12090,24865,-2603,381,-1787
2014-06-30,5786,732,1003,1735,-9876,-1511,105,-3035,-10760,-3239,-32,-174,-14789,-6290,-21079,-13235,-34520,12864,4158,17022,-2519,-524,-2020,24185,38663,904,452,-1802
2014-03-31,6075.00000,571.00000,805.00000,1376.00000,-3432.00000,4190.00000,221.00000,-3135.00000,-4610.00000,2841.00000,-40.00000,,-8878.00000,-3304.00000,-12182.00000,-6003.00000,-18225.00000,-1104.00000,3808.00000,2704.00000,-408.00000,-408.00000,-1897.00000,14797.00000,15196.00000,-188.00000,692.00000,-1545.00000
2013-12-31,5713,785,3343,4128,3778,4505,-42,4426,4582,14423,-64,0,-31765,-6341,-38106,-12567,-50737,2048,-55,1993,-1089,-261,-1748,37321,37305,991,385,-1544
2013-09-30,5683,865,-141,724,3415,11209,-188,-1806,14696,21103,-59,0,-33372,-13791,-47163,-14557,-61779,26120,-3132,22988,-1542,165,-1886,20398,41665,989,396,-1559
2013-06-30,5608,809,-2949,-2140,623,14789,42,-3282,9510,12978,134,0,-4861,-4539,-9400,-5553,-14819,-1050,-3710,-4760,-762,-762,-1746,10831,3563,1722,514,-1566
2013-03-31,5220.00000,834.00000,-702.00000,132.00000,-13168.00000,13135.00000,156.00000,2126.00000,3785.00000,9137.00000,396.00000,,-8186.00000,-17677.00000,-25863.00000,-690.00000,-26157.00000,686.00000,3507.00000,4193.00000,261.00000,871.00000,-1590.00000,7903.00000,11377.00000,-5643.00000,625.00000,-1284.00000
2012-12-31,5297,724,-2195,-1471,-7266,19313,-165,4256,4525,8351,-43,-3,-36871,139,-36732,-17336,-54114,-3124,5218,2094,-1231,-596,-1231,50370,50637,4874,395,-1065
2012-09-30,5030,699,1601,2300,-12040,21175,7,-6357,7478,14808,-42,-5231,-25807,-447,-26254,-6530,-38057,4714,-4066,648,193,935,-1451,23292,23424,175,264,-1164
2012-06-30,4721,735,3465,4200,-9693,21472,-110,-2696,10555,19476,215,1338,-492,1865,1373,-17684,-14758,-5750,5059,-691,-1605,-1605,-1324,-1287,-4907,-189,500,-1171
2012-03-31,4320.00000,649.00000,860.00000,1509.00000,-31527.00000,43480.00000,184.00000,4554.00000,10076.00000,15905.00000,-14.00000,-426.00000,-29776.00000,-1731.00000,-31507.00000,-1014.00000,-32961.00000,3762.00000,1488.00000,5250.00000,815.00000,815.00000,-1451.00000,10002.00000,14616.00000,-2440.00000,539.00000,-1165.00000
2011-12-31,4183,725,4163,4888,-42743,18334,-237,-3934,-33195,-24124,-53,-108,45437,-17118,28319,-11433,16725,-13211,-1684,-14895,-373,-373,-785,24578,8525,1126,210,-632
2011-09-30,4142,515,5953,6468,-12150,1787,-82,-6325,-1382,9228,-21,-245,-1398,-23424,-24822,-16418,-41506,-10668,-3106,-13774,-478,-478,-923,41708,26533,-5745,242,-636
2011-06-30,4072,491,3944,4435,-683,9202,-57,-3368,2843,11350,-36,0,4635,-13426,-8791,-2668,-11495,-6273,-777,-7050,-850,-850,-788,15914,7226,7081,282,-635
2011-03-31,3814.00000,477.00000,2094.00000,2571.00000,8705.00000,5826.00000,14.00000,1803.00000,10826.00000,17211.00000,-45.00000,,-12404.00000,8181.00000,-4223.00000,5500.00000,1232.00000,-8716.00000,-664.00000,-9380.00000,579.00000,3080.00000,-885.00000,-10324.00000,-17509.00000,934.00000,754.00000,-634.00000
2010-12-31,3493,422,443,865,-13215,11483,-30,-9817,-8386,-4028,-36,-13,-24088,1808,-22280,-6882,-29211,-4676,4686,10,304,304,-379,33347,33282,43,232,-262
2010-09-30,3425,167,7281,7448,-5680,4811,-182,-7628,-4927,5946,-14,-23,17349,-14314,3035,10818,13816,-25392,5528,-19864,178,178,-514,-1132,-21332,-1570,216,-263
2010-06-30,3145,622,7614,8236,2518,-104,86,-6562,-3408,7973,-7,0,-19706,8728,-10978,10010,-975,-14667,-1146,-15813,-169,-169,-378,10632,-5728,1270,400,-260
2010-03-31,2600.00000,713.00000,7181.00000,7894.00000,8340.00000,-3834.00000,-142.00000,3351.00000,-1613.00000,8881.00000,-8.00000,,-13307.00000,6899.00000,-6408.00000,19111.00000,12695.00000,-15093.00000,2240.00000,-12853.00000,426.00000,426.00000,-511.00000,-19417.00000,-32355.00000,-10779.00000,384.00000,-260.00000
2009-12-31,3013,404,9046,9450,-2036,149,129,-10245,-9100,3363,-1,-6,-23394,10876,-12518,9156,-3369,-7335,8166,831,12246,-12754,-796,22572,9853,9847,130,-234
2009-09-30,3316,897,9267,10164,5356,-758,-526,-4467,-6079,7401,0,0,-1515,29256,27741,22931,50672,-19243,-24683,-43926,265,265,-797,-17014,-61472,-3399,50,-234
2009-06-30,3249,559,471,1030,-1683,6771,136,-6566,-2309,1970,-5,-9,2649,-22498,-19849,25644,5781,-17220,-16601,-33821,8775,8775,-644,16385,-9305,-1554,57,-214
2009-03-31,3089.00000,981.00000,8803.00000,9784.00000,-16106.00000,7821.00000,-767.00000,6240.00000,3006.00000,15879.00000,-4.00000,-123.00000,30808.00000,-21070.00000,9738.00000,9090.00000,18701.00000,-14066.00000,-35990.00000,-50056.00000,470.00000,470.00000,-2066.00000,15495.00000,-36157.00000,-1577.00000,114.00000,-1443.00000
