,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-4833,-1575,-391,-1966,0,0,180,180,-6619,4265,0,-30,0,-30,59,4294,0,0,0,661,661,2526,86,3273,961,-65,2526
2022-09-30,1900,573,-134,439,803,-787,-251,-235,2104,-3089,0,30,0,30,-39,-3098,0,0,0,-126,-126,-1016,-1,-1143,-2147,22,-1016
2022-06-30,1938,519,23,542,-803,787,214,198,2678,-664,0,0,22,22,-28,-670,0,0,0,-324,-324,-835,-12,-1171,832,23,-835
2022-03-31,995.00000,483.00000,502.00000,985.00000,,,-143.00000,-143.00000,1837.00000,-512.00000,,,-22.00000,-22.00000,8.00000,-526.00000,,,,-211.00000,-211.00000,-675.00000,-73.00000,-959.00000,354.00000,20.00000,-675.00000
2021-12-31,1512,571,-393,178,-526,539,-87,-74,1616,-501,0,8,-25,-17,0,-518,0,0,0,-589,-589,-560,0,-1149,-50,19,-560
2021-09-30,844,571,115,686,163,-88,-7,68,1598,-483,0,27,0,27,-18,-474,0,0,0,0,0,-335,-2,-337,782,19,-335
2021-06-30,261,529,286,815,-163,88,92,17,1093,-460,0,0,0,0,8,-452,-742,0,-742,0,0,-234,-6,-982,-339,20,-234
2021-03-31,216.00000,460.00000,43.00000,503.00000,,,-127.00000,-127.00000,592.00000,-484.00000,344.00000,,,,10.00000,-130.00000,-560.00000,,-560.00000,,,-207.00000,-57.00000,-824.00000,-359.00000,41.00000,-207.00000
2020-12-31,-98,309,145,454,231,-109,-120,2,358,-215,0,0,0,0,0,-215,0,0,0,0,0,-142,8,-134,340,18,-142
2020-09-30,-90,307,152,459,0,0,58,58,427,-203,0,0,0,0,0,-203,0,0,0,0,0,-47,1,-46,228,31,-47
2020-06-30,-668,307,610,917,-238,-42,68,-99,150,-309,4,0,0,0,0,-305,0,0,0,0,0,-45,6,-39,-58,19,-45
2020-03-31,-1815.00000,409.00000,1991.00000,2400.00000,238.00000,42.00000,-223.00000,-56.00000,529.00000,-400.00000,-4.00000,,,,,-404.00000,,,,-38.00000,-38.00000,-37.00000,-12.00000,-87.00000,-117.00000,20.00000,-37.00000
2019-12-31,-640,390,811,1201,0,0,18,18,579,-368,0,0,0,0,0,-368,0,0,0,-103,-103,-34,113,-24,188,23,-34
2019-09-30,109,389,62,451,-10,37,-8,36,596,-522,0,0,0,0,0,-522,0,0,0,-561,-561,-35,0,-596,-2197,23,-35
2019-06-30,495,382,-371,11,39,14,-111,-75,431,-471,0,0,0,0,0,-471,0,0,0,-186,-186,-37,-4,-227,2498,25,-37
2019-03-31,-317.00000,369.00000,446.00000,815.00000,-29.00000,-51.00000,19.00000,-61.00000,437.00000,-190.00000,,,,,,-190.00000,-162.00000,,-162.00000,-999.00000,-999.00000,-34.00000,-19.00000,-1214.00000,-1091.00000,44.00000,-34.00000
2018-12-31,1149,239,-1157,-918,186,-99,-235,-148,64,-624,-55,0,0,0,0,-679,-94,0,-94,-759,-759,-37,-8,-898,-675,25,-37
2018-09-30,2563,351,-2338,-1987,-93,3,9,-81,560,-478,0,0,0,0,0,-478,-21,0,-21,-1698,-1698,-38,-3,-1760,1596,25,-38
