,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,739.704,624.407,127.266,751.673,0,828.028,36.784,864.812,371.807,-8.163,-5.698,-28.348,-209.9571,-238.3051,0,-252.166,0,-32.42,-32.42,-62.13,-62.13,-20.106,0,-114.656,6.973,-20.106
2022-09-30,0,0,0,0,0,0,0,0,356.997,-6.139,-26.842,30.051,-279.9889,-249.9379,0,-282.919,-150,57.169,-92.831,-57.229,-57.229,-20.233,0,-170.293,-86.671,-20.233
2022-06-30,0,0,0,0,0,0,0,0,296.257,-6.646,-9.311,-58.48,-58.1691,-116.6491,0,-132.606,250.492,-212.367,38.125,-135.136,-135.136,-20.521,-5.272,-122.804,44.629,-20.521
2022-03-31,0.00000,,,,,,,,397.13300,-6.98100,-27.87000,11.80100,-252.27400,-240.47300,,-275.32400,,28.53800,28.53800,-93.55100,-93.55100,-19.68700,,-84.70000,35.46500,-19.68700
2021-12-31,744.959,603.838,12.6,616.438,0,854.77,18.144,872.914,377.658,-7.514,-17.885,24.219,-285.4359,-261.2169,2.5,-284.116,0,70.003,70.003,-145.576,-145.576,-19.975,-0.048,-95.596,-4.162,-19.975
2021-09-30,0,0,0,0,0,0,0,0,357.983,-7.003,-15.504,278.558,-150.703,127.855,-59.2,46.148,-300,-33.559,-333.559,-96.777,-96.777,-20.177,0,-450.513,-41.747,-20.177
2021-06-30,0,0,0,0,0,0,0,0,330.209,-8.198,-10.652,-278.574,-108.293,-386.867,0,-405.717,325,-31.898,293.102,-129.26,-129.26,-20.38,-7.639,135.823,56.568,-20.38
2021-03-31,0.00000,,,,,,,,371.83000,-15.52900,-9.08000,14.43400,-259.51000,-245.07600,,-269.68500,,6.19000,6.19000,-99.99600,-99.99600,-19.51100,,-113.31700,-13.34300,-19.51100
2020-12-31,731.773,575.77,92.528,668.298,0,798.936,33.81,832.746,397.818,-12.966,-9.198,156.097,-323.2531,-167.1561,0.048,-189.272,0,-40.91,-40.91,-126.462,-126.462,-19.689,0,-187.061,14.746,-19.689
2020-09-30,0,0,0,0,0,0,0,0,309.314,-8.645,-5.62,267.772,-278.1909,-10.4189,-7.117,-31.801,17.5,-181.51,-164.01,-120.107,-120.107,-19.962,-4.953,-309.032,-33.93,-19.962
2020-06-30,0,0,0,0,0,0,0,0,425.748,-10.829,-2.306,-259.05,-376.802,-635.852,0.005,-648.982,297.5,-24.066,273.434,0.717,0.717,-19.953,-0.891,253.307,23.661,-19.953
2020-03-31,0.00000,,,,,,,,343.55400,-9.31600,-20.74300,-234.31600,-47.31300,-281.62900,0.01300,-311.67500,-1.87500,139.11300,137.23800,-149.92100,-149.92100,-18.58800,,-31.27100,14.43700,-18.58800
2019-12-31,760.79,551.726,65.358,617.084,0,661.567,15.9,677.467,333.699,-12.154,-7.069,39.273,-260.794,-221.521,0,-240.744,-1.875,38.996,37.121,-99.51,-99.51,-18.695,0,-81.084,9.258,-18.695
2019-09-30,0,0,0,0,0,0,0,0,343.538,-8.395,-2.908,-3.464,-197.4611,-200.9251,0.017,-212.211,-1.875,-46.173,-48.048,-86.397,-86.397,-18.841,0,-153.286,-22.644,-18.841
2019-06-30,0,0,0,0,0,0,0,0,263.352,-14.639,-3.862,60.665,-92.773,-32.108,0.015,-50.594,-1.875,-74.631,-76.506,-91.195,-91.195,-18.956,0,-186.657,21.977,-18.956
2019-03-31,0.00000,,,,,,,,423.28500,-7.01500,-10.05400,-62.47100,-226.22200,-288.69300,,-305.76200,-1.25000,-51.23100,-52.48100,-99.30400,-99.30400,-17.69600,,-169.48100,-53.68400,-17.69600
2018-12-31,701.466,516.69,72.448,589.1381,0,664.997,17.134,682.131,340.358,-17.793,-4.329,570.202,-356.4429,213.7591,1.987,193.624,-304.637,-54.953,-359.59,-122.409,-122.409,-17.94,-0.172,-500.111,43.587,-17.94
2018-09-30,0,0,0,0,0,0,0,0,320.769,-8.581,-3.374,-564.946,-103.705,-668.651,0,-680.606,548.75,-86.308,462.442,-78.012,-78.012,-18.075,-6.797,359.558,-4.791,-18.075
2018-06-30,0,0,0,0,0,0,0,0,234.131,-6.752,-8.183,11.479,-91.908,-80.429,0,-95.364,-21.25,-19.31,-40.56,-88.852,-88.852,-18.212,0,-147.624,-6.385,-18.212
2018-03-31,0.00000,,,,,,,,382.38900,-11.96600,-7.51800,47.04800,-341.44100,-294.39300,,-313.87700,-0.62500,10.86100,10.23600,-96.38500,-96.38500,-17.19400,,-103.34300,-29.94800,-17.19400
2017-12-31,1454.494,490.403,-642.829,-152.426,0,687.407,31.784,719.191,343.216,-6.834,-6.038,-61.587,-119.4189,-181.006,0,-193.878,-0.625,-6.58,-7.205,-91.217,-91.217,-17.299,-1.661,-117.382,30.101,-17.299
2017-09-30,0,0,0,0,0,0,0,0,346.786,-5.371,-4.977,28.903,-244.921,-216.0179,0,-226.366,-0.625,-19.512,-20.137,-84.771,-84.771,-17.439,0,-122.347,-9.19,-17.439
2017-06-30,0,0,0,0,0,0,0,0,278.3,-4.102,-3,26.603,-115.343,-88.74,0,-95.842,-0.625,-44.493,-45.118,-84.292,-84.292,-17.59,0,-147,35.898,-17.59
2017-03-31,0.00000,,,,,,,,460.75600,-3.97800,-5.87500,-48.95000,-351.95300,-400.90300,0.01800,-410.73800,,40.74500,40.74500,-91.49400,-91.49400,-16.50300,,-67.25200,-14.40900,-16.50300
2016-12-31,549.779,469.063,324.593,793.656,0,645.844,24.668,670.512,426.782,-15.024,-15.958,-6.23,-305.527,-311.757,-0.677,-343.416,0,-17.845,-17.845,-79.152,-79.152,-16.673,0,-113.67,-28.737,-16.673
2016-09-30,0,0,0,0,0,0,0,0,366.991,-3.398,-6.866,-16.518,-145.5249,-162.0429,0.767,-171.54,0,-38.739,-38.739,-86.614,-86.614,-16.78,0,-142.133,55.222,-16.78
2016-06-30,0,0,0,0,0,0,0,0,264.197,-2.861,-1.335,95.379,-303.6891,-208.3101,0,-212.506,150,-42.441,107.559,-96.363,-96.363,-16.954,-9.638,-15.396,36.92,-16.954
2016-03-31,0.00000,,,,,,,,340.73800,-3.87900,-7.92500,-89.90500,-233.26500,-323.17000,,-334.97400,,49.25800,49.25800,-81.32600,-81.32600,-16.52400,,-48.59200,-48.62500,-16.52400
2015-12-31,527.1,445.625,99.71,545.335,0,631.202,14.609,645.811,390.158,-6.294,-14.153,8.897,-141.872,-132.9749,0,-153.422,0,-154.842,-154.842,-85.021,-85.021,-16.682,1.898,-254.647,1.898,-16.682
2015-09-30,0,0,0,0,0,0,0,0,275.771,-16.714,-15.124,-39.948,-51.508,-91.456,0,-123.294,0,-45.128,-45.128,-107.487,-107.487,-16.911,4.69,-164.836,-3.364,-16.911
2015-06-30,0,0,0,0,0,0,0,0,174.392,-7.869,-5.089,68.173,-167.522,-99.349,0,-112.307,0,101.19,101.19,-91.264,-91.264,-17.096,6.037,-1.133,59.763,-17.096
2015-03-31,0.00000,,,,,,,,279.72900,-6.08000,-6.86500,-76.00600,-155.37600,-231.38200,,-244.32700,,4.96500,4.96500,-98.79600,-98.79600,-16.21000,4.95200,-105.08900,-62.93300,-16.21000
2014-12-31,542.939,415.914,-91.699,324.215,0,585.632,12.521,598.153,220.31,3.813,-16.804,63.215,-103.557,-40.342,0,-53.333,0,-72.385,-72.385,-90.487,-90.487,-16.378,6.04,-173.21,-0.979,-16.378
2014-09-30,0,0,0,0,0,0,0,0,225.015,-4.441,-17.249,-30.536,-42.716,-73.252,0,-94.942,0,-0.849,-0.849,-99.229,-99.229,-16.648,1.386,-115.34,21.195,-16.648
