,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1481,678,573,1251,82,-4,-14,-52,-134,2598,2513,105,293,293,-675,2026,0,2026,1286,1286,4913,176,-2213,-290,4913
2022-09-30,1984,664,89,753,406,186,-348,-44,208,2945,-871,-105,136,136,-840,-757,0,-757,-512,-512,-2052,-47,-3368,-1263,-2052
2022-06-30,2371,644,535,1179,38,-115,-90,-167,-329,3221,-894,0,136,136,-758,23,121,144,-499,-499,-1788,-129,-2272,191,-1788
2022-03-31,2009.00000,637.00000,536.00000,1173.00000,-697.00000,-126.00000,178.00000,60.00000,-598.00000,2584.00000,-748.00000,,-565.00000,-565.00000,-1313.00000,-1292.00000,-121.00000,-1413.00000,-275.00000,-275.00000,-1073.00000,,-2761.00000,-1490.00000,-1073.00000
2021-12-31,763,694,265,959,-6,-32,544,-20,499,2221,2092,77,0,0,2169,0,0,0,-237,-237,-874,-22,-1133,3257,-874
2021-09-30,1045,724,319,1043,-8,9,-45,-73,-106,1982,-906,-77,0,0,-983,0,0,0,-11,-11,-507,4,-514,485,-507
2021-06-30,380,666,429,1095,-263,-12,295,-93,-9,1466,-751,-943,0,0,-1694,-221,140,-81,-1,-1,-122,-150,-354,-582,-122
2021-03-31,-70.00000,527.00000,341.00000,868.00000,-330.00000,-90.00000,265.00000,-216.00000,-421.00000,377.00000,-465.00000,117.00000,,,-348.00000,-540.00000,-140.00000,-680.00000,-7.00000,-7.00000,-91.00000,-28.00000,-806.00000,-777.00000,-91.00000
2020-12-31,43,416,158,574,-62,-33,-15,19,-93,524,-313,0,0,0,-313,0,0,0,1,1,-91,-11,-101,110,-91
2020-09-30,-85,416,89,505,-97,-21,149,-59,-28,392,-236,0,0,0,-236,1091,0,1091,4,4,-91,-18,986,1142,-91
2020-06-30,-449,436,413,849,-11,18,-29,-49,-71,329,-425,0,0,0,-425,-338,0,-338,-50,-50,-91,-34,-513,-609,-91
2020-03-31,291.00000,452.00000,-23.00000,429.00000,479.00000,16.00000,-284.00000,-106.00000,105.00000,825.00000,-681.00000,,,,-681.00000,350.00000,,350.00000,-122.00000,-122.00000,-73.00000,-146.00000,9.00000,153.00000,-73.00000
2019-12-31,361,462,184,646,-180,35,-8,-25,-179,828,-589,0,56,56,-533,0,0,0,-26,-26,-73,-4,-103,192,-73
2019-09-30,231,459,201,660,-64,3,70,-6,3,894,-894,0,0,0,-894,0,0,0,-197,-197,0,-8,-205,-205,0
2019-06-30,-169,452,459,911,86,-22,5,-22,47,789,-781,0,456,456,-325,0,0,0,-202,-202,-54,-1,-257,207,-54
2019-03-31,350.00000,448.00000,51.00000,499.00000,-69.00000,-36.00000,-74.00000,-66.00000,-245.00000,604.00000,-807.00000,,112.00000,112.00000,-695.00000,,,,-222.00000,-222.00000,,-1.00000,-223.00000,-314.00000,0.00000
2018-12-31,323,429,250,679,181,0,16,-285,-88,914,-1015,0,182,182,-833,0,-23,-23,-128,-128,-28,4,-175,-94,-28
2018-09-30,411,420,-242,178,-19,-35,87,252,285,874,-706,0,-47,-47,-753,0,7,7,7,7,0,-8,6,127,0
2018-06-30,63,406,271,677,-33,-29,227,-5,159,899,-728,0,109,109,-619,-450,-7,-457,-5,-5,-27,0,-489,-209,-27
2018-03-31,178.00000,378.00000,213.00000,591.00000,-181.00000,-6.00000,-9.00000,-19.00000,-214.00000,555.00000,-865.00000,,460.00000,460.00000,-405.00000,,,,-45.00000,-45.00000,,,-45.00000,105.00000,
2017-12-31,665,390,-302,88,11,-26,52,10,45,798,-747,0,217,217,-530,0,0,0,-1,-1,-7,0,-8,260,-7
2017-09-30,-23,377,167,544,-158,2,124,-35,-67,454,-703,0,218,218,-485,0,0,0,7,7,0,0,7,-24,0
2017-06-30,233,367,-161,206,-65,8,111,-12,44,483,-464,0,-15,-15,-479,0,0,0,0,0,-7,0,-7,-3,-7
2017-03-31,-42.00000,364.00000,142.00000,506.00000,92.00000,-19.00000,-153.00000,-20.00000,-100.00000,364.00000,-441.00000,,143.00000,143.00000,-298.00000,-485.00000,,-485.00000,-36.00000,-36.00000,,,-521.00000,-455.00000,
2016-12-31,-43,384,190,574,-77,-25,66,21,10,541,-517,1,209,209,-307,0,0,0,-1,-1,-6,0,-7,227,-6
2016-09-30,22,413,56,469,-13,5,52,-73,-51,440,55,-429,-551,-551,-925,-455,0,-455,6,6,0,0,-449,-934,0
2016-06-30,-268,411,238,649,-84,-12,109,18,28,409,-546,0,-580,-580,-1126,0,0,0,937,937,-7,0,930,213,-7
2016-03-31,-267.00000,379.00000,130.00000,509.00000,33.00000,,-169.00000,-36.00000,-132.00000,110.00000,-549.00000,,-914.00000,-914.00000,-1463.00000,,,,1574.00000,1574.00000,,,1574.00000,221.00000,
2015-12-31,-623,405,648,1053,28,37,8,32,36,466,-632,0,0,0,-632,998,0,998,0,0,-6,-16,976,810,-6
2015-09-30,646,390,-692,-302,-23,15,9,-37,13,357,-2,0,0,0,-2,0,0,0,6,6,0,1,7,362,0
