,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2015-06-30,-218,357,233,590,-47,-10,-25,39,-44,328,-489,0,0,0,-489,0,0,0,-1,-1,-6,4,-3,-164,-6
2015-03-31,-78.00000,335.00000,77.00000,412.00000,96.00000,-34.00000,-250.00000,-43.00000,-230.00000,104.00000,-717.00000,,,,-717.00000,,,,-30.00000,-30.00000,,1.00000,-29.00000,-642.00000,
2014-12-31,431,337,-251,86,48,-10,8,6,51,568,-1071,0,0,0,-1071,0,0,0,979,979,-6,5,978,475,-6
2014-09-30,375,297,2,299,-18,-19,66,-73,-59,615,-525,0,0,0,-525,0,0,0,6,6,0,9,15,105,0
2014-06-30,1,267,343,610,-22,8,100,35,106,717,-477,0,0,0,-477,-50,1,-49,1,1,-6,2,-52,188,-6
2014-03-31,123.00000,242.00000,240.00000,482.00000,-37.00000,-16.00000,-70.00000,-30.00000,-139.00000,466.00000,-626.00000,,,,-626.00000,50.00000,-1.00000,49.00000,-27.00000,-27.00000,,2.00000,24.00000,-136.00000,
2013-12-31,-1358,260,1624,1884,-34,-11,25,29,15,541,-703,0,25,25,-678,-201,0,-201,0,0,-5,-8,-214,-351,-5
2013-09-30,99,235,265,500,-56,-27,193,-30,69,668,-648,0,0,0,-648,25,0,25,5,5,0,-2,28,48,0
2013-06-30,351,245,-88,157,9,-2,48,12,69,577,-107,0,0,0,-107,-197,0,-197,3,3,-6,-4,-204,266,-6
2013-03-31,109.00000,232.00000,152.00000,384.00000,-42.00000,1.00000,-57.00000,-41.00000,-133.00000,360.00000,-707.00000,,,,-707.00000,-707.00000,,-707.00000,1263.00000,1263.00000,,-8.00000,548.00000,201.00000,
2012-12-31,39.88,105.487,257.293,362.78,-20.054,39.347,22.446,32.933,76.87,479.53,-739.87,-0.041,0,0,-739.911,152.382,0,152.382,-6.395,-6.395,-4.972,14.964,155.979,-104.402,-4.972
2012-09-30,21.699,215.249,228.306,443.555,-41.827,26.971,-7.026,-2.473,-33.194,432.06,-693.038,-0.985,0,0,-694.023,269.525,0,269.525,5.704,5.704,0,2.851,278.08,16.117,0
2012-06-30,-39.537,208.789,303.275,512.064,54.544,-2.291,11.254,-9.003,26.797,499.324,-846.426,-295.974,0,0,-1142.4,658.093,0,658.093,-0.188,-0.188,-4.985,-8.993,643.927,0.851,-4.985
2012-03-31,220.95800,188.47500,64.12600,252.60100,-20.66300,-31.02700,19.32600,-33.45700,-47.47300,426.08600,-679.66600,,,,-679.66600,85.00000,,85.00000,-55.12100,-55.12100,-0.04300,3.17800,33.01400,-220.56600,-0.04300
2011-12-31,-113.188,102.421,460.19,562.6111,-12.079,-21.44,52.664,36.106,50.253,499.676,-705.934,0,0,0,-705.934,-65,0,-65,607.113,607.113,-4.744,-4.192,533.177,326.919,-4.744
2011-09-30,385.598,129.853,-103.133,26.72,-11.647,-41.825,77.431,16.625,53.266,465.584,-606.238,0,-6.763,-6.763,-613.001,9.933,0,9.933,2.22,2.22,0,-6.592,5.561,-141.856,0
2011-06-30,265.7,133.486,-52.038,81.448,1.665,-44.817,96.181,22.319,74.092,421.24,-530.211,0,-45.809,-45.809,-576.02,2,0.02,2.02,-3.511,-3.511,-4.739,-7.22,-13.45,-168.23,-4.739
2011-03-31,343.80400,127.81600,-182.12600,-54.31000,-25.27000,-29.31900,-89.98000,-17.06600,-146.28000,143.21400,371.21600,,-37.04800,-37.04800,334.16800,-45.20000,-0.02000,-45.22000,-35.34500,-35.34500,-0.07300,12.74700,-67.89100,409.49100,-0.07300
2010-12-31,82.127,52.805,287.4661,340.2711,-61.22,-19.822,66.578,-4.766,-39.097,383.301,-333.4409,0,-57.213,-57.213,-390.654,56.2,0,56.2,0.376,0.376,-4.705,-11.523,40.348,32.995,-4.705
2010-09-30,114.573,136.53,-19.4311,117.099,1.497,-18.938,11.891,-16.64,-23.164,208.508,-310.286,0,-15.543,-15.543,-325.829,2,0,2,2.91,2.91,0,-7.11,-2.2,-119.521,0
2010-06-30,188.689,133.676,-52.024,81.652,48.296,-4.95,84.754,-3.832,123.51,393.851,-71.722,0,-0.108,-0.108,-71.83,-122,-2.818,-124.818,0.445,0.445,-4.718,-29.784,-158.875,163.146,-4.718
2010-03-31,260.60600,134.42800,-125.11900,9.30900,48.08000,17.42900,-34.29600,-21.49300,29.44800,299.36300,-166.54300,,,,-166.54300,-119.11000,2.81800,-116.29200,-10.39500,-10.39500,-0.06500,1.10400,-125.64800,7.17200,-0.06500
2009-12-31,54.23,25.833,74.356,100.189,-54.781,5.361,28.376,2.925,-22.185,132.234,-97.994,0,0,0,-97.994,-111.861,0.486,-111.375,61.426,61.426,-4.691,-7.847,-62.487,-28.247,-4.691
2009-09-30,1.833,138.249,-0.648,137.601,17.133,5.62,13.15,-21.016,23.063,162.497,-53.184,0,0,0,-53.184,-117,0,-117,4.006,4.006,0,-5.027,-118.021,-8.708,0
2009-06-30,-87.517,134.377,166.642,301.019,11.72,-23.219,4.062,25.606,10.405,223.907,-88.744,0,0,0,-88.744,-102,0,-102,1.301,1.301,-4.679,-9.938,-115.316,19.847,-4.679
2009-03-31,-10.81300,163.47300,-60.66400,102.80900,42.22100,-34.47000,-111.45000,-17.35300,-67.57500,24.42100,-171.06300,,,,-171.06300,171.00000,,171.00000,-19.16500,-19.16500,,-9.05400,142.78100,-3.86100,
